"Disease","Rank","Compound","NCS","FDR","Cell_line","Target","MOA"
"CSU",16,"BRD-A24021119",-1.98,0.000465,"A549","-","-"
"CSU",17,"PLX-4720",-1.964,0.000465,"A375","BRAF; FGR; KDR; MAP2K5; MLTK; PTK6; SRMS","RAF inhibitor"
"CSU",18,"AZD-7762",-1.962,0.000465,"ASC","CHEK1; CHEK2","CHK inhibitor"
"CSU",19,"GDC-0879",-1.959,0.000465,"A375","BRAF; RAF1","RAF inhibitor"
"CSU",20,"dasatinib",-1.932,0.000465,"ASC","ABL1; ABL2; ACVRL1; BCR; BLK; BMPR1B; BMX; BTK; CSK; DDR1; DDR2; EPHA1; EPHA2; EPHA3; EPHA4; EPHA5; EPHA6; EPHA8; EPHB1; EPHB2; EPHB3; EPHB4; EPHB6; ERBB3; ERBB4; FGR; FRK; FYN; GAK; HCK; HSPA8; KIT; LCK; LIMK1; LIMK2; LYN; MAP2K5; MAP3K19; MAP3K20; MAP4K5; MAPK14; MLTK; NEK11; NLK; NR4A3; PDGFRA; PDGFRB; PPAT; PTK6; RIPK2; SIK1; SIK2; SIK3; SRC; SRMS; STAT5B; TEC; TESK1; TNK2; TNNI3K; TXK; TYK2; YES1","BCR-ABL kinase inhibitor; Ephrin inhibitor; KIT inhibitor; PDGFR receptor inhibitor; SRC inhibitor; Tyrosine kinase inhibitor"
"SLS",1,"BRD-K99750636",-1.851,9.41e-05,"PC3","-","-"
"SLS",2,"buparlisib",-1.849,9.41e-05,"MCF7","-","-"
"SLS",3,"niacin",-1.825,9.41e-05,"HEPG2","ACHE; DGAT2; HCAR1; HCAR2; HCAR3; NNMT; PTGDR; QPRT","NAD precursor with lipid lowering effects; Vitamin B"
"SLS",4,"EMF-sumo1-8",-1.776,9.41e-05,"PC3","-","-"
"SLS",5,"BRD-A81372523",-1.75,9.41e-05,"A549","-","-"
"SLS",6,"kinetin-riboside",-1.745,9.41e-05,"NKDBA","-","Apoptosis stimulant"
"SLS",7,"BRD-K98948170",-1.745,9.41e-05,"HCC515","-","-"
"SLS",8,"lovastatin",-1.739,9.41e-05,"MCF7","APOA1; APOB; CYP2C9; CYP3A5; HDAC2; HMGCR; ITGAL; LDLR; LMNA; NR1I2; RAF1; RASD1; RHOA; RHOB","HMGCR inhibitor"
"SLS",9,"VU-0447126-2",-1.73,9.41e-05,"MCF7","-","-"
"SLS",10,"sulfaphenazole",-1.725,9.41e-05,"PC3","CYP2C9","-"
"SLS",11,"isamoltane",-1.724,9.41e-05,"SKB","-","-"
"SLS",12,"JWE-035",-1.72,9.41e-05,"PC3","AURKA","Aurora kinase inhibitor"
"SLS",13,"BH3I-1",-1.719,9.41e-05,"SKB","BCL2","BCL inhibitor"
"SLS",14,"gangaleoidin",-1.712,9.41e-05,"HEPG2","-","-"
"SLS",15,"ampyrone",-1.712,9.41e-05,"MCF7","-","-"
"SLS",16,"BRD-K47786739",-1.711,9.41e-05,"MCF7","-","-"
"SLS",17,"BRD-K30958640",-1.709,9.41e-05,"A549","-","-"
"SLS",18,"BRD-K91987625",-1.7,9.41e-05,"A549","-","-"
"SLS",19,"BRD-K66598898",-1.698,9.41e-05,"MCF7","-","-"
"SLS",20,"BRD-A13964793",-1.696,9.41e-05,"ASC","-","-"
