"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.AD","adj.P.Val.AD","P.Value.AD","t.AD","B.AD","logFC.AD","Gene.title.AD","ID.HS","adj.P.Val.HS","P.Value.HS","t.HS","B.HS","logFC.HS","Gene.title.HS"
"169","DIO2","203699_s_at",1.34e-35,1.09e-37,16.7,75.1094116,3.93,"deiodinase, iodothyronine, type II","231240_at",0.444,0.03403826,2.25,-5.55037,1.19,"deiodinase, iodothyronine, type II","203699_s_at",2.74e-05,3.61e-06,5.8748676,4.159474,1.69778891,"deiodinase, iodothyronine, type II"
"170","DLGAP5","203764_at",5.61e-45,1.53e-47,20.5,97.6758847,3.52,"DLG associated protein 5","203764_at",0.293,0.0096567,2.82,-4.3791,1.8,"DLG associated protein 5","203764_at",0.0191,0.00814,2.8691705,-3.389881,0.65542735,"DLG associated protein 5"
"171","DOCK2","213160_at",3.58e-08,6.58e-09,6.11,9.3870316,0.799,"dedicator of cytokinesis 2","213160_at",0.33,0.01381985,2.66,-4.71705,1.05,"dedicator of cytokinesis 2","213160_at",7.02e-07,4e-08,7.6987853,8.656815,1.53918493,"dedicator of cytokinesis 2"
"172","DSC2","231033_at",2.41e-48,4.27e-51,21.9,105.8059502,6.19,"desmocollin 2","231033_at",0.236,0.0033284,3.27,-3.35893,2.4,"desmocollin 2","204751_x_at",2.14e-05,2.68e-06,5.990305,4.454133,1.85002423,"desmocollin 2"
"173","DSEL","232235_at",1.21e-09,1.88e-10,-6.79,12.8729957,-0.886,"dermatan sulfate epimerase-like","232235_at",0.408,0.02625493,-2.37,-5.31315,-0.931,"dermatan sulfate epimerase-like","232825_s_at",0.000208,4.01e-05,4.9477978,1.767305,0.93994473,"dermatan sulfate epimerase-like"
"174","DSERG1","217671_at",2.34e-10,3.36e-11,-7.1,14.5631536,-0.981,"Down syndrome encephalopathy related protein 1","217671_at",0.431,0.03056356,2.3,-5.4523,0.814,"Down syndrome encephalopathy related protein 1","217671_at",9.5e-05,1.59e-05,-5.3017994,2.684372,-1.34806717,"Down syndrome encephalopathy related protein 1"
"175","DTWD1","229984_at",1.42e-11,1.76e-12,-7.62,17.4686907,-1.11,"DTW domain containing 1","232429_at",0.403,0.02510645,-2.39,-5.27203,-0.729,"DTW domain containing 1","1555210_at",0.0132,0.00523,-3.052732,-2.973259,-0.68038992,"DTW domain containing 1"
"176","DTX3L","225415_at",2.27e-31,2.96e-33,15.1,64.9516522,0.95,"deltex E3 ubiquitin ligase 3L","225415_at",0.336,0.0146844,2.64,-4.77393,0.663,"deltex E3 ubiquitin ligase 3L","225415_at",0.000186,3.5e-05,4.9999615,1.902513,0.63262656,"deltex E3 ubiquitin ligase 3L"
"177","DUOX1","215800_at",4.97e-14,4.68e-15,8.62,23.3246777,1.14,"dual oxidase 1","215800_at",0.386,0.02219908,2.45,-5.15853,1.05,"dual oxidase 1","215800_at",5.93e-08,1.67e-09,-9.100459,11.828619,-1.00385842,"dual oxidase 1"
"178","DUOXA1","1555404_a_at",3.14e-39,1.72e-41,18.1,83.8209847,1.85,"dual oxidase maturation factor 1","1555404_a_at",0.236,0.00321535,3.28,-3.3255,0.755,"dual oxidase maturation factor 1","1555404_a_at",0.0193,0.00822,-2.8647656,-3.399721,-0.68078019,"dual oxidase maturation factor 1"
"179","DUSP4","204014_at",1.03e-06,2.24e-07,-5.4,5.9463904,-0.94,"dual specificity phosphatase 4","204015_s_at",0.236,0.003247,-3.28,-3.33497,-0.603,"dual specificity phosphatase 4","204015_s_at",0.00143,0.000388,4.0800011,-0.466653,0.72028727,"dual specificity phosphatase 4"
"180","DZIP1","204557_s_at",3.57e-07,7.39e-08,-5.63,7.0256424,-0.896,"DAZ interacting zinc finger protein 1","204557_s_at",0.36,0.01781313,-2.55,-4.95432,-1.05,"DAZ interacting zinc finger protein 1","204556_s_at",5.74e-09,6.92e-11,10.6347413,14.995988,1.06473998,"DAZ interacting zinc finger protein 1"
"181","E2F2","228361_at",6.48e-22,2.53e-23,11.6,42.2034499,1.14,"E2F transcription factor 2","228361_at",0.24,0.00351335,3.25,-3.4112,0.779,"E2F transcription factor 2","228361_at",0.0128,0.00507,-3.065203,-2.944511,-0.69959979,"E2F transcription factor 2"
"182","E2F8","219990_at",1.11e-19,5.61e-21,10.8,36.8402166,1.68,"E2F transcription factor 8","219990_at",0.49,0.04499603,2.12,-5.80229,0.693,"E2F transcription factor 8","219990_at",0.0104,0.00397,-3.1658096,-2.710673,-0.68238387,"E2F transcription factor 8"
"183","EHF","222932_at",1.49e-22,5.42e-24,11.9,43.7371087,3.09,"ETS homologous factor","232361_s_at",0.377,0.0204321,2.49,-5.08176,0.837,"ETS homologous factor","232361_s_at",0.0125,0.00491,-3.0783551,-2.914134,-0.82193942,"ETS homologous factor"
"184","EIF4EBP1","221539_at",1.14e-33,1.15e-35,16,70.4709883,1.88,"eukaryotic translation initiation factor 4E binding protein 1","221539_at",0.247,0.00423246,3.17,-3.59086,0.715,"eukaryotic translation initiation factor 4E binding protein 1","221539_at",9.59e-10,5.01e-12,12.0181817,17.594063,1.10731531,"eukaryotic translation initiation factor 4E binding protein 1"
"185","ELOVL5","215082_at",3.27e-05,8.6e-06,-4.59,2.4200059,-1.31,"ELOVL fatty acid elongase 5","215082_at",0.277,0.00764421,-2.92,-4.15716,-1.16,"ELOVL fatty acid elongase 5","215082_at",0.00678,0.00241,3.3670707,-2.233433,0.70438642,"ELOVL fatty acid elongase 5"
"186","EMC3","215250_at",3.68e-28,7.1e-30,-13.9,57.2077874,-2.26,"ER membrane protein complex subunit 3","215250_at",0.483,0.04337727,-2.14,-5.76942,-0.656,"ER membrane protein complex subunit 3","215250_at",3.55e-06,3.06e-07,-6.854907,6.622307,-1.97939752,"ER membrane protein complex subunit 3"
"187","ENPP5","227803_at",9.31e-31,1.3e-32,-14.9,63.4760393,-3.09,"ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative)","237054_at",0.39,0.02267263,-2.44,-5.17803,-1.04,"ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative)","237054_at",0.00526,0.00179,-3.4837641,-1.951574,-0.64328245,"ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative)"
"188","EPB41L4B","220161_s_at",3.03e-20,1.44e-21,-11,38.1890851,-0.759,"erythrocyte membrane protein band 4.1 like 4B","223427_s_at",0.28,0.00801789,-2.9,-4.20258,-0.676,"erythrocyte membrane protein band 4.1 like 4B","220524_at",1.19e-07,4.08e-09,-8.6936633,10.935644,-0.59554906,"erythrocyte membrane protein band 4.1 like 4B"
"189","EPCAM","201839_s_at",1.58e-16,1.14e-17,-9.6,29.28645,-1.93,"epithelial cell adhesion molecule","201839_s_at",0.44,0.03259989,-2.27,-5.5111,-0.899,"epithelial cell adhesion molecule","201839_s_at",0.022,0.00961,-2.7988658,-3.546001,-1.58044866,"epithelial cell adhesion molecule"
"190","EPHB1","230425_at",5.79e-09,9.69e-10,-6.48,11.2618187,-1.15,"EPH receptor B1","230425_at",0.31,0.011434,-2.75,-4.53877,-0.94,"EPH receptor B1","210753_s_at",9.51e-05,1.59e-05,-5.3014167,2.683382,-0.73250019,"EPH receptor B1"
"191","EPHX2","209368_at",3.63e-11,4.72e-12,-7.45,16.4956959,-0.809,"epoxide hydrolase 2","209368_at",0.139,0.00028226,-4.27,-0.93562,-0.702,"epoxide hydrolase 2","209368_at",1.21e-08,2e-10,-10.1082121,13.944155,-1.40621961,"epoxide hydrolase 2"
"192","EPSTI1","227609_at",5.03e-49,8.19e-52,22.2,107.4463649,5.13,"epithelial stromal interaction 1 (breast)","227609_at",0.491,0.04524214,2.12,-5.80718,1.55,"epithelial stromal interaction 1 (breast)","227609_at",5.09e-09,5.77e-11,10.7267989,15.176221,2.58008998,"epithelial stromal interaction 1 (breast)"
"193","ESRRG","209966_x_at",3.03e-07,6.21e-08,-5.67,7.1957152,-0.881,"estrogen related receptor gamma","207981_s_at",0.35,0.01641131,-2.59,-4.8779,-1.65,"estrogen related receptor gamma","209966_x_at",0.0327,0.0153,-2.5976658,-3.98111,-1.23186013,"estrogen related receptor gamma"
"194","EVI2A","204774_at",1.53e-07,3.03e-08,5.81,7.8936049,0.779,"ecotropic viral integration site 2A","204774_at",0.325,0.01329085,2.68,-4.68041,1.43,"ecotropic viral integration site 2A","204774_at",2.39e-08,4.99e-10,9.6656066,13.03181,1.43164502,"ecotropic viral integration site 2A"
"195","FADS3","204257_at",3.16e-07,6.48e-08,-5.66,7.1531527,-0.887,"fatty acid desaturase 3","204257_at",0.302,0.01053534,-2.78,-4.46149,-0.652,"fatty acid desaturase 3","216080_s_at",1.25e-05,1.4e-06,6.2449803,5.10034,0.85116267,"fatty acid desaturase 3"
"196","FAM162A","224345_x_at",2.86e-17,1.89e-18,9.88,31.0664513,0.667,"family with sequence similarity 162 member A","235850_at",0.115,1.172e-05,-5.54,2.25705,-0.68,"family with sequence similarity 162 member A","235850_at",4.04e-07,1.98e-08,-7.9995991,9.359926,-1.0751137,"family with sequence similarity 162 member A"
"197","FAM20A","241981_at",9.84e-10,1.52e-10,6.82,13.0827979,1.38,"family with sequence similarity 20 member A","242945_at",0.296,0.00997956,2.8,-4.41024,0.906,"family with sequence similarity 20 member A","226804_at",1.3e-08,2.2e-10,10.0615347,13.849164,2.25649223,"family with sequence similarity 20 member A"
"198","FAM234B","213234_at",3.67e-17,2.45e-18,-9.84,30.8069265,-1.35,"family with sequence similarity 234 member B","213234_at",0.184,0.00096453,-3.77,-2.15059,-0.906,"family with sequence similarity 234 member B","213234_at",3.14e-05,4.24e-06,-5.8116433,3.997675,-1.45459401,"family with sequence similarity 234 member B"
"199","FAM46C","226811_at",1.06e-07,2.05e-08,-5.89,8.2758477,-0.81,"family with sequence similarity 46 member C","226811_at",0.366,0.01859043,-2.53,-4.99406,-0.745,"family with sequence similarity 46 member C","220306_at",1.32e-09,8.3e-12,11.7430301,17.095746,3.39514353,"family with sequence similarity 46 member C"
"200","FAM47E-STBD1","203986_at",2.97e-06,6.85e-07,-5.16,4.862207,-0.68,"FAM47E-STBD1 readthrough///family with sequence similarity 47 member E///starch binding domain 1","203986_at",0.402,0.02487987,-2.4,-5.26368,-0.926,"FAM47E-STBD1 readthrough///family with sequence similarity 47 member E///starch binding domain 1","203986_at",0.00154,0.000423,4.0474209,-0.549309,0.65939851,"FAM47E-STBD1 readthrough///family with sequence similarity 47 member E///starch binding domain 1"
"201","FAM65C","227654_at",8.89e-32,1.11e-33,15.3,65.9299258,2.93,"family with sequence similarity 65 member C","227654_at",0.204,0.00163021,3.56,-2.66495,0.645,"family with sequence similarity 65 member C","227654_at",1.85e-07,7.31e-09,8.4345566,10.355071,1.80427749,"family with sequence similarity 65 member C"
"202","FAM83A","239586_at",1.79e-45,4.61e-48,20.7,98.8673687,4.97,"family with sequence similarity 83 member A","239586_at",0.402,0.02468018,2.4,-5.25627,0.89,"family with sequence similarity 83 member A","242944_at",0.0349,0.0165,2.5649933,-4.050024,0.69858107,"family with sequence similarity 83 member A"
"203","FAXDC2","48031_r_at",9.93e-11,1.36e-11,-7.26,15.4505722,-0.658,"fatty acid hydroxylase domain containing 2","48031_r_at",0.159,0.00054304,-4,-1.58427,-0.76,"fatty acid hydroxylase domain containing 2","48031_r_at",0.00012,2.11e-05,-5.1938991,2.405059,-1.02976516,"fatty acid hydroxylase domain containing 2"
"204","FBP1","209696_at",2.05e-09,3.27e-10,-6.68,12.3261119,-1.51,"fructose-bisphosphatase 1","209696_at",0.246,0.00413937,-3.18,-3.56944,-2.09,"fructose-bisphosphatase 1","209696_at",8.91e-05,1.47e-05,5.3310186,2.759954,2.02626863,"fructose-bisphosphatase 1"
"205","FBXO45","225100_at",1.05e-38,6.15e-41,17.9,82.5537366,4.24,"F-box protein 45","225100_at",0.497,0.04690158,2.1,-5.83943,0.875,"F-box protein 45","225099_at",0.000584,0.000134,-4.4870129,0.575396,-0.63075677,"F-box protein 45"
"206","FBXO5","218875_s_at",7.47e-19,4.15e-20,10.5,34.851863,1.6,"F-box protein 5","234863_x_at",0.394,0.02331066,2.43,-5.20365,0.661,"F-box protein 5","218875_s_at",0.000192,3.65e-05,4.9835598,1.859999,0.58603912,"F-box protein 5"
"207","FCER1G","1554899_s_at",0.000294,8.82e-05,4.02,0.1944203,0.888,"Fc fragment of IgE receptor Ig","204232_at",0.346,0.01570632,2.61,-4.83688,1.11,"Fc fragment of IgE receptor Ig","1554899_s_at",5.07e-08,1.38e-09,9.1896424,12.021369,1.53352495,"Fc fragment of IgE receptor Ig"
"208","FGD6","219901_at",1.89e-06,4.27e-07,5.26,5.3207657,0.631,"FYVE, RhoGEF and PH domain containing 6","1555137_a_at",0.461,0.03822772,2.2,-5.65556,0.957,"FYVE, RhoGEF and PH domain containing 6","1555136_at",7.72e-05,1.24e-05,-5.3971813,2.93099,-1.31077919,"FYVE, RhoGEF and PH domain containing 6"
"209","FGFBP2","223836_at",1.87e-25,4.92e-27,-12.9,50.7005547,-3.09,"fibroblast growth factor binding protein 2","223836_at",0.491,0.04544136,-2.11,-5.81112,-1.22,"fibroblast growth factor binding protein 2","223836_at",0.00107,0.000276,-4.2115699,-0.131557,-1.68454237,"fibroblast growth factor binding protein 2"
"210","FHL1","201540_at",2.11e-17,1.38e-18,-9.93,31.3782255,-0.823,"four and a half LIM domains 1","210299_s_at",0.496,0.04664418,-2.1,-5.83451,-0.864,"four and a half LIM domains 1","210298_x_at",0.0355,0.0169,-2.556123,-4.068646,-0.65819446,"four and a half LIM domains 1"
"211","FIBIN","226769_at",3.47e-17,2.31e-18,-9.85,30.8641563,-1.75,"fin bud initiation factor homolog (zebrafish)","231001_at",0.477,0.04173666,-2.15,-5.73475,-0.705,"fin bud initiation factor homolog (zebrafish)","231001_at",0.00163,0.000452,4.0220273,-0.613637,1.28725597,"fin bud initiation factor homolog (zebrafish)"
"212","FIGN","239710_at",2.23e-11,2.83e-12,-7.54,17.000009,-0.901,"fidgetin, microtubule severing factor","239710_at",0.25,0.00459437,-3.13,-3.66984,-1.05,"fidgetin, microtubule severing factor","239710_at",0.0321,0.015,-2.6069463,-3.961443,-0.58889335,"fidgetin, microtubule severing factor"
"213","FILIP1","1570515_a_at",3.38e-08,6.21e-09,-6.12,9.4434102,-0.62,"filamin A interacting protein 1","1556325_at",0.471,0.04053447,-2.17,-5.70843,-0.716,"filamin A interacting protein 1","231945_at",8.57e-05,1.41e-05,5.3484736,2.805092,0.94966469,"filamin A interacting protein 1"
"214","FMO2","228268_at",0.0529,0.0237,2.28,-4.9640467,0.692,"flavin containing monooxygenase 2","228268_at",0.485,0.04390782,-2.13,-5.78033,-1.17,"flavin containing monooxygenase 2","228268_at",0.0048,0.00161,3.5268634,-1.846613,1.27111038,"flavin containing monooxygenase 2"
"215","FMO5","215300_s_at",5.29e-11,7.02e-12,-7.38,16.1050468,-1.14,"flavin containing monooxygenase 5","215300_s_at",0.376,0.02026543,-2.49,-5.07416,-1.12,"flavin containing monooxygenase 5","205776_at",0.00675,0.0024,-3.3689326,-2.228964,-1.35147513,"flavin containing monooxygenase 5"
"216","FOSL1","204420_at",3.78e-38,2.37e-40,17.7,81.2095924,4.1,"FOS like 1, AP-1 transcription factor subunit","204420_at",0.353,0.01671522,2.58,-4.89502,1.61,"FOS like 1, AP-1 transcription factor subunit","204420_at",0.0462,0.023,2.4177127,-4.35415,0.96507093,"FOS like 1, AP-1 transcription factor subunit"
"217","FOSL2","218880_at",6.54e-32,7.92e-34,15.3,66.2632972,2.45,"FOS like 2, AP-1 transcription factor subunit","218880_at",0.438,0.03177893,2.28,-5.48786,0.824,"FOS like 2, AP-1 transcription factor subunit","218880_at",0.000144,2.61e-05,5.1126361,2.194536,0.8461669,"FOS like 2, AP-1 transcription factor subunit"
"218","FPR1","205119_s_at",2.78e-05,7.23e-06,4.63,2.5870448,0.758,"formyl peptide receptor 1","205119_s_at",0.465,0.03892425,2.19,-5.67187,0.938,"formyl peptide receptor 1","205119_s_at",2.3e-07,9.63e-09,8.3129981,10.07954,3.3008552,"formyl peptide receptor 1"
"219","FPR3","230422_at",1.37e-11,1.7e-12,7.62,17.5045316,1.52,"formyl peptide receptor 3","230422_at",0.414,0.02711743,2.36,-5.34282,1.45,"formyl peptide receptor 3","214560_at",7.72e-05,1.24e-05,5.3974122,2.931587,1.74162771,"formyl peptide receptor 3"
"220","FSCN1","201564_s_at",2.03e-21,8.45e-23,11.4,41.0067964,0.813,"fascin actin-bundling protein 1","201564_s_at",0.258,0.00569152,3.04,-3.87541,0.647,"fascin actin-bundling protein 1","201564_s_at",2.29e-05,2.9e-06,5.9596276,4.375928,0.8100793,"fascin actin-bundling protein 1"
"221","FST","207345_at",1.3e-14,1.15e-15,-8.85,24.71553,-0.833,"follistatin","204948_s_at",0.23,0.00289603,-3.33,-3.2242,-1.22,"follistatin","204948_s_at",0.0025,0.000748,-3.8268279,-1.104959,-0.67875052,"follistatin"
"222","FYB","227266_s_at",3.27e-10,4.77e-11,7.03,14.2192477,1.42,"FYN binding protein","211795_s_at",0.367,0.01875233,2.53,-5.00212,1.06,"FYN binding protein","211795_s_at",1.23e-06,8.09e-08,7.402093,7.951702,1.91617586,"FYN binding protein"
"223","G0S2","213524_s_at",0.00019,5.55e-05,-4.14,0.6354106,-0.867,"G0/G1 switch 2","213524_s_at",0.371,0.01936369,-2.51,-5.03193,-1.71,"G0/G1 switch 2","213524_s_at",0.00126,0.000332,4.1401672,-0.313662,1.34957397,"G0/G1 switch 2"
"224","GALNT6","219956_at",5.38e-42,2.04e-44,19.2,90.5220842,3.64,"polypeptide N-acetylgalactosaminyltransferase 6","219956_at",0.322,0.01286733,2.69,-4.64998,1.76,"polypeptide N-acetylgalactosaminyltransferase 6","219956_at",0.0216,0.00939,2.8086797,-3.52433,0.65261629,"polypeptide N-acetylgalactosaminyltransferase 6"
"225","GAPVD1","214869_x_at",1.37e-25,3.56e-27,13,51.0241057,1.11,"GTPase activating protein and VPS9 domains 1","214869_x_at",0.278,0.00785993,2.91,-4.18365,0.725,"GTPase activating protein and VPS9 domains 1","235553_at",3.41e-06,2.91e-07,-6.8756825,6.673437,-0.72168032,"GTPase activating protein and VPS9 domains 1"
"226","GATA6","210002_at",6.81e-19,3.77e-20,-10.5,34.9472028,-1.78,"GATA binding protein 6","210002_at",0.196,0.0013468,-3.64,-2.47815,-1.49,"GATA binding protein 6","210002_at",0.0122,0.00478,3.0900346,-2.887109,0.81240937,"GATA binding protein 6"
"227","GATB","233593_at",4.07e-35,3.55e-37,16.6,73.9367415,3.07,"glutamyl-tRNA amidotransferase subunit B","204300_at",0.416,0.02762414,2.35,-5.35979,0.918,"glutamyl-tRNA amidotransferase subunit B","233593_at",6.02e-06,5.79e-07,-6.5975252,5.984843,-0.75303932,"glutamyl-tRNA amidotransferase subunit B"
"228","GBP1","202269_x_at",4.65e-36,3.66e-38,16.9,76.1970613,3.23,"guanylate binding protein 1","231577_s_at",0.294,0.0098067,2.81,-4.3937,0.707,"guanylate binding protein 1","231577_s_at",1.31e-06,8.76e-08,7.3687825,7.871831,2.05610138,"guanylate binding protein 1"
"229","GCLM","203925_at",8.31e-07,1.79e-07,5.45,6.1624367,0.963,"glutamate-cysteine ligase modifier subunit","236140_at",0.363,0.0182246,-2.54,-4.97557,-0.62,"glutamate-cysteine ligase modifier subunit","203925_at",0.000732,0.000175,4.3852603,0.313523,0.60186537,"glutamate-cysteine ligase modifier subunit"
"230","GFRA1","230163_at",3.63e-08,6.67e-09,-6.11,9.3724415,-0.838,"GDNF family receptor alpha 1","227550_at",0.245,0.00408752,-3.18,-3.55729,-0.841,"GDNF family receptor alpha 1","205696_s_at",0.000779,0.000189,-4.3567466,0.240276,-0.96639507,"GDNF family receptor alpha 1"
"231","GHR","205498_at",7.42e-09,1.26e-09,-6.43,11.0056691,-0.669,"growth hormone receptor","205498_at",0.264,0.0065015,-2.99,-4.00272,-1.03,"growth hormone receptor","205498_at",0.00352,0.00112,-3.6697039,-1.495726,-0.60238788,"growth hormone receptor"
"232","GIMAP1","1552318_at",3.06e-06,7.08e-07,-5.15,4.8300484,-0.603,"GTPase, IMAP family member 1","236583_at",0.177,0.00086039,-3.82,-2.03822,-0.899,"GTPase, IMAP family member 1","1552316_a_at",3.64e-06,3.16e-07,6.8419913,6.590496,1.15348595,"GTPase, IMAP family member 1"
"233","GJB2","223278_at",1.31e-52,1.15e-55,23.7,116.2494531,1.86,"gap junction protein beta 2","223278_at",0.293,0.00950769,2.83,-4.36437,1.14,"gap junction protein beta 2","223278_at",0.0053,0.00181,3.4806302,-1.959189,0.8615149,"gap junction protein beta 2"
"234","GLDC","204836_at",2.17e-10,3.1e-11,-7.11,14.6413499,-2.71,"glycine decarboxylase","204836_at",0.49,0.04499497,-2.12,-5.80227,-1.74,"glycine decarboxylase","204836_at",0.0455,0.0226,2.4257139,-4.337911,1.11225884,"glycine decarboxylase"
"235","GLRB","205280_at",2.44e-13,2.5e-14,-8.34,21.6671245,-1.44,"glycine receptor beta","205280_at",0.264,0.00652312,-2.99,-4.00589,-1.16,"glycine receptor beta","205279_s_at",0.0356,0.0169,-2.5543784,-4.072304,-0.71722833,"glycine receptor beta"
"236","GMFB","202543_s_at",1.45e-29,2.34e-31,14.5,60.6044862,2.44,"glia maturation factor beta","202543_s_at",0.444,0.03360122,2.26,-5.53862,0.728,"glia maturation factor beta","202543_s_at",1.68e-07,6.45e-09,8.4900547,10.480196,0.99644741,"glia maturation factor beta"
"237","GOLGA2P10","223326_s_at",4.09e-08,7.57e-09,6.09,9.2492005,0.712,"golgin A2 pseudogene 10","223326_s_at",0.423,0.02893654,2.33,-5.4023,0.656,"golgin A2 pseudogene 10","223326_s_at",0.00074,0.000178,-4.3801015,0.300266,-0.89679714,"golgin A2 pseudogene 10"
"238","GOSR2","210009_s_at",8.36e-18,5.16e-19,10.1,32.3512425,1.99,"golgi SNAP receptor complex member 2","243880_at",0.243,0.00388927,-3.2,-3.50935,-1.36,"golgi SNAP receptor complex member 2","210009_s_at",3.22e-07,1.47e-08,8.1266272,9.653203,1.08915704,"golgi SNAP receptor complex member 2"
"239","GPC6","227059_at",9.69e-20,4.86e-21,-10.8,36.9819465,-2,"glypican 6","223730_at",0.329,0.01364108,-2.67,-4.70483,-0.858,"glypican 6","227059_at",1.84e-07,7.23e-09,8.4388955,10.364869,2.59007336,"glypican 6"
"240","GPD1L","212510_at",9.42e-32,1.18e-33,-15.3,65.8682068,-0.864,"glycerol-3-phosphate dehydrogenase 1-like","212510_at",0.195,0.00123381,-3.67,-2.39229,-0.719,"glycerol-3-phosphate dehydrogenase 1-like","212510_at",7.78e-06,7.88e-07,-6.474311,5.677135,-0.76865177,"glycerol-3-phosphate dehydrogenase 1-like"
"241","GPLD1","206265_s_at",1.78e-24,5.32e-26,12.6,48.332984,2.76,"glycosylphosphatidylinositol specific phospholipase D1","215554_at",0.422,0.02872204,-2.33,-5.39549,-1.14,"glycosylphosphatidylinositol specific phospholipase D1","206265_s_at",0.000275,5.58e-05,-4.8220089,1.441344,-1.44988424,"glycosylphosphatidylinositol specific phospholipase D1"
"242","GPR171","207651_at",2.75e-09,4.46e-10,6.63,12.0236506,1.55,"G protein-coupled receptor 171","207651_at",0.139,0.0003135,4.22,-1.0399,1.32,"G protein-coupled receptor 171","207651_at",0.000434,9.52e-05,4.6181597,0.913851,0.76711769,"G protein-coupled receptor 171"
"243","GPR183","205419_at",2.32e-20,1.09e-21,11,38.4680056,1.88,"G protein-coupled receptor 183","205419_at",0.207,0.00182063,3.52,-2.7728,1.68,"G protein-coupled receptor 183","205419_at",5.39e-09,6.32e-11,10.6804826,15.085676,1.2454184,"G protein-coupled receptor 183"
"244","GPR68","229055_at",2.96e-44,9.19e-47,20.2,95.8929903,2.4,"G protein-coupled receptor 68","229055_at",0.139,0.00030339,4.24,-1.00735,1.26,"G protein-coupled receptor 68","229055_at",0.000109,1.87e-05,5.2386557,2.520952,0.98909099,"G protein-coupled receptor 68"
"245","GPRASP1","204793_at",1.81e-13,1.83e-14,-8.39,21.9764005,-1.51,"G protein-coupled receptor associated sorting protein 1","204793_at",0.25,0.00452319,-3.14,-3.65482,-1.27,"G protein-coupled receptor associated sorting protein 1","204793_at",0.00272,0.000827,-3.7879648,-1.202038,-0.63994402,"G protein-coupled receptor associated sorting protein 1"
"246","GPSM2","233058_at",3.75e-05,9.94e-06,4.56,2.2805617,0.809,"G-protein signaling modulator 2","205240_at",0.264,0.00654352,2.99,-4.00887,0.72,"G-protein signaling modulator 2","233058_at",0.000253,5.04e-05,-4.8604325,1.540891,-0.58862468,"G-protein signaling modulator 2"
"247","GPSM3","204265_s_at",1.43e-07,2.82e-08,5.83,7.9644015,0.734,"G-protein signaling modulator 3","204265_s_at",0.335,0.01457259,2.64,-4.76677,1.13,"G-protein signaling modulator 3","204265_s_at",2.64e-09,2.19e-11,11.2265676,16.136065,1.55734956,"G-protein signaling modulator 3"
"248","GRHL3","232116_at",1.69e-36,1.26e-38,17.1,77.2594812,2.56,"grainyhead like transcription factor 3","232116_at",0.39,0.02256863,2.44,-5.17378,1.18,"grainyhead like transcription factor 3","232116_at",1.88e-05,2.3e-06,-6.0501436,4.606462,-1.40007308,"grainyhead like transcription factor 3"
"249","GSDMC","234305_s_at",4.71e-17,3.19e-18,9.8,30.5463366,1.02,"gasdermin C","234305_s_at",0.264,0.00646699,2.99,-3.99763,1.05,"gasdermin C","234305_s_at",0.00415,0.00136,-3.5943981,-1.681273,-0.9443651,"gasdermin C"
"250","GSPT2","205541_s_at",1.63e-06,3.64e-07,-5.3,5.4758886,-0.961,"G1 to S phase transition 2","205541_s_at",0.232,0.00295633,-3.32,-3.24417,-0.638,"G1 to S phase transition 2","205541_s_at",2.45e-05,3.14e-06,5.9284969,4.296492,0.72896677,"G1 to S phase transition 2"
"251","GSTO2","229155_at",1.11e-12,1.22e-13,-8.08,20.1030069,-0.908,"glutathione S-transferase omega 2","229155_at",0.32,0.01263222,-2.7,-4.63264,-0.648,"glutathione S-transferase omega 2","227163_at",1.13e-06,7.26e-08,-7.4473073,8.059891,-1.54501245,"glutathione S-transferase omega 2"
"252","GUSBP1","226947_at",5.23e-11,6.93e-12,7.38,16.1169702,0.825,"glucuronidase, beta pseudogene 1///glucuronidase, beta pseudogene 4","235888_at",0.441,0.03287388,-2.27,-5.51871,-0.897,"glucuronidase, beta pseudogene 1///glucuronidase, beta pseudogene 4","235888_at",0.002,0.000575,-3.9284166,-0.84999,-0.60801329,"glucuronidase, beta pseudogene 1///glucuronidase, beta pseudogene 4"
"253","GXYLT2","235733_at",3.25e-07,6.69e-08,-5.65,7.1222272,-1.43,"glucoside xylosyltransferase 2","235733_at",0.331,0.01409742,-2.65,-4.7357,-0.722,"glucoside xylosyltransferase 2","235733_at",2.81e-05,3.72e-06,5.8626323,4.128185,1.41212426,"glucoside xylosyltransferase 2"
"254","GZMA","205488_at",7.07e-19,3.92e-20,10.5,34.908654,2.68,"granzyme A","205488_at",0.475,0.04127027,2.16,-5.72464,1.34,"granzyme A","205488_at",7.67e-10,3.32e-12,12.2449076,17.998074,1.86656829,"granzyme A"
"255","GZMB","210164_at",5.48e-58,2.61e-61,26.2,129.1372838,5.92,"granzyme B","210164_at",0.264,0.00647747,2.99,-3.99918,2.25,"granzyme B","210164_at",1.09e-09,6.19e-12,11.9021359,17.384977,3.56533589,"granzyme B"
"256","H2AFJ","228213_at",2.76e-17,1.82e-18,-9.89,31.102,-0.785,"H2A histone family member J","228213_at",0.135,0.00022958,-4.35,-0.73015,-0.662,"H2A histone family member J","220936_s_at",3.05e-07,1.38e-08,-8.1568872,9.722745,-1.04721767,"H2A histone family member J"
