"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.AD","adj.P.Val.AD","P.Value.AD","t.AD","B.AD","logFC.AD","Gene.title.AD","ID.HS","adj.P.Val.HS","P.Value.HS","t.HS","B.HS","logFC.HS","Gene.title.HS"
"464","PGLYRP4","220944_at",2.35e-46,5.49e-49,21,100.9816249,3.81,"peptidoglycan recognition protein 4","220944_at",0.449,0.03535945,2.23,-5.58494,0.664,"peptidoglycan recognition protein 4","220944_at",0.0246,0.0109,-2.74346,-3.667594,-0.94599939,"peptidoglycan recognition protein 4"
"465","PGM5-AS1","230595_at",1.05e-19,5.32e-21,-10.8,36.8918687,-1.55,"PGM5 antisense RNA 1","230595_at",0.248,0.00441624,-3.15,-3.63179,-0.909,"PGM5 antisense RNA 1","231024_at",5.71e-07,3.08e-08,-7.8096593,8.917366,-1.36176295,"PGM5 antisense RNA 1"
"466","PGR","228554_at",9.3e-12,1.13e-12,-7.7,17.9052946,-1.05,"progesterone receptor","228554_at",0.196,0.0013053,-3.65,-2.44749,-1.25,"progesterone receptor","228554_at",6.05e-05,9.27e-06,-5.5093638,3.220595,-1.2948396,"progesterone receptor"
"467","PHF19","227211_at",3.45e-19,1.84e-20,10.6,35.6609847,1.81,"PHD finger protein 19","227212_s_at",0.329,0.01362467,2.67,-4.7037,1.03,"PHD finger protein 19","227211_at",0.00247,0.000738,3.8319237,-1.09221,0.59933009,"PHD finger protein 19"
"468","PHYHIP","205325_at",7.87e-25,2.25e-26,-12.7,49.1876722,-3.34,"phytanoyl-CoA 2-hydroxylase interacting protein","205325_at",0.289,0.00902247,-2.85,-4.31471,-1.22,"phytanoyl-CoA 2-hydroxylase interacting protein","205325_at",3.47e-08,8.22e-10,-9.4297839,12.535004,-2.46920292,"phytanoyl-CoA 2-hydroxylase interacting protein"
"469","PI15","229947_at",2.37e-16,1.74e-17,9.53,28.8665243,2.17,"peptidase inhibitor 15","229947_at",0.384,0.02159592,2.46,-5.13306,0.915,"peptidase inhibitor 15","229947_at",3.12e-08,7.09e-10,9.4994921,12.682638,2.98366835,"peptidase inhibitor 15"
"470","PI3","41469_at",9.64e-51,1.22e-53,22.9,111.6259172,3.35,"peptidase inhibitor 3","41469_at",0.503,0.04910419,2.08,-5.88043,2.55,"peptidase inhibitor 3","41469_at",0.00204,0.00059,3.9189803,-0.873743,1.34649658,"peptidase inhibitor 3"
"471","PIK3CD","203879_at",1.06e-10,1.46e-11,7.25,15.3826144,0.936,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta","203879_at",0.159,0.00052626,4.02,-1.55324,0.699,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta","203879_at",7.09e-07,4.04e-08,7.6936502,8.644709,1.03647767,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta"
"472","PIK3CG","239294_at",0.00348,0.00123,3.29,-2.2860877,0.614,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma","239294_at",0.304,0.01073676,2.77,-4.47939,1.13,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma","206369_s_at",1.68e-07,6.46e-09,8.4890212,10.47787,1.72569164,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma"
"473","PIK3R5","227553_at",7.55e-12,9.05e-13,7.73,18.1239061,1.65,"phosphoinositide-3-kinase regulatory subunit 5","227645_at",0.325,0.01316039,2.68,-4.67114,0.667,"phosphoinositide-3-kinase regulatory subunit 5","227553_at",2.55e-08,5.45e-10,9.6241296,12.944973,1.53877793,"phosphoinositide-3-kinase regulatory subunit 5"
"474","PIP5K1B","205632_s_at",7.6e-12,9.13e-13,-7.73,18.1152924,-0.783,"phosphatidylinositol-4-phosphate 5-kinase type 1 beta","205632_s_at",0.442,0.033077,-2.27,-5.52432,-0.993,"phosphatidylinositol-4-phosphate 5-kinase type 1 beta","205632_s_at",0.000131,2.33e-05,5.1553746,2.30527,1.36046534,"phosphatidylinositol-4-phosphate 5-kinase type 1 beta"
"475","PKIA","204612_at",5.86e-12,6.96e-13,7.78,18.3835883,0.882,"protein kinase (cAMP-dependent, catalytic) inhibitor alpha","204612_at",0.347,0.01607597,2.59,-4.85862,1.14,"protein kinase (cAMP-dependent, catalytic) inhibitor alpha","226864_at",1.62e-07,6.2e-09,-8.5075559,10.519567,-1.09444835,"protein kinase (cAMP-dependent, catalytic) inhibitor alpha"
"476","PKIB","223551_at",6.79e-05,1.86e-05,-4.41,1.6779884,-0.852,"protein kinase (cAMP-dependent, catalytic) inhibitor beta","223551_at",0.36,0.01793268,-2.55,-4.96055,-0.919,"protein kinase (cAMP-dependent, catalytic) inhibitor beta","231120_x_at",0.000419,9.12e-05,-4.6342933,0.955546,-1.12255297,"protein kinase (cAMP-dependent, catalytic) inhibitor beta"
"477","PLA2R1","235746_s_at",3.9e-07,8.1e-08,-5.61,6.9362521,-0.649,"phospholipase A2 receptor 1","210194_at",0.481,0.04260546,-2.14,-5.75328,-0.662,"phospholipase A2 receptor 1","240039_at",0.000141,2.53e-05,-5.1234754,2.222623,-0.64786864,"phospholipase A2 receptor 1"
