"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.VL","adj.P.Val.VL","P.Value.VL","t.VL","B.VL","logFC.VL","Gene.title.VL","ID.HS","adj.P.Val.HS","P.Value.HS","t.HS","B.HS","logFC.HS","Gene.title.HS"
"398","SP110","209762_x_at",5.38e-30,8.29e-32,14.6,61.6361617,1.54,"SP110 nuclear body protein","ILMN_2415144",0.0411394,0.00847,2.8090919,-2.92668,0.6901647,"SP110 nuclear body protein","209762_x_at",1.07e-07,3.59e-09,8.7516041,11.064215,0.96539107,"SP110 nuclear body protein"
"399","SPAG16","219109_at",2.9e-25,7.81e-27,-12.9,50.2419204,-0.719,"sperm associated antigen 16","ILMN_1768732",0.03423768,0.00662,2.9082889,-2.70144,0.7145956,"sperm associated antigen 16","219109_at",1.68e-07,6.48e-09,-8.4879489,10.475456,-0.99301879,"sperm associated antigen 16"
"400","SPCS3","218817_at",3.2e-29,5.47e-31,14.3,59.7581899,2.63,"signal peptidase complex subunit 3","ILMN_1667707",0.04688051,0.0101,2.736041,-3.08961,0.6828736,"signal peptidase complex subunit 3","222753_s_at",2.27e-10,4.93e-13,13.3403484,19.869483,1.73608937,"signal peptidase complex subunit 3"
"401","SPTAN1","214925_s_at",5.9e-27,1.33e-28,-13.5,54.2902143,-1.96,"spectrin alpha, non-erythrocytic 1","ILMN_2095133",0.02141875,0.00341,-3.168228,-2.09113,-0.8506002,"spectrin alpha, non-erythrocytic 1","214925_s_at",4.11e-06,3.66e-07,-6.782369,6.443399,-1.5756282,"spectrin alpha, non-erythrocytic 1"
"402","SPTBN2","205155_s_at",5.16e-09,8.59e-10,6.5,11.3801935,0.757,"spectrin beta, non-erythrocytic 2","ILMN_1667079",0.00069742,2.09e-05,-4.9976103,2.71516,-1.101405,"spectrin beta, non-erythrocytic 2","205155_s_at",4.42e-07,2.21e-08,-7.9515555,9.24844,-1.18292211,"spectrin beta, non-erythrocytic 2"
"403","SREK1","243361_at",1.36e-08,2.39e-09,-6.31,10.3791413,-1.04,"splicing regulatory glutamic acid and lysine rich protein 1","ILMN_2373266",0.00047468,1.12e-05,5.2138022,3.31087,1.7816563,"splicing regulatory glutamic acid and lysine rich protein 1","238781_at",0.0015,0.000409,-4.0600247,-0.517349,-0.61480959,"splicing regulatory glutamic acid and lysine rich protein 1"
"404","SRGN","201858_s_at",6.39e-08,1.21e-08,5.99,8.7912836,1.22,"serglycin","ILMN_1760347",0.0001315,1.57e-06,5.8961598,5.19141,1.470269,"serglycin","201858_s_at",2.31e-08,4.78e-10,9.6864072,13.075271,1.77771881,"serglycin"
"405","SRM","201516_at",6.5e-26,1.63e-27,13.1,51.8017749,1.43,"spermidine synthase","ILMN_1661337",0.00747273,0.000739,-3.7389217,-0.66701,-0.9248467,"spermidine synthase","201516_at",1.85e-09,1.35e-11,11.481488,16.613775,1.20780367,"spermidine synthase"
"406","SSBP1","214060_at",0.00053,0.000164,3.85,-0.3965686,0.677,"single stranded DNA binding protein 1","ILMN_1809478",0.00318619,0.000215,4.1817818,0.49663,1.1838416,"single stranded DNA binding protein 1","1562442_a_at",0.00505,0.00171,-3.5026248,-1.905697,-0.60519525,"single stranded DNA binding protein 1"
"407","SSBP2","238484_s_at",1.13e-14,9.87e-16,-8.88,24.8641625,-1.35,"single stranded DNA binding protein 2","ILMN_1711608",0.01113662,0.00133,3.5233018,-1.21685,0.638125,"single stranded DNA binding protein 2","238483_at",1.51e-05,1.77e-06,-6.1546351,4.871746,-0.6899674,"single stranded DNA binding protein 2"
"408","SSH3","219241_x_at",5.23e-10,7.83e-11,6.95,13.7318937,0.641,"slingshot protein phosphatase 3","ILMN_1755234",0.02446356,0.00411,-3.0951883,-2.2654,-0.6958708,"slingshot protein phosphatase 3","51192_at",0.00074,0.000178,-4.3798187,0.29954,-0.59072138,"slingshot protein phosphatase 3"
"409","SSX2IP","203017_s_at",4.58e-10,6.79e-11,6.97,13.8715868,0.653,"SSX family member 2 interacting protein","ILMN_1720844",0.02134569,0.00339,3.1704195,-2.08587,0.8784289,"SSX family member 2 interacting protein","203019_x_at",9.83e-05,1.65e-05,-5.2868833,2.645778,-0.61733686,"SSX family member 2 interacting protein"
"410","STAT1","AFFX-HUMISGF3A/M97935_MA_at",5.62e-35,4.95e-37,16.5,73.6052364,3.61,"signal transducer and activator of transcription 1","ILMN_1690105",0.00354559,0.000251,4.127479,0.35188,1.1446364,"signal transducer and activator of transcription 1","209969_s_at",1.64e-05,1.95e-06,6.1157691,4.773182,1.98366367,"signal transducer and activator of transcription 1"
"411","STK17B","205214_at",1.22e-15,9.72e-17,9.25,27.1588163,1.31,"serine/threonine kinase 17b","ILMN_1798543",0.01796682,0.00266,3.2630622,-1.86187,1.0435787,"serine/threonine kinase 17b","217503_at",0.000232,4.55e-05,4.8992447,1.641467,1.09659296,"serine/threonine kinase 17b"
"412","STRBP","229513_at",1.45e-18,8.31e-20,-10.4,34.163916,-0.92,"spermatid perinuclear RNA binding protein","ILMN_1808783",0.01654537,0.00238,3.305253,-1.75883,0.9016983,"spermatid perinuclear RNA binding protein","233251_at",0.00269,0.000817,-3.7927276,-1.190155,-0.85927037,"spermatid perinuclear RNA binding protein"
"413","STX19","1555173_at",3.14e-24,9.58e-26,12.5,47.7484195,1.78,"syntaxin 19","ILMN_1775587",8.93e-06,9.33e-09,7.727218,10.07873,2.4180636,"syntaxin 19","1555173_at",6.63e-06,6.49e-07,-6.5518352,5.870925,-1.59906832,"syntaxin 19"
"414","SUB1","214512_s_at",2.14e-30,3.12e-32,14.8,62.6081012,1.06,"SUB1 homolog, transcriptional regulator","ILMN_1736054",0.00035481,7.04e-06,5.3749887,3.7556,1.2329639,"SUB1 homolog, transcriptional regulator","214512_s_at",1.4e-07,5.09e-09,8.5952655,10.716248,0.73117003,"SUB1 homolog, transcriptional regulator"
"415","SUGT1","244368_x_at",7.74e-05,2.14e-05,-4.37,1.5453995,-0.666,"SGT1 homolog, MIS12 kinetochore complex assembly cochaperone","ILMN_2054725",0.00491269,0.000401,3.9598386,-0.0916,0.9470494,"SGT1 homolog, MIS12 kinetochore complex assembly cochaperone","228045_at",2.13e-06,1.63e-07,-7.1112092,7.249532,-0.88883108,"SGT1 homolog, MIS12 kinetochore complex assembly cochaperone"
"416","SULT2B1","205759_s_at",2.45e-18,1.44e-19,10.3,33.6210483,1.93,"sulfotransferase family 2B member 1","ILMN_1763520",0.0320447,0.00603,-2.9448924,-2.61722,-0.6580889,"sulfotransferase family 2B member 1","205759_s_at",0.000582,0.000134,-4.4888852,0.580221,-1.17611784,"sulfotransferase family 2B member 1"
"417","SUPT20H","216682_s_at",1.43e-12,1.59e-13,-8.03,19.8408072,-1.14,"SPT20 homolog, SAGA complex component","ILMN_1669555",0.00193586,0.000102,4.4445144,1.20335,0.9581886,"SPT20 homolog, SAGA complex component","216717_at",0.000404,8.75e-05,-4.6504548,0.997325,-0.9294204,"SPT20 homolog, SAGA complex component"
"418","SURF4","222977_at",3.01e-06,6.97e-07,5.16,4.8461637,0.629,"surfeit 4","ILMN_1690761",0.01495242,0.00204,-3.3629483,-1.61692,-0.8264207,"surfeit 4","222977_at",9.44e-05,1.58e-05,5.3050077,2.692672,0.71480555,"surfeit 4"
"419","SUSD2","227480_at",8.99e-13,9.76e-14,-8.11,20.3224435,-1.44,"sushi domain containing 2","ILMN_1693270",0.01012344,0.00116,-3.573485,-1.09003,-1.3630699,"sushi domain containing 2","234310_s_at",6.71e-06,6.59e-07,-6.5456191,5.85541,-0.70135408,"sushi domain containing 2"
"420","SYNE2","202761_s_at",5.15e-23,1.77e-24,-12,44.846948,-0.852,"spectrin repeat containing nuclear envelope protein 2","ILMN_1754579",0.02895649,0.00524,3.0007897,-2.48747,0.6625261,"spectrin repeat containing nuclear envelope protein 2","202761_s_at",4.65e-08,1.22e-09,-9.2454861,12.141511,-1.29394247,"spectrin repeat containing nuclear envelope protein 2"
"421","SYNGR1","204287_at",1.04e-10,1.43e-11,-7.25,15.4063591,-1.11,"synaptogyrin 1","ILMN_1810875",0.00353859,0.00025,-4.1286819,0.35508,-0.8439689,"synaptogyrin 1","204287_at",5.08e-08,1.38e-09,-9.1878483,12.017502,-1.58148331,"synaptogyrin 1"
"422","SYT17","205613_at",3.3e-14,3.04e-15,-8.69,23.7496108,-0.927,"synaptotagmin 17","ILMN_1657760",0.01454432,0.00195,-3.3795491,-1.57589,-0.8135947,"synaptotagmin 17","205613_at",2.55e-06,2.03e-07,-7.0216593,7.031272,-1.06071392,"synaptotagmin 17"
"423","SYT8","232802_at",4.17e-19,2.24e-20,-10.6,35.4652271,-1.69,"synaptotagmin 8","ILMN_1679836",0.00053636,1.37e-05,-5.1453264,3.12205,-1.4742654,"synaptotagmin 8","232802_at",4.65e-05,6.76e-06,-5.6311483,3.534307,-0.76163338,"synaptotagmin 8"
"424","TAF13","227278_at",7.9e-17,5.51e-18,9.71,30.0042211,0.626,"TATA-box binding protein associated factor 13","ILMN_2061318",0.02966801,0.0054,2.9885051,-2.5161,0.7495156,"TATA-box binding protein associated factor 13","205966_at",0.00826,0.00304,3.2740138,-2.455574,0.64642883,"TATA-box binding protein associated factor 13"
"425","TAGLN","205547_s_at",4.3e-18,2.56e-19,-10.2,33.04625,-1.42,"transgelin","ILMN_1778668",0.00508812,0.000424,-3.9405193,-0.14235,-0.7200326,"transgelin","1555724_s_at",3.44e-07,1.61e-08,8.0898592,9.568538,1.42867164,"transgelin"
"426","TAOK2","204986_s_at",0.000834,0.000267,3.72,-0.8533108,0.624,"TAO kinase 2","ILMN_1701487",0.03071888,0.00569,-2.9683605,-2.56291,-0.6050718,"TAO kinase 2","204986_s_at",0.000361,7.66e-05,4.7010133,1.128087,0.76759528,"TAO kinase 2"
"427","TCEAL9","217975_at",3.13e-15,2.59e-16,9.09,26.1888213,0.6,"transcription elongation factor A like 9","ILMN_1679838",1.69e-06,5.88e-10,8.7743578,12.69051,2.2816159,"transcription elongation factor A like 9","217975_at",1.11e-05,1.21e-06,6.3038208,5.248817,0.59723699,"transcription elongation factor A like 9"
