"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.VL","adj.P.Val.VL","P.Value.VL","t.VL","B.VL","logFC.VL","Gene.title.VL","ID.HS","adj.P.Val.HS","P.Value.HS","t.HS","B.HS","logFC.HS","Gene.title.HS"
"1","ABLIM2","228132_at",1.89e-29,3.1e-31,-14.4,60.3229346,-2.22,"actin binding LIM protein family member 2","ILMN_1758825",0.00364409,0.00026,-4.1146462,0.31775,-0.8183847,"actin binding LIM protein family member 2","228132_at",0.00111,0.000287,-4.1958948,-0.171583,-0.79588965,"actin binding LIM protein family member 2"
"2","ACAA2","241114_s_at",5.98e-10,9e-11,-6.92,13.5950045,-1.15,"acetyl-CoA acyltransferase 2","ILMN_1660199",0.01182584,0.00145,3.4899491,-1.30072,0.7129633,"acetyl-CoA acyltransferase 2","202002_at",1.71e-07,6.65e-09,8.4762988,10.449222,0.61052869,"acetyl-CoA acyltransferase 2"
"3","ACAT1","205412_at",5.67e-29,9.98e-31,-14.2,59.1600076,-0.948,"acetyl-CoA acetyltransferase 1","ILMN_1800008",0.03651638,0.00719,2.8750528,-2.77741,0.7069348,"acetyl-CoA acetyltransferase 1","1559239_s_at",0.000904,0.000225,-4.2894282,0.067615,-0.8693785,"acetyl-CoA acetyltransferase 1"
"4","ACER3","222689_at",5.34e-17,3.63e-18,9.78,30.4167449,1.21,"alkaline ceramidase 3","ILMN_1812552",0.00364409,0.00026,4.1144945,0.31734,0.6730827,"alkaline ceramidase 3","222689_at",4.84e-08,1.29e-09,9.2202897,12.087356,0.9405161,"alkaline ceramidase 3"
"5","ACP5","204638_at",2.99e-25,8.07e-27,12.9,50.2087432,1.75,"acid phosphatase 5, tartrate resistant","ILMN_2078599",0.02647422,0.0046,-3.0517231,-2.3681,-0.593246,"acid phosphatase 5, tartrate resistant","204638_at",5.38e-07,2.86e-08,7.8411987,8.991186,1.52187236,"acid phosphatase 5, tartrate resistant"
"6","ACSF2","218844_at",1.34e-15,1.07e-16,-9.24,27.0629238,-1.2,"acyl-CoA synthetase family member 2","ILMN_1711928",0.01060497,0.00124,-3.5482192,-1.15397,-0.6163694,"acyl-CoA synthetase family member 2","218844_at",0.00493,0.00166,-3.5138218,-1.87842,-0.64895525,"acyl-CoA synthetase family member 2"
"7","ACVR1B","205209_at",8.46e-08,1.62e-08,-5.94,8.5047275,-0.862,"activin A receptor type 1B","ILMN_2243308",0.0493831,0.0109,-2.7074732,-3.15262,-0.6651741,"activin A receptor type 1B","208218_s_at",0.000619,0.000144,-4.4609683,0.5083,-0.71836458,"activin A receptor type 1B"
"8","ADGRG1","206582_s_at",0.00073,0.000231,3.76,-0.7193887,0.609,"adhesion G protein-coupled receptor G1","ILMN_2352097",0.0447327,0.00951,-2.7621889,-3.03159,-0.8312674,"adhesion G protein-coupled receptor G1","206582_s_at",0.000102,1.73e-05,-5.2684947,2.598191,-0.61505364,"adhesion G protein-coupled receptor G1"
"9","AGFG2","222126_at",2.7e-18,1.58e-19,-10.3,33.5234829,-1.34,"ArfGAP with FG repeats 2","ILMN_1703228",0.00059733,1.61e-05,-5.0876697,2.96314,-0.7365093,"ArfGAP with FG repeats 2","222362_at",4.96e-09,5.56e-11,-10.7460353,15.213746,-1.69429935,"ArfGAP with FG repeats 2"
"10","AGPS","225114_at",4.83e-07,1.02e-07,5.56,6.716301,0.731,"alkylglycerone phosphate synthase","ILMN_1698209",0.00413329,0.000311,4.0507371,0.1482,0.9182704,"alkylglycerone phosphate synthase","205401_at",3.16e-09,2.89e-11,11.0816721,15.860987,0.98595529,"alkylglycerone phosphate synthase"
"11","AGTRAP","225059_at",8.36e-21,3.74e-22,11.2,39.5299528,1.08,"angiotensin II receptor associated protein","ILMN_2307656",0.01195114,0.00148,-3.4833377,-1.3173,-0.5929717,"angiotensin II receptor associated protein","225059_at",2.53e-07,1.09e-08,8.2583369,9.954987,1.01778527,"angiotensin II receptor associated protein"
"12","AHSA2","212980_at",1.48e-07,2.93e-08,-5.82,7.9272187,-0.631,"AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)","ILMN_1798308",0.02653862,0.00462,3.0499915,-2.37218,1.2324498,"AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)","230148_at",2.98e-06,2.46e-07,-6.9432534,6.839386,-0.78939569,"AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)"
"13","AIF1","209901_x_at",0.000294,8.82e-05,4.02,0.1945984,0.677,"allograft inflammatory factor 1","ILMN_1792473",0.01097107,0.0013,3.5309648,-1.19753,0.8874445,"allograft inflammatory factor 1","213095_x_at",1.36e-07,4.86e-09,8.6154621,10.761388,1.16394457,"allograft inflammatory factor 1"
"14","AKR1B10","206561_s_at",2.53e-50,3.33e-53,22.7,110.6252226,6.77,"aldo-keto reductase family 1 member B10","ILMN_1672148",1.813e-05,3.7e-08,7.2234893,8.76967,2.2752749,"aldo-keto reductase family 1 member B10","206561_s_at",0.00425,0.0014,3.5827111,-1.709959,1.77668876,"aldo-keto reductase family 1 member B10"
"15","ALDH7A1","208950_s_at",1.79e-35,1.49e-37,16.7,74.8012283,0.743,"aldehyde dehydrogenase 7 family member A1","ILMN_1687508",0.01126008,0.00135,3.5163811,-1.23428,0.7279067,"aldehyde dehydrogenase 7 family member A1","213591_at",5.8e-05,8.82e-06,-5.5284302,3.269759,-0.83353744,"aldehyde dehydrogenase 7 family member A1"
"16","ALOXE3","222383_s_at",7.36e-14,7.09e-15,8.55,22.9133787,1.2,"arachidonate lipoxygenase 3","ILMN_1678255",0.04127085,0.00851,-2.8074763,-2.93031,-0.8650142,"arachidonate lipoxygenase 3","207708_at",8.68e-08,2.72e-09,-8.8768085,11.340475,-2.00964312,"arachidonate lipoxygenase 3"
"17","ANGPTL4","221009_s_at",9.02e-28,1.84e-29,13.8,56.2583662,3.58,"angiopoietin like 4","ILMN_1707727",0.03819247,0.00765,-2.8504171,-2.83339,-0.616771,"angiopoietin like 4","221009_s_at",0.00175,0.000492,3.9891517,-0.696786,0.86478826,"angiopoietin like 4"
"18","ANK3","239726_at",1.56e-07,3.09e-08,-5.81,7.8746045,-1.14,"ankyrin 3, node of Ranvier (ankyrin G)","ILMN_2390609",0.04500497,0.00958,2.7590252,-3.03862,0.7044751,"ankyrin 3, node of Ranvier (ankyrin G)","206385_s_at",4.18e-08,1.06e-09,-9.3099542,12.279681,-1.24442441,"ankyrin 3, node of Ranvier (ankyrin G)"
"19","ANKRD13C","1556361_s_at",1.16e-37,7.81e-40,17.5,80.0250518,3.82,"ankyrin repeat domain 13C","ILMN_2148507",0.01225987,0.00153,3.4704137,-1.34969,0.7548847,"ankyrin repeat domain 13C","1556361_s_at",0.0083,0.00305,-3.2716426,-2.461203,-0.61391862,"ankyrin repeat domain 13C"
"20","ANLN","1552619_a_at",8.14e-16,6.33e-17,9.32,27.5838447,1.36,"anillin actin binding protein","ILMN_1739645",0.00745713,0.000735,3.740931,-0.66183,2.0315686,"anillin actin binding protein","222608_s_at",0.00146,0.000397,-4.0713383,-0.488644,-0.74879019,"anillin actin binding protein"
"21","ANXA11","214783_s_at",1.35e-20,6.13e-22,-11.1,39.0386821,-1.04,"annexin A11","ILMN_1807003",0.04512854,0.00962,-2.7574369,-3.04216,-0.6702948,"annexin A11","228727_at",0.000263,5.27e-05,-4.8432767,1.496442,-0.79289033,"annexin A11"
"22","APOD","201525_at",6.99e-21,3.09e-22,-11.2,39.7184492,-0.881,"apolipoprotein D","ILMN_1780170",0.00047468,1.12e-05,-5.2140236,3.31148,-1.7934745,"apolipoprotein D","201525_at",0.0434,0.0214,-2.4509338,-4.28651,-0.59472934,"apolipoprotein D"
"23","APOE","212884_x_at",3.24e-16,2.41e-17,-9.48,28.5397996,-0.674,"apolipoprotein E","ILMN_1740938",0.00605211,0.00055,-3.8463329,-0.38863,-1.2549723,"apolipoprotein E","212883_at",0.00269,0.000817,3.7923091,-1.191199,0.98180058,NA
"24","APOOL","222269_at",1.41e-24,4.18e-26,12.6,48.5722682,1.97,"apolipoprotein O like","ILMN_1777483",0.01816435,0.0027,3.2572367,-1.87605,1.2788763,"apolipoprotein O like","213289_at",0.000191,3.63e-05,-4.9863421,1.867211,-0.70300888,"apolipoprotein O like"
"25","AR","211621_at",3.66e-14,3.4e-15,-8.67,23.6402874,-0.629,"androgen receptor","ILMN_1767351",0.03696277,0.0073,-2.8687712,-2.79171,-0.6705351,"androgen receptor","226197_at",0.00197,0.000564,-3.9358778,-0.831199,-0.84481639,"androgen receptor"
"26","ARF3","211622_s_at",3.82e-28,7.42e-30,13.9,57.1635838,2.27,"ADP ribosylation factor 3","ILMN_1682938",0.00298034,0.000194,-4.2186942,0.5953,-0.9485949,"ADP ribosylation factor 3","211622_s_at",3.95e-06,3.48e-07,6.8026889,6.493577,0.75783611,"ADP ribosylation factor 3"
"27","ARG1","231663_s_at",9.66e-32,1.21e-33,15.3,65.8401353,4.59,"arginase 1","ILMN_1812281",0.02797078,0.00497,3.0213343,-2.43945,1.397024,"arginase 1","206177_s_at",0.00513,0.00174,-3.4956325,-1.922715,-0.99763775,"arginase 1"
"28","ARL6IP6","225711_at",6.76e-09,1.14e-09,6.45,11.1008935,0.797,"ADP ribosylation factor like GTPase 6 interacting protein 6","ILMN_1797964",0.02013612,0.00312,3.2019665,-2.00995,0.8952796,"ADP ribosylation factor like GTPase 6 interacting protein 6","225711_at",1.96e-05,2.42e-06,-6.0306438,4.556854,-0.62021576,"ADP ribosylation factor like GTPase 6 interacting protein 6"
"29","ARMC8","236966_at",6.46e-07,1.38e-07,-5.5,6.4198546,-0.948,"armadillo repeat containing 8","ILMN_1781151",0.01284059,0.00165,3.4439042,-1.41595,0.7398211,"armadillo repeat containing 8","236966_at",2.44e-05,3.14e-06,-5.9286804,4.29696,-1.36085451,"armadillo repeat containing 8"
"30","ATG5","202511_s_at",1.34e-23,4.37e-25,12.2,46.2391751,0.805,"autophagy related 5","ILMN_1718265",0.01640022,0.00235,3.3092477,-1.74904,0.6566303,"autophagy related 5","210639_s_at",0.00012,2.09e-05,5.1977824,2.415116,0.58987019,"autophagy related 5"
"31","ATL2","237968_at",0.000142,4.08e-05,4.21,0.9281863,0.635,"atlastin GTPase 2","ILMN_1716384",0.04161031,0.00861,2.8024384,-2.94163,0.871605,"atlastin GTPase 2","1553603_s_at",2.5e-06,1.98e-07,-7.0311483,7.054445,-0.71640786,"atlastin GTPase 2"
"32","ATP11B","1554556_a_at",1.09e-23,3.52e-25,12.3,46.4541471,2.19,"ATPase phospholipid transporting 11B (putative)","ILMN_1658884",0.04925794,0.0108,2.7087023,-3.14992,0.8040641,"ATPase phospholipid transporting 11B (putative)","238811_at",0.00309,0.000958,-3.7303164,-1.345537,-0.77977322,"ATPase phospholipid transporting 11B (putative)"
"33","ATP5S","238799_at",4.69e-14,4.4e-15,-8.63,23.3858172,-1.14,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit s (factor B)","ILMN_1679188",0.02354437,0.00391,3.1149346,-2.21849,0.7178415,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit s (factor B)","239859_x_at",5.53e-06,5.21e-07,-6.6401027,6.0908,-0.63240341,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit s (factor B)"
"34","ATP5SL","1557759_at",2.94e-07,6.02e-08,-5.67,7.2250292,-0.945,"ATP5S like","ILMN_1809027",0.04402023,0.0093,-2.7713794,-3.01111,-0.6123843,"ATP5S like","1557759_at",4.83e-05,7.08e-06,-5.6134625,3.488798,-1.09070612,"ATP5S like"
"35","ATP6V1C1","202872_at",6.56e-15,5.61e-16,8.97,25.4235979,0.995,"ATPase H+ transporting V1 subunit C1","ILMN_1659801",0.01345506,0.00176,3.4192264,-1.47744,0.7456202,"ATPase H+ transporting V1 subunit C1","202872_at",2.44e-06,1.93e-07,7.0434778,7.084539,0.7362041,"ATPase H+ transporting V1 subunit C1"
"36","ATP8B4","220416_at",1.49e-06,3.32e-07,-5.32,5.5649518,-0.676,"ATPase phospholipid transporting 8B4 (putative)","ILMN_1783956",0.00167475,8e-05,4.5307931,1.43739,0.6779693,"ATPase phospholipid transporting 8B4 (putative)","220416_at",0.00434,0.00143,3.5726991,-1.734509,0.67330596,"ATPase phospholipid transporting 8B4 (putative)"
"37","ATP9A","216129_at",1.29e-11,1.6e-12,-7.64,17.5640944,-1.08,"ATPase phospholipid transporting 9A (putative)","ILMN_2089073",0.00836464,0.000872,-3.6785778,-0.82215,-0.8388448,"ATPase phospholipid transporting 9A (putative)","216129_at",1.13e-06,7.27e-08,-7.4466846,8.058402,-1.1276978,"ATPase phospholipid transporting 9A (putative)"
"38","ATXN3","205416_s_at",6.39e-17,4.4e-18,9.75,30.2275721,1.28,"ataxin 3","ILMN_2393497",0.01657895,0.00239,3.3040913,-1.76167,0.810649,"ataxin 3","217321_x_at",6.29e-05,9.71e-06,-5.4911939,3.173726,-0.58643062,"ataxin 3"
"39","AURKA","204092_s_at",8e-29,1.43e-30,14.2,58.8038835,3.02,"aurora kinase A","ILMN_2357438",0.01186649,0.00147,3.4868812,-1.30842,0.6681987,"aurora kinase A","208080_at",0.000359,7.6e-05,4.7039179,1.135602,0.76804333,"aurora kinase A"
"40","B3GALT6","1553959_a_at",1.58e-10,2.22e-11,7.17,14.9709789,1.46,"beta-1,3-galactosyltransferase 6","ILMN_1739749",0.00275711,0.000173,-4.2600569,0.70613,-0.9067917,"beta-1,3-galactosyltransferase 6","1553959_a_at",0.000134,2.38e-05,5.1473649,2.284519,0.86764586,"beta-1,3-galactosyltransferase 6"
"41","BAIAP2","205294_at",9.99e-20,5.03e-21,10.8,36.9488852,1.22,"BAI1 associated protein 2","ILMN_1699727",0.00778193,0.000784,-3.7175465,-0.72207,-0.9431352,"BAI1 associated protein 2","205294_at",0.000385,8.25e-05,-4.6724668,1.054244,-0.68610725,"BAI1 associated protein 2"
"42","BCHE","205433_at",1.85e-06,4.17e-07,-5.27,5.3448654,-0.953,"butyrylcholinesterase","ILMN_2176592",0.02245237,0.00364,3.1426499,-2.1524,1.1445752,"butyrylcholinesterase","205433_at",0.002,0.000575,-3.9288291,-0.848951,-1.35978516,"butyrylcholinesterase"
"43","BGN","201261_x_at",2.93e-11,3.77e-12,-7.49,16.7176538,-0.7,"biglycan","ILMN_2206746",0.00548433,0.000475,-3.8992005,-0.25063,-1.1231488,"biglycan","201262_s_at",5.59e-06,5.27e-07,6.6350353,6.0782,1.40761685,"biglycan"
"44","BUB1","209642_at",1.24e-32,1.39e-34,15.6,67.9944837,2.66,"BUB1 mitotic checkpoint serine/threonine kinase","ILMN_2202948",0.03153793,0.00591,2.9533056,-2.59777,1.4362668,"BUB1 mitotic checkpoint serine/threonine kinase","209642_at",0.00199,0.000571,3.9314217,-0.842422,1.05361904,"BUB1 mitotic checkpoint serine/threonine kinase"
"45","C10orf99","227735_s_at",7.18e-35,6.4e-37,16.5,73.348925,5.25,"chromosome 10 open reading frame 99","ILMN_1802192",0.00071944,2.19e-05,4.9816844,2.67134,1.8205194,"chromosome 10 open reading frame 99","227736_at",0.0249,0.0111,2.7374663,-3.68067,1.23141362,"chromosome 10 open reading frame 99"
"46","C12orf29","228378_at",2.28e-40,1.07e-42,18.6,86.581511,3.07,"chromosome 12 open reading frame 29","ILMN_1792671",0.00977232,0.0011,3.5928281,-1.04095,1.1584999,"chromosome 12 open reading frame 29","213701_at",2.74e-06,2.22e-07,-6.9862318,6.944659,-0.71652297,"chromosome 12 open reading frame 29"
"47","C12orf4","218374_s_at",2.38e-13,2.43e-14,8.35,21.695047,1.19,"chromosome 12 open reading frame 4","ILMN_1751898",0.01201547,0.00149,3.479996,-1.32568,1.4195405,"chromosome 12 open reading frame 4","218374_s_at",3.98e-05,5.6e-06,5.7039751,3.721514,0.619497,"chromosome 12 open reading frame 4"
"48","C15orf59","230475_at",3.6e-06,8.4e-07,-5.12,4.6647443,-0.779,"chromosome 15 open reading frame 59","ILMN_2141118",0.01460729,0.00197,-3.3757367,-1.58532,-0.8046121,"chromosome 15 open reading frame 59","230475_at",6.29e-05,9.73e-06,-5.4907723,3.172639,-0.69787664,"chromosome 15 open reading frame 59"
"49","C1GALT1C1","238989_at",4.33e-11,5.68e-12,-7.41,16.3132657,-1.07,"C1GALT1 specific chaperone 1","ILMN_1751234",0.00968477,0.00109,3.5972842,-1.02963,0.722402,"C1GALT1 specific chaperone 1","219283_at",1e-06,6.24e-08,7.5110746,8.212028,0.71641035,"C1GALT1 specific chaperone 1"
"50","C1orf53","1558508_a_at",1.37e-11,1.7e-12,7.62,17.5041551,0.7,"chromosome 1 open reading frame 53","ILMN_1661595",0.00153401,7.01e-05,4.5770367,1.56317,0.7336152,"chromosome 1 open reading frame 53","1558508_a_at",2.81e-06,2.29e-07,6.972383,6.910761,1.02091543,"chromosome 1 open reading frame 53"
"51","C21orf91","220941_s_at",4.58e-33,4.95e-35,15.8,69.0232021,2.32,"chromosome 21 open reading frame 91","ILMN_1698166",0.00041778,9.21e-06,5.282055,3.49916,0.8684505,"chromosome 21 open reading frame 91","226109_at",2.23e-07,9.25e-09,-8.3306396,10.119652,-0.67231521,"chromosome 21 open reading frame 91"
"52","C2orf40","223623_at",1.96e-18,1.14e-19,-10.3,33.8544354,-1.88,"chromosome 2 open reading frame 40","ILMN_1676822",0.03492583,0.00679,2.8980377,-2.72493,0.7608111,"chromosome 2 open reading frame 40","223623_at",0.00137,0.000367,-4.1016233,-0.411722,-1.53407626,"chromosome 2 open reading frame 40"
"53","C2orf68","238768_at",5.98e-09,1e-09,-6.47,11.2278749,-0.662,"chromosome 2 open reading frame 68","ILMN_1679771",0.00223872,0.000127,-4.3676704,0.99565,-0.9249999,"chromosome 2 open reading frame 68","221878_at",2.68e-06,2.16e-07,-6.9973722,6.971911,-0.62212921,"chromosome 2 open reading frame 68"
"54","C3orf14","236068_s_at",1.01e-18,5.72e-20,-10.4,34.5348071,-1.15,"chromosome 3 open reading frame 14","ILMN_2224486",7.681e-05,6.31e-07,6.2146024,6.06316,1.5358308,"chromosome 3 open reading frame 14","236068_s_at",0.00436,0.00144,-3.571003,-1.738666,-0.6550656,"chromosome 3 open reading frame 14"
"55","C5orf46","1554195_a_at",1.32e-15,1.05e-16,-9.24,27.0839153,-1.75,"chromosome 5 open reading frame 46","ILMN_1718866",0.02105879,0.00333,3.1772852,-2.06938,1.1333679,"chromosome 5 open reading frame 46","1554195_a_at",0.000181,3.39e-05,-5.0121738,1.934167,-2.25469931,"chromosome 5 open reading frame 46"
"56","CAB39L","221003_s_at",2.1e-12,2.37e-13,-7.96,19.4474751,-1.07,"calcium binding protein 39 like","ILMN_1783598",0.00098467,3.6e-05,4.8095376,2.1985,1.288323,"calcium binding protein 39 like","221003_s_at",1.63e-05,1.93e-06,-6.1201117,4.784201,-0.90842243,"calcium binding protein 39 like"
"57","CABLES1","225531_at",1.32e-10,1.84e-11,-7.21,15.1580287,-0.927,"Cdk5 and Abl enzyme substrate 1","ILMN_1653001",0.00259785,0.000158,-4.2907429,0.78852,-0.8709491,"Cdk5 and Abl enzyme substrate 1","225532_at",3.09e-07,1.4e-08,-8.1485541,9.703607,-0.81124544,"Cdk5 and Abl enzyme substrate 1"
"58","CALD1","201615_x_at",1.87e-10,2.65e-11,-7.14,14.7976149,-0.964,"caldesmon 1","ILMN_1730487",6.55e-05,4.93e-07,6.3007273,6.2978,1.7774111,"caldesmon 1","201615_x_at",0.00135,0.000361,4.1083492,-0.394624,0.82482663,"caldesmon 1"
"59","CALM3","200622_x_at",6.52e-11,8.76e-12,7.34,15.8864868,0.759,"calmodulin 3///calmodulin 2///calmodulin 1","ILMN_1666385",0.02936098,0.00533,-2.9936791,-2.50405,-0.6899508,"calmodulin 3","200622_x_at",1.29e-09,7.97e-12,11.7647666,17.135436,1.01603002,"calmodulin 3///calmodulin 2///calmodulin 1"
"60","CAMSAP3","226494_at",1.92e-09,3.05e-10,-6.7,12.3955186,-0.819,"calmodulin regulated spectrin associated protein family member 3","ILMN_2273609",0.00030727,5.52e-06,-5.4594039,3.98853,-0.9685012,"calmodulin regulated spectrin associated protein family member 3","226494_at",2.72e-09,2.32e-11,-11.1960724,16.078386,-1.19692675,"calmodulin regulated spectrin associated protein family member 3"
"61","CAPN3","211890_x_at",3.72e-09,6.11e-10,-6.57,11.7135719,-0.686,"calpain 3","ILMN_1687971",0.03777335,0.00753,-2.8568072,-2.8189,-0.8047958,"calpain 3","210944_s_at",1.68e-07,6.44e-09,-8.490237,10.480606,-1.09557931,"calpain 3"
"62","CARD18","231733_at",9.07e-09,1.56e-09,6.39,10.7977725,1.49,"caspase recruitment domain family member 18","ILMN_1692349",0.00156114,7.26e-05,4.5644915,1.52902,1.5865647,"caspase recruitment domain family member 18","231733_at",0.0264,0.0119,-2.7066192,-3.747716,-0.98371713,"caspase recruitment domain family member 18"
"63","CASK","207620_s_at",1.57e-14,1.39e-15,8.82,24.5235281,0.66,"calcium/calmodulin dependent serine protein kinase","ILMN_1654773",0.02540048,0.00435,3.0731625,-2.31754,0.8025206,"calcium/calmodulin dependent serine protein kinase","238698_at",1.31e-05,1.48e-06,6.2231253,5.04511,0.87991239,"calcium/calmodulin dependent serine protein kinase"
"64","CASP1","211367_s_at",2.33e-21,9.76e-23,11.4,40.8637824,2.04,"caspase 1","ILMN_2326512",0.00060351,1.65e-05,5.0807738,2.94415,1.0422397,"caspase 1","211366_x_at",1.15e-05,1.27e-06,6.2850437,5.201471,0.60193913,"caspase 1"
"65","CAV2","203323_at",8.44e-26,2.14e-27,-13.1,51.529395,-0.683,"caveolin 2","ILMN_1735220",0.03112247,0.00581,2.9599215,-2.58246,0.721353,"caveolin 2","203323_at",5.44e-05,8.16e-06,-5.5585217,3.347316,-0.60341965,"caveolin 2"
"66","CBLC","220638_s_at",3.68e-19,1.97e-20,10.6,35.5949624,1.62,"Cbl proto-oncogene C","ILMN_1811729",0.02373454,0.00395,-3.1107355,-2.22848,-0.8641848,"Cbl proto-oncogene C","220638_s_at",0.000121,2.12e-05,-5.1916551,2.399247,-0.99529393,"Cbl proto-oncogene C"
"67","CBR4","1553693_s_at",4.11e-19,2.21e-20,-10.6,35.4799364,-1.05,"carbonyl reductase 4","ILMN_1813400",0.01850738,0.00277,3.2470542,-1.9008,0.871515,"carbonyl reductase 4","1553693_s_at",3.74e-06,3.26e-07,-6.8286885,6.557711,-1.46908098,"carbonyl reductase 4"
"68","CBX3","230998_at",1.13e-07,2.2e-08,-5.87,8.2071557,-0.656,"chromobox 3","ILMN_1790625",7.757e-05,6.64e-07,6.19658,6.014,1.2084038,"chromobox 3","201091_s_at",1.65e-08,3e-10,9.9101805,13.539169,0.61112085,"chromobox 3"
"69","CCDC146","227091_at",1.03e-16,7.25e-18,-9.67,29.732144,-1.6,"coiled-coil domain containing 146","ILMN_1790555",0.00326562,0.000222,4.1712236,0.46845,1.9648785,"coiled-coil domain containing 146","227091_at",6.71e-10,2.69e-12,-12.3628143,18.205857,-1.57669378,"coiled-coil domain containing 146"
"70","CCDC90B","1568834_s_at",8.48e-08,1.63e-08,-5.94,8.5021825,-1.2,"coiled-coil domain containing 90B","ILMN_2232166",2.959e-05,9.86e-08,6.8707931,7.83506,1.7950556,"coiled-coil domain containing 90B","1568834_s_at",0.000151,2.76e-05,-5.0906336,2.137519,-1.03140326,"coiled-coil domain containing 90B"
"71","CCNC","1569126_at",2.47e-13,2.53e-14,-8.34,21.656707,-1.07,"cyclin C","ILMN_2409395",0.00226726,0.00013,4.3603797,0.97598,1.268207,"cyclin C","1569126_at",0.000762,0.000184,-4.3666691,0.265758,-1.01284236,"cyclin C"
"72","CD207","220428_at",1.67e-11,2.1e-12,-7.59,17.2954909,-1.55,"CD207 molecule","ILMN_1718754",0.0065555,0.000617,-3.8044637,-0.49747,-1.240696,"CD207 molecule","220428_at",6.54e-07,3.65e-08,-7.7376342,8.748294,-2.09693922,"CD207 molecule"
"73","CD248","219025_at",2.17e-07,4.37e-08,-5.74,7.5388355,-0.953,"CD248 molecule","ILMN_1726589",2.406e-05,6.47e-08,-7.022136,8.23781,-1.5211157,"CD248 molecule","219025_at",0.00049,0.000109,4.5650448,0.776666,0.88990499,"CD248 molecule"
"74","CD3D","213539_at",7.45e-22,2.94e-23,11.6,42.0577166,2.71,"CD3d molecule","ILMN_2325837",0.0205502,0.00321,3.1908151,-2.03683,1.3581754,"CD3d molecule","213539_at",1.51e-08,2.65e-10,9.9698856,13.661816,1.47425468,"CD3d molecule"
"75","CD99L2","233825_s_at",1.43e-09,2.25e-10,-6.75,12.6953795,-0.638,"CD99 molecule like 2","ILMN_2388142",0.0284906,0.00509,-3.0120051,-2.46128,-0.6440994,"CD99 molecule like 2","223041_at",3.24e-06,2.73e-07,6.9015156,6.736943,0.73742474,"CD99 molecule like 2"
"76","CDCA7","224428_s_at",5.08e-16,3.85e-17,9.4,28.076761,1.02,"cell division cycle associated 7","ILMN_1737184",0.00146018,6.5e-05,4.6031382,1.63426,0.8173628,"cell division cycle associated 7","224428_s_at",9.91e-05,1.67e-05,-5.2826099,2.63472,-0.71428295,"cell division cycle associated 7"
"77","CDKN3","1555758_a_at",3.21e-33,3.42e-35,15.8,69.3911317,3.34,"cyclin dependent kinase inhibitor 3","ILMN_1666305",0.00019122,2.87e-06,5.6858133,4.61279,1.5495985,"cyclin dependent kinase inhibitor 3","1555758_a_at",0.00055,0.000125,4.5137294,0.644267,0.91498821,"cyclin dependent kinase inhibitor 3"
"78","CEBPA","204039_at",5.47e-06,1.3e-06,5.02,4.2391225,0.61,"CCAAT/enhancer binding protein alpha","ILMN_1715715",0.01113662,0.00133,-3.5226483,-1.21849,-1.0553041,"CCAAT/enhancer binding protein alpha","204039_at",2e-06,1.5e-07,-7.1470004,7.336494,-0.87734569,"CCAAT/enhancer binding protein alpha"
"79","CENPN","228559_at",1.74e-22,6.36e-24,11.8,43.5782638,2.57,"centromere protein N","ILMN_1720526",7.077e-05,5.53e-07,6.2609269,6.18944,1.6494195,"centromere protein N","222118_at",0.000315,6.51e-05,4.7627567,1.287892,1.04638015,"centromere protein N"
"80","CEP135","207286_at",3.73e-14,3.46e-15,-8.67,23.6232089,-1.23,"centrosomal protein 135","ILMN_1693766",0.00177345,8.88e-05,4.4942394,1.33813,1.3028062,"centrosomal protein 135","207286_at",1.37e-05,1.57e-06,-6.200773,4.988578,-0.7641945,"centrosomal protein 135"
"81","CFDP1","236588_at",5.31e-14,5.01e-15,8.61,23.2565785,0.766,"craniofacial development protein 1","ILMN_1800837",0.00108039,4.09e-05,4.764933,2.07628,0.9616837,"craniofacial development protein 1","210701_at",5.67e-05,8.57e-06,-5.5393339,3.297868,-1.41285563,"craniofacial development protein 1"
"82","CHD6","234681_s_at",6.13e-11,8.21e-12,-7.35,15.9509293,-0.774,"chromodomain helicase DNA binding protein 6","ILMN_2209163",0.04800452,0.0105,2.7232542,-3.11787,0.971116,"chromodomain helicase DNA binding protein 6","234681_s_at",0.00188,0.000536,-3.9558335,-0.780898,-0.61467902,"chromodomain helicase DNA binding protein 6"
"83","CHEK1","205393_s_at",3.12e-41,1.3e-43,18.9,88.6822826,2.78,"checkpoint kinase 1","ILMN_1664630",0.0039594,0.000293,4.072018,0.20458,0.8677599,"checkpoint kinase 1","205394_at",0.00418,0.00137,3.590317,-1.691293,0.71358192,"checkpoint kinase 1"
"84","CIRBP","225191_at",4.69e-41,1.98e-43,-18.9,88.2609574,-0.833,"cold inducible RNA binding protein","ILMN_1674661",0.03180275,0.00597,-2.9488389,-2.6081,-0.8041701,"cold inducible RNA binding protein","230142_s_at",2.95e-05,3.95e-06,-5.8396095,4.069279,-0.87242003,"cold inducible RNA binding protein"
