"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.AD","adj.P.Val.AD","P.Value.AD","t.AD","B.AD","logFC.AD","Gene.title.AD","ID.HS","adj.P.Val.HS","P.Value.HS","t.HS","B.HS","logFC.HS","Gene.title.HS","ID","adj.P.Val","P.Value","t","B","logFC","Gene.title"
"50","KRT15","204734_at",3.78e-16,2.84e-17,-9.45,28.3797712,-1.14,"keratin 15","204734_at",0.348,0.01624881,-2.59,-4.86861,-0.686,"keratin 15","204734_at",0.006,0.00209,-3.4229173,-2.09898,-0.90669826,"keratin 15",8015337,0.0582863,0.00536,-3.3300831,-2.41965,-1.26447762,"keratin 15"
"51","KRT16","209800_at",8.98e-50,1.27e-52,22.5,109.301356,3.2,"keratin 16","209800_at",0.236,0.00336206,3.26,-3.36866,2,"keratin 16","209800_at",2.56e-06,2.03e-07,7.0211076,7.029924,2.29204841,"keratin 16",8015376,0.2227104,0.0462,2.2014905,-4.47021,1.02608548,"keratin 16"
"52","KRT6A","209125_at",2.74e-35,2.32e-37,16.6,74.3578048,1.73,"keratin 6A","209125_at",0.322,0.01288975,2.69,-4.65161,1.03,"keratin 6A","209125_at",2.44e-05,3.13e-06,5.9299684,4.300248,1.36720756,"keratin 6A",7963421,0.1912377,0.0354,2.3449498,-4.22422,1.86096452,"keratin 6A"
"53","LCP1","208885_at",1.45e-05,3.64e-06,4.79,3.248243,0.625,"lymphocyte cytosolic protein 1","208885_at",0.465,0.03918042,2.18,-5.67779,1.05,"lymphocyte cytosolic protein 1","208885_at",0.000121,2.11e-05,5.193417,2.40381,0.6123466,"lymphocyte cytosolic protein 1",7971461,0.0166386,0.00073,4.3796257,-0.45443,1.3715231,"lymphocyte cytosolic protein 1"
"54","LCP2","205269_at",2.62e-12,3e-13,7.92,19.2134707,1.27,"lymphocyte cytosolic protein 2","205269_at",0.277,0.00770866,2.92,-4.16515,1.13,"lymphocyte cytosolic protein 2","205269_at",3.42e-09,3.24e-11,11.0225513,15.748002,1.76111242,"lymphocyte cytosolic protein 2",8115734,0.0001305,1.69e-07,9.9864684,7.71059,1.08980643,"lymphocyte cytosolic protein 2"
"55","LYN","202626_s_at",6.03e-38,3.9e-40,17.6,80.715084,2.51,"LYN proto-oncogene, Src family tyrosine kinase","202626_s_at",0.195,0.00122424,3.68,-2.38466,1.11,"LYN proto-oncogene, Src family tyrosine kinase","202626_s_at",2.73e-08,5.94e-10,9.5826742,12.857951,1.65800618,"LYN proto-oncogene, Src family tyrosine kinase",8146500,0.0138595,0.000544,4.539087,-0.16257,1.21439976,"LYN proto-oncogene, Src family tyrosine kinase"
"56","LYZ","1555745_a_at",7.15e-08,1.36e-08,5.97,8.6754705,2.07,"lysozyme","213975_s_at",0.367,0.01879162,2.52,-5.00407,1.29,"lysozyme","1555745_a_at",5.7e-06,5.4e-07,6.6255449,6.054594,2.35344604,"lysozyme",7957023,0.1108237,0.0146,2.8126618,-3.38537,1.71225571,"lysozyme"
"57","MIR21","224917_at",1.38e-39,7.09e-42,18.3,84.7025546,2.17,"microRNA 21///vacuole membrane protein 1","224917_at",0.196,0.00133588,3.64,-2.47017,1.54,"microRNA 21///vacuole membrane protein 1","224917_at",1.54e-06,1.08e-07,7.2831614,7.665886,1.54998575,"microRNA 21///vacuole membrane protein 1",8008885,0.0001305,1.38e-07,10.1599334,7.89836,3.31881214,"microRNA 21"
"58","MMP12","204580_at",7.83e-22,3.1e-23,11.6,42.0049312,3.96,"matrix metallopeptidase 12","204580_at",0.337,0.01474409,2.63,-4.77773,3.29,"matrix metallopeptidase 12","204580_at",2.16e-07,8.85e-09,8.3499203,10.163443,4.27535865,"matrix metallopeptidase 12",7951297,0.0003107,9.39e-07,8.600547,6.08765,2.91575048,"matrix metallopeptidase 12"
"59","MS4A6A","230550_at",0.000921,0.000297,3.69,-0.9541657,0.888,"membrane spanning 4-domains A6A","219666_at",0.476,0.04159024,2.16,-5.73159,0.946,"membrane spanning 4-domains A6A","219666_at",4.71e-06,4.3e-07,6.71717,6.282086,1.10674482,"membrane spanning 4-domains A6A",7948455,0.1114197,0.0147,2.8088008,-3.39247,0.69754357,"membrane spanning 4-domains A6A"
"60","MX2","204994_at",1.21e-24,3.54e-26,12.6,48.7377873,2.39,"MX dynamin like GTPase 2","204994_at",0.32,0.01261407,2.7,-4.63128,0.883,"MX dynamin like GTPase 2","204994_at",1.33e-08,2.27e-10,10.0462926,13.818083,1.38117858,"MX dynamin like GTPase 2",8068697,0.0857527,0.00975,3.0210183,-2.99939,0.68296095,"MX dynamin like GTPase 2"
"61","MYD88","209124_at",1.2e-32,1.34e-34,15.6,68.0346873,1.16,"myeloid differentiation primary response 88","209124_at",0.135,0.0001966,4.41,-0.57565,0.61,"myeloid differentiation primary response 88","209124_at",5.78e-06,5.5e-07,6.6179713,6.035749,0.7797957,"myeloid differentiation primary response 88",8078729,0.0025052,3.91e-05,6.0545836,2.44871,0.73176167,"myeloid differentiation primary response 88"
"62","NABP1","222872_x_at",5.16e-24,1.61e-25,12.4,47.2324668,1.69,"nucleic acid binding protein 1","233085_s_at",0.275,0.00756336,2.92,-4.14703,0.68,"nucleic acid binding protein 1","219334_s_at",5.99e-09,7.47e-11,10.5959732,14.919763,2.06942673,"nucleic acid binding protein 1",8047161,0.0022627,3.29e-05,6.1616324,2.62068,2.25496548,"nucleic acid binding protein 1"
"63","NAMPT","1555167_s_at",7.57e-47,1.69e-49,21.2,102.1530416,4.4,"nicotinamide phosphoribosyltransferase","243296_at",0.416,0.02747322,2.35,-5.35477,0.624,"nicotinamide phosphoribosyltransferase","1555167_s_at",0.000673,0.000158,4.4241093,0.41342,1.64780269,"nicotinamide phosphoribosyltransferase",7933084,0.0001163,7.69e-08,10.6759837,8.43834,2.8244819,"nicotinamide phosphoribosyltransferase"
"64","NCF2","209949_at",1.12e-12,1.23e-13,8.07,20.0968207,1.36,"neutrophil cytosolic factor 2","209949_at",0.416,0.02770452,2.35,-5.36246,0.886,"neutrophil cytosolic factor 2","209949_at",0.0031,0.000963,3.7283909,-1.350319,0.61487365,"neutrophil cytosolic factor 2",7922773,0.0016953,1.92e-05,6.4992385,3.15181,1.63496857,"neutrophil cytosolic factor 2"
"65","NMI","203964_at",1.9e-38,1.15e-40,17.8,81.9306479,1.14,"N-myc and STAT interactor","203964_at",0.454,0.03631653,2.22,-5.60915,0.74,"N-myc and STAT interactor","203964_at",3.98e-06,3.52e-07,6.7985235,6.483295,0.63497655,"N-myc and STAT interactor",8055702,0.0266428,0.00158,3.9670117,-1.22044,0.65930548,"N-myc and STAT interactor"
"66","OSMR","1554008_at",1.56e-14,1.38e-15,8.82,24.5332862,1.63,"oncostatin M receptor","226621_at",0.196,0.00127216,3.66,-2.42229,0.824,"oncostatin M receptor","205729_at",0.00332,0.00104,3.6977735,-1.426264,0.9030763,"oncostatin M receptor",8105040,0.0001163,8.73e-08,10.5613943,8.32079,2.21022762,"oncostatin M receptor"
"67","P2RY13","220005_at",2.9e-06,6.7e-07,5.17,4.8845202,1.14,"purinergic receptor P2Y13","220005_at",0.469,0.03992695,2.18,-5.69482,0.686,"purinergic receptor P2Y13","220005_at",0.000931,0.000233,4.2757979,0.032705,0.94205202,"purinergic receptor P2Y13",8091523,0.0037812,7.15e-05,5.6904669,1.85095,0.62113571,"purinergic receptor P2Y13"
"68","PAK2","208875_s_at",7.64e-08,1.46e-08,5.96,8.609025,1.21,"p21 (RAC1) activated kinase 2","208876_s_at",0.457,0.03720074,2.21,-5.63093,0.637,"p21 (RAC1) activated kinase 2","1559052_s_at",2.05e-05,2.55e-06,6.0100079,4.504322,0.6383961,"p21 (RAC1) activated kinase 2",8084963,0.0048096,0.000104,5.4674212,1.47513,0.78256976,"p21 (RAC1) activated kinase 2"
"69","PALMD","222725_s_at",1.51e-07,3e-08,-5.81,7.9057559,-0.753,"palmdelphin","232187_at",0.453,0.03604899,-2.22,-5.60245,-0.709,"palmdelphin","218736_s_at",0.000102,1.72e-05,-5.2705682,2.603558,-0.75089188,"palmdelphin",7903227,0.0063169,0.000162,-5.2148032,1.04085,-0.67373714,"palmdelphin"
"70","PANX1","204715_at",1.52e-35,1.25e-37,16.7,74.9735865,1.86,"pannexin 1","204715_at",0.296,0.0100686,2.8,-4.41864,0.841,"pannexin 1","204715_at",1.82e-05,2.22e-06,6.0648707,4.643908,0.70502767,"pannexin 1",7943218,0.0016314,1.81e-05,6.5355258,3.20788,1.51891571,"pannexin 1"
