"","Gene.symbol","ID.VL","adj.P.Val.VL","P.Value.VL","t.VL","B.VL","logFC.VL","Gene.title.VL","ID.HS","adj.P.Val.HS","P.Value.HS","t.HS","B.HS","logFC.HS","Gene.title.HS"
"307","GJB5","ILMN_1735365",0.02141536,0.0034,-3.1684093,-2.0907,-0.6018473,"gap junction protein beta 5","206156_at",3.13e-07,1.42e-08,-8.1425095,9.689718,-1.68525256,"gap junction protein beta 5"
"308","GK","ILMN_2393296",0.00475047,0.000382,3.977833,-0.04426,1.1190363,"glycerol kinase","215977_x_at",4.22e-07,2.09e-08,7.976713,9.306857,2.04622604,"glycerol kinase"
"309","GLB1L2","ILMN_2144401",0.02338753,0.00387,-3.1185189,-2.20996,-0.6413636,"galactosidase beta 1 like 2","213713_s_at",2.56e-05,3.33e-06,-5.9064687,4.240238,-1.00837239,"galactosidase beta 1 like 2"
"310","GLMP","ILMN_1698243",0.00087853,3.03e-05,-4.8691803,2.36213,-1.0856771,"glycosylated lysosomal membrane protein","1558693_s_at",4.82e-09,5.31e-11,10.7690644,15.258609,0.88723491,"glycosylated lysosomal membrane protein"
"311","GLRX3","ILMN_2056479",0.00241784,0.000142,4.3280797,0.88894,1.2021849,"glutaredoxin 3","230095_at",5.7e-07,3.08e-08,-7.8101764,8.918578,-0.98325044,"glutaredoxin 3"
"312","GLT8D1","ILMN_1713290",0.01556028,0.00218,3.3389592,-1.67606,0.5886229,"glycosyltransferase 8 domain containing 1","218147_s_at",2.5e-06,1.98e-07,7.0329011,7.058724,0.70401475,"glycosyltransferase 8 domain containing 1"
"313","GM2A","ILMN_2221046",0.01703692,0.00247,-3.2902957,-1.79543,-0.7020782,"GM2 ganglioside activator","215890_at",0.00201,0.000579,3.9262001,-0.85557,0.97190181,"GM2 ganglioside activator"
"314","GMFG","ILMN_1711617",0.0091213,0.000995,3.6302505,-0.94571,0.7239195,"glia maturation factor gamma","204220_at",8.78e-10,4.2e-12,12.1141374,17.765771,1.28974349,"glia maturation factor gamma"
"315","GMPPA","ILMN_1804476",0.01208338,0.00151,-3.477004,-1.33318,-0.734806,"GDP-mannose pyrophosphorylase A","218070_s_at",9.57e-10,4.85e-12,12.0355488,17.625219,0.90355539,"GDP-mannose pyrophosphorylase A"
"316","GNAI2","ILMN_1775762",0.00613415,0.000562,-3.8386122,-0.40873,-0.9662771,"G protein subunit alpha i2","201040_at",1.38e-08,2.38e-10,10.0224665,13.769437,0.75439492,"G protein subunit alpha i2"
"317","GNG10","ILMN_1757074",0.02158542,0.00344,3.1639204,-2.10147,0.6146292,"G protein subunit gamma 10","201921_at",7.79e-08,2.38e-09,8.9374813,11.473576,0.62516087,"G protein subunit gamma 10"
"318","GNL1","ILMN_1789457",0.00906161,0.000985,-3.6341647,-0.93573,-0.7230667,"G protein nucleolar 1 (putative)","228857_at",4.5e-05,6.5e-06,-5.6465721,3.573981,-0.79971491,"G protein nucleolar 1 (putative)"
"319","GNRH1","ILMN_1745991",0.03260595,0.00618,2.9351865,-2.63961,0.8296745,"gonadotropin releasing hormone 1","207987_s_at",7.36e-09,1.01e-10,-10.4438317,14.618763,-1.36106814,"gonadotropin releasing hormone 1"
"320","GOLGA4","ILMN_1776297",0.00021759,3.4e-06,5.6274378,4.45195,1.6565142,"golgin A4","215203_at",2.05e-06,1.54e-07,-7.1342751,7.305593,-1.7114034,"golgin A4"
