"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.HS","adj.P.Val.HS","P.Value.HS","t.HS","B.HS","logFC.HS","Gene.title.HS"
"64","ADGRG1","206582_s_at",0.00073,0.000231,3.76,-0.7193887,0.609,"adhesion G protein-coupled receptor G1","206582_s_at",0.000102,1.73e-05,-5.2684947,2.598191,-0.61505364,"adhesion G protein-coupled receptor G1"
"65","ADGRG6","233887_at",4.27e-06,1.01e-06,-5.08,4.4902857,-0.707,"adhesion G protein-coupled receptor G6","1553025_at",3.18e-07,1.45e-08,-8.1328131,9.667429,-0.89962667,"adhesion G protein-coupled receptor G6"
"66","ADGRL3","236264_at",1.03e-17,6.42e-19,-10.1,32.1353987,-1.72,"adhesion G protein-coupled receptor L3","242186_x_at",0.000397,8.56e-05,-4.6587417,1.018751,-1.22116138,"adhesion G protein-coupled receptor L3"
"67","ADH1B","209614_at",2.87e-08,5.23e-09,-6.16,9.6106608,-0.788,"alcohol dehydrogenase 1B (class I), beta polypeptide","209613_s_at",0.00383,0.00123,-3.6312198,-1.590698,-0.94652813,"alcohol dehydrogenase 1B (class I), beta polypeptide"
"68","ADHFE1","227113_at",3.9e-09,6.41e-10,-6.56,11.6673666,-1.38,"alcohol dehydrogenase, iron containing 1","227113_at",0.000241,4.76e-05,-4.882586,1.598296,-0.85464777,"alcohol dehydrogenase, iron containing 1"
"69","ADORA2B","205891_at",1.18e-09,1.83e-10,6.79,12.8948473,1.05,"adenosine A2b receptor","205891_at",0.000123,2.15e-05,-5.1856878,2.383792,-0.82052799,"adenosine A2b receptor"
"70","ADRA1A","237390_at",1.63e-16,1.17e-17,-9.59,29.2542932,-2.13,"adrenoceptor alpha 1A","235642_at",0.00255,0.000767,-3.8172404,-1.128933,-0.71859153,NA
"71","ADRA2A","209869_at",1.13e-11,1.39e-12,-7.66,17.702551,-0.921,"adrenoceptor alpha 2A","209869_at",0.00197,0.000566,3.9345213,-0.834615,0.81498626,"adrenoceptor alpha 2A"
"72","ADRB1","229309_at",2.07e-21,8.64e-23,-11.4,40.984604,-2.05,"adrenoceptor beta 1","229309_at",0.000172,3.2e-05,-5.0339465,1.990601,-1.7617984,"adrenoceptor beta 1"
"73","AEBP1","201792_at",9.98e-08,1.93e-08,-5.9,8.3341281,-0.599,"AE binding protein 1","201792_at",1.23e-05,1.38e-06,6.2531421,5.120955,0.96034044,"AE binding protein 1"
"74","AEN","219361_s_at",2.14e-29,3.55e-31,14.4,60.1876836,1.97,"apoptosis enhancing nuclease","219361_s_at",1.21e-07,4.2e-09,8.6809553,10.907384,0.9352071,"apoptosis enhancing nuclease"
"75","AFF3","227198_at",7.17e-14,6.9e-15,-8.56,22.9405858,-1.68,"AF4/FMR2 family member 3","227198_at",0.0167,0.00691,-2.9372751,-3.236777,-0.81301847,"AF4/FMR2 family member 3"
"76","AFF4","232865_at",1.75e-06,3.93e-07,-5.28,5.400857,-0.608,"AF4/FMR2 family member 4","232864_s_at",7.1e-05,1.12e-05,-5.4359975,3.031257,-0.7961157,"AF4/FMR2 family member 4"
"77","AGAP11","1557382_x_at",7.49e-17,5.21e-18,-9.72,30.0587336,-1.04,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 11","1557380_at",3.23e-06,2.72e-07,-6.902794,6.740084,-1.28033941,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 11"
"78","AGAP9","240230_s_at",1.84e-14,1.65e-15,-8.79,24.3569005,-1.4,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 9","240230_s_at",0.000814,0.000199,-4.3367998,0.189075,-1.24412035,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 9"
"79","AGFG2","222126_at",2.7e-18,1.58e-19,-10.3,33.5234829,-1.34,"ArfGAP with FG repeats 2","222362_at",4.96e-09,5.56e-11,-10.7460353,15.213746,-1.69429935,"ArfGAP with FG repeats 2"
"80","AGO3","241091_at",1.73e-08,3.07e-09,-6.26,10.1329104,-0.826,"argonaute 3, RISC catalytic component","219426_at",3.49e-05,4.8e-06,5.7641458,3.875941,0.74979164,"argonaute 3, RISC catalytic component"
"81","AGO4","227930_at",4.37e-17,2.94e-18,-9.81,30.6262799,-0.592,"argonaute 4, RISC catalytic component","227930_at",1.85e-07,7.32e-09,-8.4335849,10.352876,-0.73665937,"argonaute 4, RISC catalytic component"
"82","AGPAT1","215535_s_at",2.63e-14,2.4e-15,-8.73,23.9842439,-1.13,"1-acylglycerol-3-phosphate O-acyltransferase 1","32836_at",0.000125,2.19e-05,5.178797,2.365943,0.60786362,"1-acylglycerol-3-phosphate O-acyltransferase 1"
"83","AGPAT4","228667_at",0.002,0.00068,3.46,-1.7316144,0.647,"1-acylglycerol-3-phosphate O-acyltransferase 4","219693_at",9.63e-08,3.11e-09,8.8166069,11.207909,1.10937928,"1-acylglycerol-3-phosphate O-acyltransferase 4"
"84","AGPS","225114_at",4.83e-07,1.02e-07,5.56,6.716301,0.731,"alkylglycerone phosphate synthase","205401_at",3.16e-09,2.89e-11,11.0816721,15.860987,0.98595529,"alkylglycerone phosphate synthase"
"85","AGR3","228241_at",6.69e-10,1.01e-10,-6.9,13.4779022,-1.98,"anterior gradient 3, protein disulphide isomerase family member","228241_at",6.2e-06,5.99e-07,-6.5837415,5.9505,-3.18661413,"anterior gradient 3, protein disulphide isomerase family member"
"86","AGTRAP","225059_at",8.36e-21,3.74e-22,11.2,39.5299528,1.08,"angiotensin II receptor associated protein","225059_at",2.53e-07,1.09e-08,8.2583369,9.954987,1.01778527,"angiotensin II receptor associated protein"
"87","AHI1","244699_at",5.11e-08,9.56e-09,-6.04,9.0213336,-0.703,"Abelson helper integration site 1","244699_at",0.00152,0.000415,-4.0547145,-0.530817,-0.61485601,"Abelson helper integration site 1"
"88","AHNAK","220016_at",1.11e-10,1.54e-11,-7.24,15.3322869,-0.635,"AHNAK nucleoprotein","235281_x_at",0.00403,0.00131,-3.6069661,-1.650391,-1.23036981,"AHNAK nucleoprotein"
"89","AHNAK2","1558378_a_at",3.82e-10,5.62e-11,-7.01,14.057415,-1.68,"AHNAK nucleoprotein 2","212992_at",3.72e-08,9.07e-10,-9.3834626,12.436537,-1.55878133,"AHNAK nucleoprotein 2"
"90","AHRR","229354_at",5.67e-08,1.07e-08,-6.02,8.9139227,-0.95,"aryl-hydrocarbon receptor repressor","229354_at",0.00133,0.000356,-4.1139711,-0.380327,-0.80988,"aryl-hydrocarbon receptor repressor"
"91","AHSA2","212980_at",1.48e-07,2.93e-08,-5.82,7.9272187,-0.631,"AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)","230148_at",2.98e-06,2.46e-07,-6.9432534,6.839386,-0.78939569,"AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)"
"92","AIF1","209901_x_at",0.000294,8.82e-05,4.02,0.1945984,0.677,"allograft inflammatory factor 1","213095_x_at",1.36e-07,4.86e-09,8.6154621,10.761388,1.16394457,"allograft inflammatory factor 1"
"93","AIFM2","228445_at",3.83e-12,4.45e-13,-7.86,18.8235532,-1.27,"apoptosis inducing factor, mitochondria associated 2","224461_s_at",7.1e-05,1.12e-05,5.436496,3.032544,0.86370139,"apoptosis inducing factor, mitochondria associated 2"
"94","AIM2","206513_at",8.58e-34,8.5e-36,16.1,70.7755542,3.85,"absent in melanoma 2","206513_at",3.37e-11,2.22e-14,15.280289,22.883634,3.48607957,"absent in melanoma 2"
"95","AKAP1","201674_s_at",1.53e-10,2.15e-11,-7.18,15.0040704,-0.713,"A-kinase anchoring protein 1","201675_at",2.33e-06,1.81e-07,-7.0686644,7.145958,-0.60014465,"A-kinase anchoring protein 1"
