"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.HS","adj.P.Val.HS","P.Value.HS","t.HS","B.HS","logFC.HS","Gene.title.HS"
"1953","NEXN","226103_at",7.01e-10,1.06e-10,-6.89,13.4313466,-1.16,"nexilin F-actin binding protein","226103_at",2.86e-05,3.81e-06,5.8535567,4.104969,1.29981523,"nexilin F-actin binding protein"
"1954","NF1P9","212678_at",2.19e-07,4.41e-08,-5.74,7.5288173,-0.696,"neurofibromin 1 pseudogene 9///neurofibromin 1","243476_at",1.21e-06,7.9e-08,-7.4117643,7.974866,-0.77073634,"neurofibromin 1 pseudogene 9///neurofibromin 1"
"1955","NFASC","230242_at",1.13e-33,1.15e-35,16,70.4773022,2.5,"neurofascin","214799_at",4.3e-06,3.86e-07,-6.7611737,6.391011,-0.90929304,"neurofascin"
"1956","NFAT5","208003_s_at",0.000889,0.000286,-3.71,-0.9181029,-0.961,"nuclear factor of activated T-cells 5","224984_at",4.19e-07,2.07e-08,-7.9805787,9.315826,-0.75779221,"nuclear factor of activated T-cells 5"
"1957","NFATC4","236270_at",7.18e-07,1.54e-07,-5.48,6.3112976,-0.858,"nuclear factor of activated T-cells 4","205897_at",5.65e-07,3.04e-08,7.8153486,8.930692,0.9522994,"nuclear factor of activated T-cells 4"
"1958","NFIA","229994_at",5.02e-11,6.64e-12,-7.39,16.1596132,-0.945,"nuclear factor I A","224975_at",0.000291,5.95e-05,-4.7972505,1.377215,-0.64543688,"nuclear factor I A"
"1959","NFIB","209290_s_at",2.01e-36,1.51e-38,-17.1,77.0762861,-0.875,"nuclear factor I B","213032_at",0.00067,0.000158,-4.4257336,0.417599,-0.70785027,"nuclear factor I B"
"1960","NFIC","213298_at",5.44e-14,5.15e-15,-8.6,23.2301681,-0.954,"nuclear factor I C","226895_at",8.82e-05,1.46e-05,-5.3357155,2.772101,-0.59317453,"nuclear factor I C"
"1961","NFIL3","203574_at",1.98e-10,2.81e-11,7.13,14.7382785,0.747,"nuclear factor, interleukin 3 regulated","203574_at",3.2e-05,4.35e-06,5.8021244,3.973291,1.07300885,"nuclear factor, interleukin 3 regulated"
"1962","NFIX","229834_at",6.83e-05,1.87e-05,-4.4,1.6723786,-0.628,"nuclear factor I X","227400_at",7.67e-05,1.23e-05,-5.400407,2.939325,-0.73380818,"nuclear factor I X"
"1963","NFKBID","230052_s_at",9.17e-10,1.41e-10,6.84,13.1547808,1.07,"NFKB inhibitor delta","230052_s_at",0.0119,0.00463,3.1028092,-2.857498,0.60598728,"NFKB inhibitor delta"
"1964","NFYC","238231_at",6.94e-07,1.48e-07,-5.49,6.3470279,-0.68,"nuclear transcription factor Y subunit gamma","238231_at",9.07e-05,1.5e-05,-5.3231876,2.7397,-1.23137144,"nuclear transcription factor Y subunit gamma"
"1965","NGDN","216263_s_at",8.63e-13,9.34e-14,-8.12,20.3658951,-0.708,"neuroguidin","216263_s_at",5.82e-06,5.57e-07,-6.6133025,6.024129,-0.95850574,"neuroguidin"
"1966","NHLRC3","236953_s_at",3.28e-26,8.04e-28,-13.2,52.5031065,-1.31,"NHL repeat containing 3","239314_at",1.25e-05,1.4e-06,6.2470923,5.105675,0.85342433,"NHL repeat containing 3"
"1967","NIPAL2","220128_s_at",3.34e-07,6.89e-08,5.64,7.094222,0.764,"NIPA like domain containing 2","222950_at",2.88e-06,2.36e-07,-6.9604776,6.881601,-0.94758028,"NIPA like domain containing 2"
"1968","NIPAL3","214579_at",1.16e-09,1.8e-10,-6.79,12.9162659,-1.26,"NIPA like domain containing 3","225875_s_at",2.78e-05,3.67e-06,-5.8679669,4.141829,-0.60328893,"NIPA like domain containing 3"
"1969","NIPAL4","230188_at",2.55e-32,2.96e-34,15.5,67.2444141,1.64,"NIPA like domain containing 4","230188_at",0.000959,0.000241,-4.2625834,-0.001124,-1.09900782,"NIPA like domain containing 4"
"1970","NIPBL","213918_s_at",3.33e-16,2.48e-17,9.47,28.512539,0.982,"NIPBL, cohesin loading factor","242352_at",0.0229,0.0101,-2.7791389,-3.589443,-0.64409353,"NIPBL, cohesin loading factor"
"1971","NKTR","231235_at",2.94e-06,6.79e-07,-5.16,4.8703742,-0.602,"natural killer cell triggering receptor","1570342_at",0.00168,0.000468,-4.0083067,-0.648357,-0.68212442,"natural killer cell triggering receptor"
"1972","NLGN4X","221933_at",5.44e-10,8.16e-11,6.94,13.6914741,0.957,"neuroligin 4, X-linked","221933_at",2.34e-05,2.99e-06,5.9485678,4.347715,1.5724251,"neuroligin 4, X-linked"
"1973","NLRC3","236295_s_at",3.6e-07,7.45e-08,5.63,7.0179107,0.99,"NLR family CARD domain containing 3","236295_s_at",6.09e-06,5.87e-07,6.5922982,5.971822,0.92912158,"NLR family CARD domain containing 3"
"1974","NLRP7","237461_at",7.71e-10,1.17e-10,6.87,13.3335973,0.979,"NLR family pyrin domain containing 7","237461_at",1.29e-10,2.03e-13,13.8739644,20.735086,4.51551647,"NLR family pyrin domain containing 7"
"1975","NME9","1562619_at",7.36e-07,1.58e-07,-5.47,6.2866135,-1.1,"NME/NM23 family member 9","1562619_at",0.000599,0.000138,-4.4761314,0.547358,-1.25923141,"NME/NM23 family member 9"
"1976","NMI","203964_at",1.9e-38,1.15e-40,17.8,81.9306479,1.14,"N-myc and STAT interactor","203964_at",3.98e-06,3.52e-07,6.7985235,6.483295,0.63497655,"N-myc and STAT interactor"
"1977","NMNAT2","1552712_a_at",2.05e-10,2.93e-11,-7.12,14.6992488,-1.48,"nicotinamide nucleotide adenylyltransferase 2","1552712_a_at",0.0132,0.00525,-3.0515701,-2.975935,-0.6442443,"nicotinamide nucleotide adenylyltransferase 2"
"1978","NMT2","215069_at",1.1e-06,2.42e-07,-5.38,5.8722727,-0.743,"N-myristoyltransferase 2","215069_at",0.000215,4.16e-05,-4.9341235,1.731863,-0.9873343,"N-myristoyltransferase 2"
"1979","NOCT","1554283_at",9.35e-28,1.92e-29,13.8,56.2196934,1.99,"nocturnin","1554283_at",0.00462,0.00154,3.5447827,-1.802844,0.75064449,"nocturnin"
"1980","NOG","231798_at",1.89e-08,3.36e-09,-6.24,10.0443372,-0.998,"noggin","231798_at",0.00726,0.00261,-3.335318,-2.309505,-1.26966484,"noggin"
"1981","NOL3","1558738_at",1.25e-22,4.49e-24,-11.9,43.9234196,-1.68,"nucleolar protein 3","221566_s_at",5.47e-07,2.92e-08,-7.8327009,8.971309,-0.74109573,"nucleolar protein 3"
"1982","NOLC1","205895_s_at",2.72e-10,3.94e-11,7.07,14.4078621,1.03,"nucleolar and coiled-body phosphoprotein 1","205895_s_at",4.09e-05,5.8e-06,5.6905186,3.686947,0.82373018,"nucleolar and coiled-body phosphoprotein 1"
"1983","NOS1","1560974_s_at",0.00497,0.0018,-3.17,-2.6385896,-0.605,"nitric oxide synthase 1","240911_at",9.25e-05,1.54e-05,-5.3139722,2.715863,-0.71053591,"nitric oxide synthase 1"
"1984","NOS3","229093_at",1.03e-11,1.25e-12,7.68,17.80152,0.922,"nitric oxide synthase 3","229093_at",8.66e-07,5.18e-08,-7.5888974,8.396988,-1.48234082,"nitric oxide synthase 3"
"1985","NOVA1","207437_at",5.49e-08,1.03e-08,-6.03,8.9476711,-0.907,"NOVA alternative splicing regulator 1","205794_s_at",0.00415,0.00136,-3.5939728,-1.682317,-1.01687634,"NOVA alternative splicing regulator 1"
"1986","NPEPPS","201454_s_at",3.06e-20,1.45e-21,11,38.1799239,0.79,"aminopeptidase puromycin sensitive","242612_at",0.00022,4.28e-05,-4.9226634,1.70216,-0.71017984,NA
"1987","NPFF","214184_at",6.97e-06,1.68e-06,-4.96,3.9920794,-0.857,"neuropeptide FF-amide peptide precursor","206402_s_at",6.22e-05,9.57e-06,-5.4970315,3.188786,-0.61303702,"neuropeptide FF-amide peptide precursor"
"1988","NPIPA5","215921_at",0.000287,8.57e-05,-4.03,0.2216998,-0.604,"nuclear pore complex interacting protein family member A5///nuclear pore complex interacting protein family member B6///nuclear pore complex interacting protein family member B8///nuclear pore complex interacting protein family member B3","215002_at",0.00391,0.00127,-3.6216643,-1.614231,-0.58525356,"nuclear pore complex interacting protein family member A5///nuclear pore complex interacting protein family member B5///nuclear pore complex interacting protein family member B11///nuclear pore complex interacting protein family member B8///nuclear pore complex interacting protein member///nuclear pore complex interacting protein family member B4///nuclear pore complex interacting protein family member B3"
"1989","NPIPB15","221992_at",0.0166,0.00662,-2.75,-3.829261,-0.679,"nuclear pore complex interacting protein family member B15","221992_at",1.08e-05,1.17e-06,-6.3184346,5.285642,-0.94189998,"nuclear pore complex interacting protein family member B15"
"1990","NPL","221210_s_at",8.66e-09,1.48e-09,6.4,10.8445522,1.54,"N-acetylneuraminate pyruvate lyase","221210_s_at",1.57e-10,2.89e-13,13.659652,20.390922,1.77273526,"N-acetylneuraminate pyruvate lyase"
"1991","NPM3","205129_at",1.4e-15,1.11e-16,9.23,27.0232909,0.92,"nucleophosmin/nucleoplasmin 3","205129_at",1.11e-05,1.2e-06,6.3056491,5.253425,0.65407534,"nucleophosmin/nucleoplasmin 3"
"1992","NPR3","219789_at",1.46e-11,1.82e-12,7.61,17.4342433,1.78,"natriuretic peptide receptor 3","219790_s_at",5.54e-06,5.22e-07,-6.6394177,6.089097,-1.1879387,"natriuretic peptide receptor 3"
"1993","NPTN-IT1","228723_at",5.73e-18,3.46e-19,-10.1,32.7474595,-1.21,"NPTN intronic transcript 1","228723_at",1.19e-05,1.32e-06,-6.2685606,5.159881,-1.21393552,"NPTN intronic transcript 1"
"1994","NPTX1","204684_at",1.57e-05,3.95e-06,-4.77,3.1684862,-0.726,"neuronal pentraxin 1","204684_at",4.99e-05,7.35e-06,-5.5987296,3.450875,-1.28363329,"neuronal pentraxin 1"
"1995","NPTX2","213479_at",1.05e-11,1.28e-12,-7.67,17.7783746,-1.44,"neuronal pentraxin 2","213479_at",0.00929,0.00348,3.2191336,-2.585406,0.80974825,"neuronal pentraxin 2"
"1996","NPY1R","205440_s_at",1.19e-26,2.76e-28,-13.4,53.5654546,-1.04,"neuropeptide Y receptor Y1","205440_s_at",0.00148,0.000404,-4.064548,-0.505875,-1.2731745,"neuropeptide Y receptor Y1"
"1997","NR1H3","203920_at",1.78e-19,9.18e-21,-10.7,36.3502166,-1.43,"nuclear receptor subfamily 1 group H member 3","203920_at",1.9e-06,1.4e-07,7.1746916,7.403668,1.30553655,"nuclear receptor subfamily 1 group H member 3"
"1998","NR2F1","209505_at",3.17e-10,4.62e-11,-7.04,14.2504371,-1.05,"nuclear receptor subfamily 2 group F member 1","209505_at",0.0186,0.00788,2.8825951,-3.359845,0.66196834,"nuclear receptor subfamily 2 group F member 1"
"1999","NR2F2-AS1","232878_at",5.7e-23,1.98e-24,-12,44.7395888,-1.92,"NR2F2 antisense RNA 1","232878_at",0.0109,0.00421,-3.1412138,-2.768148,-1.01421392,"NR2F2 antisense RNA 1"
"2000","NR3C1","201865_x_at",5.91e-11,7.88e-12,-7.36,15.990582,-0.722,"nuclear receptor subfamily 3 group C member 1","232431_at",1.36e-05,1.55e-06,-6.2055911,5.000767,-1.24859121,"nuclear receptor subfamily 3 group C member 1"
"2001","NR3C2","205259_at",1.02e-34,9.25e-37,-16.4,72.9832762,-2.73,"nuclear receptor subfamily 3 group C member 2","205259_at",1.04e-06,6.57e-08,-7.4892653,8.160054,-1.42022802,"nuclear receptor subfamily 3 group C member 2"
"2002","NR4A3","209959_at",4.48e-25,1.24e-26,12.8,49.7794578,2.82,"nuclear receptor subfamily 4 group A member 3","209959_at",4.96e-05,7.3e-06,5.6013224,3.457549,1.91538045,"nuclear receptor subfamily 4 group A member 3"
"2003","NR6A1","228894_at",1.19e-07,2.32e-08,-5.86,8.1566275,-0.804,"nuclear receptor subfamily 6 group A member 1","227496_at",2.31e-05,2.94e-06,-5.9544249,4.362657,-0.60787201,"nuclear receptor subfamily 6 group A member 1"
"2004","NRAS","202647_s_at",2.81e-16,2.07e-17,9.5,28.6902558,1.19,"neuroblastoma RAS viral oncogene homolog","202647_s_at",0.000132,2.35e-05,5.1513898,2.294946,0.72615018,"neuroblastoma RAS viral oncogene homolog"
"2005","NRBF2","223650_s_at",5.93e-22,2.31e-23,11.6,42.2958829,2.32,"nuclear receptor binding factor 2","221803_s_at",7.03e-06,6.98e-07,6.5227495,5.798292,0.62230718,"nuclear receptor binding factor 2"
"2006","NRCAM","204105_s_at",8.91e-05,2.48e-05,4.34,1.4028452,0.71,"neuronal cell adhesion molecule","204105_s_at",0.0107,0.00412,3.1504652,-2.746552,0.71122359,"neuronal cell adhesion molecule"
"2007","NRDC","229422_at",1.45e-05,3.65e-06,-4.79,3.2455642,-0.924,"nardilysin convertase","229422_at",0.000342,7.19e-05,-4.725053,1.190293,-0.72199746,"nardilysin convertase"
"2008","NRDE2","221231_s_at",2.54e-10,3.66e-11,-7.08,14.4806623,-0.981,"NRDE-2, necessary for RNA interference, domain containing","221231_s_at",0.00222,0.000649,-3.8817882,-0.967227,-0.69832342,"NRDE-2, necessary for RNA interference, domain containing"
"2009","NRP2","222877_at",5.15e-14,4.86e-15,8.61,23.2878488,1.15,"neuropilin 2","223510_at",1.46e-05,1.7e-06,6.17024,4.911282,1.90869175,"neuropilin 2"
"2010","NRXN1","228547_at",7.83e-22,3.09e-23,-11.6,42.0051461,-2.07,"neurexin 1","209914_s_at",0.00354,0.00112,-3.6679252,-1.500123,-0.79575177,"neurexin 1"
"2011","NRXN3","229649_at",5.84e-30,9.02e-32,-14.6,61.5518108,-2.44,"neurexin 3","205795_at",6.91e-05,1.09e-05,-5.448388,3.06325,-0.61589128,"neurexin 3"
"2012","NSD1","219084_at",5.3e-17,3.6e-18,9.78,30.424361,0.793,"nuclear receptor binding SET domain protein 1","243612_at",0.000698,0.000165,-4.4071667,0.36984,-0.67098532,"nuclear receptor binding SET domain protein 1"
"2013","NSG1","209569_x_at",3.69e-15,3.08e-16,9.07,26.0174921,1.01,"neuron specific gene family member 1","209570_s_at",2.04e-05,2.54e-06,-6.0125883,4.510893,-1.17650078,"neuron specific gene family member 1"
"2014","NSMAF","232149_s_at",0.000112,3.15e-05,-4.28,1.1751701,-0.585,"neutral sphingomyelinase activation associated factor","232148_at",3.23e-06,2.72e-07,-6.9027761,6.74004,-0.98653943,"neutral sphingomyelinase activation associated factor"
"2015","NSUN6","230200_at",1.22e-11,1.5e-12,-7.65,17.6225268,-0.655,"NOP2/Sun RNA methyltransferase family member 6","222128_at",2.23e-05,2.82e-06,-5.9712013,4.405441,-0.88131492,"NOP2/Sun RNA methyltransferase family member 6"
"2016","NSUN7","238983_at",2.4e-11,3.07e-12,-7.52,16.9202859,-1.62,"NOP2/Sun RNA methyltransferase family member 7","238983_at",9.69e-05,1.63e-05,-5.2931483,2.661989,-0.99082352,"NOP2/Sun RNA methyltransferase family member 7"
"2017","NT5DC1","223177_at",5.94e-23,2.06e-24,12,44.6982028,0.818,"5'-nucleotidase domain containing 1","235830_at",1.23e-05,1.37e-06,-6.2534513,5.121736,-0.61200187,"5'-nucleotidase domain containing 1"
"2018","NT5E","227486_at",3.36e-08,6.16e-09,-6.13,9.4505902,-1,"5'-nucleotidase ecto","1553994_at",2.9e-05,3.87e-06,5.8477227,4.090042,1.00519176,"5'-nucleotidase ecto"
"2019","NTRK2","221796_at",2.87e-25,7.72e-27,-12.9,50.2525315,-1.5,"neurotrophic receptor tyrosine kinase 2","229463_at",0.000298,6.1e-05,-4.7878051,1.352753,-0.87844643,"neurotrophic receptor tyrosine kinase 2"
"2020","NTRK3","215311_at",4.42e-06,1.04e-06,-5.07,4.4559303,-0.623,"neurotrophic receptor tyrosine kinase 3","215311_at",0.0236,0.0104,-2.7648414,-3.620825,-0.63936252,"neurotrophic receptor tyrosine kinase 3"
"2021","NUDT4P1","206302_s_at",5.59e-19,3.06e-20,10.5,35.1540658,1.61,"nudix hydrolase 4 pseudogene 1///nudix hydrolase 4 pseudogene 2///nudix hydrolase 4","206303_s_at",8.08e-05,1.31e-05,5.3762572,2.876917,0.91214801,"nudix hydrolase 4 pseudogene 1///nudix hydrolase 4 pseudogene 2///nudix hydrolase 4"
"2022","NUDT5","223100_s_at",5.12e-31,6.97e-33,15,64.0987865,1.17,"nudix hydrolase 5","222824_at",1.1e-05,1.2e-06,-6.3059775,5.254253,-0.60120793,"nudix hydrolase 5"
"2023","NUDT7","228855_at",7e-08,1.33e-08,-5.97,8.696794,-0.628,"nudix hydrolase 7","228855_at",2.33e-05,2.97e-06,-5.9512247,4.354493,-0.78868427,"nudix hydrolase 7"
"2024","NUMA1","214250_at",5.46e-20,2.67e-21,-10.9,37.5769153,-1.24,"nuclear mitotic apparatus protein 1","1554663_a_at",0.00025,4.96e-05,-4.8664122,1.556385,-0.7963328,"nuclear mitotic apparatus protein 1"
"2025","NUMB","230462_at",1.16e-11,1.43e-12,-7.65,17.6761799,-0.597,"NUMB, endocytic adaptor protein","230462_at",0.00105,0.000268,-4.2220062,-0.104895,-0.7668969,"NUMB, endocytic adaptor protein"
"2026","NUP210","213947_s_at",4.98e-17,3.38e-18,9.79,30.4880436,1.5,"nucleoporin 210","213947_s_at",4.31e-06,3.88e-07,6.7589541,6.385522,1.16505286,"nucleoporin 210"
"2027","NUP58","204435_at",3.85e-16,2.89e-17,9.45,28.3612162,1.12,"nucleoporin 58","241425_at",0.00304,0.00094,-3.7378771,-1.326753,-0.80113043,"nucleoporin 58"
"2028","NUP62CL","220520_s_at",7.28e-18,4.47e-19,10.1,32.4946313,0.705,"nucleoporin 62 C-terminal like","232960_at",0.00165,0.00046,-4.0150332,-0.631339,-0.83133909,"nucleoporin 62 C-terminal like"
"2029","NUS1","225071_at",6.2e-13,6.62e-14,8.18,20.7060744,0.71,"NUS1 dehydrodolichyl diphosphate synthase subunit","215207_x_at",0.000551,0.000126,4.5125189,0.641146,0.66594352,"NUS1 dehydrodolichyl diphosphate synthase subunit///NUS1 dehydrodolichyl diphosphate synthase subunit pseudogene 3"
"2030","NUTM2B-AS1","227724_at",1.21e-05,3.02e-06,4.83,3.4264741,0.726,"NUTM2B antisense RNA 1///NUTM2A antisense RNA 1","235730_at",5.04e-05,7.46e-06,-5.5929155,3.435905,-1.44326676,"NUTM2B antisense RNA 1"
"2031","NXPE3","235030_at",5.07e-08,9.49e-09,-6.04,9.0283501,-0.771,"neurexophilin and PC-esterase domain family member 3","243011_at",1.4e-07,5.09e-09,8.5950033,10.715662,1.66630235,"neurexophilin and PC-esterase domain family member 3"
"2032","NXT1","218708_at",6.58e-09,1.11e-09,6.45,11.1289182,0.856,"nuclear transport factor 2 like export factor 1","218708_at",0.000668,0.000157,4.4269158,0.420641,0.6684696,"nuclear transport factor 2 like export factor 1"
"2033","NYNRIN","220911_s_at",4.35e-11,5.72e-12,-7.41,16.3064455,-0.93,"NYN domain and retroviral integrase containing","220911_s_at",5.63e-05,8.5e-06,-5.5425763,3.306225,-0.83056687,"NYN domain and retroviral integrase containing"
"2034","OAS1","205552_s_at",2.11e-44,6.38e-47,20.2,96.2555378,4.8,"2'-5'-oligoadenylate synthetase 1","205552_s_at",0.000359,7.6e-05,4.7038405,1.135402,0.82581831,"2'-5'-oligoadenylate synthetase 1"
"2035","OAS2","204972_at",6.42e-46,1.6e-48,20.8,99.9208459,4.46,"2'-5'-oligoadenylate synthetase 2","204972_at",5.04e-08,1.37e-09,9.1932476,12.029138,1.83556287,"2'-5'-oligoadenylate synthetase 2"
"2036","OASL","205660_at",3.54e-74,3.89e-78,34.4,167.3841197,7.95,"2'-5'-oligoadenylate synthetase like","205660_at",5.36e-07,2.84e-08,7.8434998,8.996567,1.7621067,"2'-5'-oligoadenylate synthetase like"
"2037","OBSCN","229854_at",7.61e-05,2.1e-05,4.38,1.5628584,0.638,"obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF","216085_at",0.0012,0.000314,-4.161411,-0.259541,-0.64534104,"obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF///DKFZP434C153 protein"
"2038","OCA2","206498_at",7.79e-10,1.19e-10,-6.87,13.321978,-1.36,"OCA2 melanosomal transmembrane protein","206498_at",7.5e-07,4.33e-08,-7.6646558,8.576286,-1.48595108,"OCA2 melanosomal transmembrane protein"
"2039","OCLN","209925_at",4.38e-17,2.95e-18,9.81,30.6233805,1.78,"occludin","209925_at",3.65e-06,3.17e-07,-6.8406897,6.587289,-1.3450849,"occludin"
"2040","ODC1","200790_at",5.46e-05,1.48e-05,4.46,1.9004474,0.731,"ornithine decarboxylase 1","200790_at",6.08e-07,3.33e-08,7.7758292,8.838039,1.1329906,"ornithine decarboxylase 1"
"2041","ODF3B","238327_at",1.08e-11,1.33e-12,7.67,17.7467541,1.39,"outer dense fiber of sperm tails 3B","238327_at",0.00063,0.000147,4.4530479,0.487904,0.92839876,"outer dense fiber of sperm tails 3B"
"2042","OFD1","241751_at",2.49e-12,2.83e-13,-7.93,19.2699511,-0.768,"OFD1, centriole and centriolar satellite protein","241751_at",8.19e-05,1.33e-05,-5.3700055,2.860758,-1.08421672,"OFD1, centriole and centriolar satellite protein"
"2043","OGDH","201282_at",0.00136,0.00045,3.58,-1.3441913,0.627,"oxoglutarate dehydrogenase","1554152_a_at",0.000459,0.000102,-4.5927608,0.848234,-0.62232245,"oxoglutarate dehydrogenase"
"2044","OGFOD1","225106_s_at",5.81e-06,1.39e-06,5.01,4.1774952,0.825,"2-oxoglutarate and iron dependent oxygenase domain containing 1","241739_at",0.0112,0.00432,-3.1312879,-2.791288,-1.41358303,"2-oxoglutarate and iron dependent oxygenase domain containing 1"
"2045","OLA1","224525_s_at",2.32e-10,3.33e-11,-7.1,14.5728049,-0.839,"Obg-like ATPase 1","224525_s_at",0.0119,0.00464,-3.1019566,-2.859476,-0.93360089,"Obg-like ATPase 1"
"2046","OLFML2A","213075_at",2.42e-29,4.04e-31,-14.4,60.0603548,-1.11,"olfactomedin like 2A","213075_at",0.000895,0.000222,-4.2942149,0.079879,-0.80208031,"olfactomedin like 2A"
"2047","OLFML3","218162_at",2.9e-10,4.2e-11,-7.06,14.343497,-0.988,"olfactomedin like 3","218162_at",1.93e-05,2.38e-06,6.0382356,4.576172,0.64920403,"olfactomedin like 3"
"2048","OPRPN","208004_at",2.81e-08,5.1e-09,-6.16,9.6352674,-1.42,"opiorphin prepropeptide","208004_at",0.0301,0.0139,-2.6411581,-3.888595,-1.03538504,"opiorphin prepropeptide"
"2049","OR2A9P","222290_at",3.14e-12,3.62e-13,-7.89,19.0275513,-0.986,"olfactory receptor family 2 subfamily A member 9 pseudogene///olfactory receptor family 2 subfamily A member 20 pseudogene","222290_at",0.000257,5.14e-05,-4.8534631,1.522834,-0.69708577,"olfactory receptor family 2 subfamily A member 9 pseudogene///olfactory receptor family 2 subfamily A member 20 pseudogene"
"2050","OSBP","201799_s_at",3.25e-16,2.42e-17,9.47,28.5371859,0.789,"oxysterol binding protein","1563051_at",1.42e-05,1.63e-06,-6.1853138,4.949453,-1.10452945,"oxysterol binding protein"
"2051","OSBPL1A","208158_s_at",1.44e-17,9.17e-19,-9.99,31.7813326,-0.645,"oxysterol binding protein like 1A","209485_s_at",2.26e-05,2.86e-06,-5.9660063,4.392195,-0.60896434,"oxysterol binding protein like 1A"
"2052","OSBPL2","209222_s_at",5.51e-18,3.32e-19,10.2,32.7899659,0.664,"oxysterol binding protein like 2","209221_s_at",4.72e-07,2.42e-08,-7.9135466,9.160021,-0.65161281,"oxysterol binding protein like 2"
"2053","OSBPL3","209626_s_at",3.37e-28,6.48e-30,14,57.2987918,1.87,"oxysterol binding protein like 3","209626_s_at",1.29e-06,8.63e-08,7.3753763,7.887652,0.93369338,"oxysterol binding protein like 3"
"2054","OSBPL6","238575_at",7.61e-12,9.14e-13,7.73,18.1140044,1.68,"oxysterol binding protein like 6","238575_at",7.78e-07,4.53e-08,-7.6454608,8.530928,-1.11562898,"oxysterol binding protein like 6"
"2055","OSMR","1554008_at",1.56e-14,1.38e-15,8.82,24.5332862,1.63,"oncostatin M receptor","205729_at",0.00332,0.00104,3.6977735,-1.426264,0.9030763,"oncostatin M receptor"
"2056","OSR1","228399_at",3.48e-21,1.48e-22,-11.4,40.448575,-1.83,"odd-skipped related transciption factor 1","228399_at",0.0145,0.00588,-3.0047019,-3.083469,-0.90634766,"odd-skipped related transciption factor 1"
"2057","OSTM1","243287_s_at",2.8e-14,2.57e-15,8.72,23.9185878,1.31,"osteopetrosis associated transmembrane protein 1","235198_at",4.14e-07,2.04e-08,7.9859632,9.328315,0.81964938,"osteopetrosis associated transmembrane protein 1"
"2058","OTUB2","222878_s_at",9.62e-49,1.6e-51,22,106.7810092,3.86,"OTU deubiquitinase, ubiquitin aldehyde binding 2","240550_at",0.00156,0.00043,-4.041186,-0.565112,-0.71173558,NA
"2059","OTUD3","213216_at",4.67e-09,7.75e-10,-6.52,11.4807835,-0.613,"OTU deubiquitinase 3","213216_at",7.43e-06,7.47e-07,-6.4957284,5.730735,-0.82546642,"OTU deubiquitinase 3"
"2060","OTUD7B","238994_at",4.49e-21,1.94e-22,-11.3,40.1811967,-0.89,"OTU deubiquitinase 7B","238573_at",0.00207,0.000601,-3.9119014,-0.891553,-0.69854963,"OTU deubiquitinase 7B"
"2061","OVGP1","205432_at",7.19e-06,1.74e-06,-4.96,3.9602041,-1.16,"oviductal glycoprotein 1","205432_at",8.47e-05,1.39e-05,-5.3541799,2.819846,-0.70426136,"oviductal glycoprotein 1"
"2062","OVOL1","206604_at",1.34e-35,1.1e-37,16.7,75.1045061,2.74,"ovo like transcriptional repressor 1","229396_at",0.0016,0.000442,-4.0300412,-0.593345,-1.37667297,"ovo like transcriptional repressor 1"
"2063","OVOL2","211778_s_at",4.73e-14,4.44e-15,8.63,23.3774865,0.715,"ovo like zinc finger 2","211778_s_at",1.09e-05,1.18e-06,-6.3141105,5.274748,-1.28544872,"ovo like zinc finger 2"
"2064","OXCT1","202780_at",6.3e-17,4.33e-18,9.75,30.2417055,0.661,"3-oxoacid CoA-transferase 1","202780_at",2.53e-06,2.01e-07,-7.0263703,7.042778,-0.72478987,"3-oxoacid CoA-transferase 1"
"2065","P2RY1","207455_at",1.36e-18,7.76e-20,10.4,34.2319071,2.01,"purinergic receptor P2Y1","207455_at",0.00741,0.00267,-3.3256854,-2.332527,-0.93996153,"purinergic receptor P2Y1"
"2066","P2RY10","236280_at",2.09e-13,2.12e-14,8.37,21.8285053,1.43,"purinergic receptor P2Y10","236280_at",2.02e-09,1.54e-11,11.4120868,16.484503,2.00565004,"purinergic receptor P2Y10"
"2067","P2RY13","220005_at",2.9e-06,6.7e-07,5.17,4.8845202,1.14,"purinergic receptor P2Y13","220005_at",0.000931,0.000233,4.2757979,0.032705,0.94205202,"purinergic receptor P2Y13"
"2068","P2RY8","229686_at",1.98e-12,2.23e-13,7.97,19.5042111,1.51,"purinergic receptor P2Y8","229686_at",4.7e-10,1.5e-12,12.6944249,18.781879,2.26476352,"purinergic receptor P2Y8"
"2069","PABPN1","213046_at",1.64e-07,3.26e-08,-5.8,7.8227631,-0.637,"poly(A) binding protein nuclear 1","213046_at",0.000234,4.6e-05,-4.895198,1.63098,-0.74605315,"poly(A) binding protein nuclear 1"
"2070","PACRGL","235260_s_at",3.1e-15,2.56e-16,9.09,26.1990814,0.634,"PARK2 coregulated like","235259_at",1.71e-05,2.06e-06,-6.0948352,4.72004,-0.74899394,"PARK2 coregulated like"
"2071","PAG1","225622_at",1.4e-20,6.36e-22,11.1,39.001375,1.35,"phosphoprotein membrane anchor with glycosphingolipid microdomains 1","225622_at",4.59e-06,4.16e-07,6.7304117,6.314886,0.89624817,"phosphoprotein membrane anchor with glycosphingolipid microdomains 1"
