"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.VL","adj.P.Val.VL","P.Value.VL","t.VL","B.VL","logFC.VL","Gene.title.VL"
"259","DEGS2","236496_at",4.17e-05,1.11e-05,4.53,2.1731836,0.805,"delta 4-desaturase, sphingolipid 2","ILMN_1768772",0.00232505,0.000135,-4.3481335,0.94297,-1.0729582,"delta 4-desaturase, sphingolipid 2"
"260","DENND1A","219763_at",5.27e-31,7.2e-33,15,64.0674579,2,"DENN domain containing 1A","ILMN_1753275",0.02992921,0.00548,-2.9830107,-2.52888,-0.7485285,"DENN domain containing 1A"
"261","DENND4A","1554352_s_at",2.68e-09,4.33e-10,6.63,12.0520644,0.839,"DENN domain containing 4A","ILMN_2041161",0.0168047,0.00243,3.2972896,-1.77832,0.7075343,"DENN domain containing 4A"
"262","DENR","234915_s_at",1.05e-23,3.38e-25,12.3,46.4943194,1.8,"density regulated re-initiation and release factor","ILMN_1760954",0.02527368,0.00432,3.0762405,-2.31026,0.7813449,"density regulated re-initiation and release factor"
"263","DFFA","223518_at",3e-23,1.01e-24,12.1,45.4074835,1.19,"DNA fragmentation factor subunit alpha","ILMN_2385220",0.01718912,0.00251,-3.28478,-1.8089,-0.605971,"DNA fragmentation factor subunit alpha"
"264","DGAT1","203669_s_at",2.59e-08,4.68e-09,6.18,9.7188386,0.586,"diacylglycerol O-acyltransferase 1","ILMN_1704091",0.00175527,8.7e-05,-4.5013493,1.35742,-0.8185784,"diacylglycerol O-acyltransferase 1"
"265","DHRS3","202481_at",1.36e-14,1.2e-15,-8.84,24.6740303,-0.615,"dehydrogenase/reductase 3","ILMN_1752478",0.04857996,0.0106,-2.7168176,-3.13206,-0.718367,"dehydrogenase/reductase 3"
"266","DHX36","1559039_at",1.35e-08,2.35e-09,-6.31,10.3920156,-0.654,"DEAH-box helicase 36","ILMN_2100000",0.02420297,0.00405,3.1009582,-2.25171,1.0136589,"DEAH-box helicase 36"
"267","DIMT1","210802_s_at",2.53e-28,4.79e-30,14,57.6001428,1.2,"DIM1 dimethyladenosine transferase 1 homolog","ILMN_1803312",0.02769433,0.0049,3.0268203,-2.4266,0.6372221,"DIM1 dimethyladenosine transferase 1 homolog"
"268","DLAT","211150_s_at",4.02e-19,2.15e-20,10.6,35.5039172,1.35,"dihydrolipoamide S-acetyltransferase","ILMN_1706583",0.04321195,0.00906,2.7816998,-2.98807,0.7404636,"dihydrolipoamide S-acetyltransferase"
"269","DLEU1","205677_s_at",2.78e-11,3.57e-12,7.5,16.7714925,0.791,"deleted in lymphocytic leukemia 1","ILMN_2043918",0.02866723,0.00516,3.0068951,-2.47322,0.664784,"deleted in lymphocytic leukemia 1"
"270","DLGAP5","203764_at",5.61e-45,1.53e-47,20.5,97.6758847,3.52,"DLG associated protein 5","ILMN_1749829",0.00199197,0.000107,4.42956,1.16287,1.4671555,"DLG associated protein 5"
"271","DMTN","204505_s_at",5.72e-14,5.43e-15,-8.6,23.1766352,-0.788,"dematin actin binding protein","ILMN_1671686",0.00052865,1.34e-05,-5.1531617,3.14365,-1.1283305,"dematin actin binding protein"
"272","DNAAF2","219166_at",1.51e-06,3.36e-07,5.31,5.5540103,0.7,"dynein axonemal assembly factor 2","ILMN_1769757",0.03596359,0.00704,2.8832853,-2.75864,1.2542007,"dynein axonemal assembly factor 2"
"273","DNAJC24","1570048_at",2.9e-12,3.34e-13,-7.9,19.1084058,-0.956,"DnaJ heat shock protein family (Hsp40) member C24","ILMN_1685930",0.03711638,0.00734,2.8666427,-2.79655,1.3152107,"DnaJ heat shock protein family (Hsp40) member C24"
"274","DNAJC30","223367_at",4.02e-09,6.63e-10,6.55,11.6337384,0.691,"DnaJ heat shock protein family (Hsp40) member C30","ILMN_1771824",0.00230346,0.000133,-4.3523666,0.95438,-1.0937033,"DnaJ heat shock protein family (Hsp40) member C30"
"275","DNAJC7","215252_at",5.69e-05,1.54e-05,-4.45,1.8589208,-0.759,"DnaJ heat shock protein family (Hsp40) member C7","ILMN_1663616",0.02465208,0.00416,3.0904594,-2.27661,0.779056,"DnaJ heat shock protein family (Hsp40) member C7"
"276","DNAJC9","213092_x_at",8.31e-18,5.13e-19,10.1,32.358225,0.848,"DnaJ heat shock protein family (Hsp40) member C9","ILMN_1799516",0.0019128,9.96e-05,4.4537108,1.22825,1.0047259,"DnaJ heat shock protein family (Hsp40) member C9"
"277","DNASE1L2","207192_at",5.51e-08,1.03e-08,6.02,8.943624,0.954,"deoxyribonuclease 1 like 2","ILMN_1801366",0.03370358,0.00647,-2.9172617,-2.68085,-0.9065024,"deoxyribonuclease 1 like 2"
"278","DNASE1L3","205554_s_at",1.13e-24,3.29e-26,12.6,48.8097685,1.56,"deoxyribonuclease 1 like 3","ILMN_2049184",0.00399948,0.000297,4.0672292,0.19188,0.8033121,"deoxyribonuclease 1 like 3"
"279","DNER","226281_at",2.79e-12,3.2e-13,-7.91,19.150288,-1.56,"delta/notch like EGF repeat containing","ILMN_1791679",0.0344453,0.00667,2.9050823,-2.70879,0.6048464,"delta/notch like EGF repeat containing"
"280","DNM1L","203105_s_at",3.53e-32,4.17e-34,15.4,66.9019167,1.2,"dynamin 1 like","ILMN_1685260",0.0170945,0.00249,3.2883016,-1.8003,0.815597,"dynamin 1 like"
"281","DNM2","1555895_at",2.03e-14,1.82e-15,8.78,24.2574495,1.01,"dynamin 2","ILMN_2339377",0.00857937,0.000909,-3.663401,-0.86102,-0.6139392,"dynamin 2"
"282","DOCK8","225502_at",2.12e-05,5.43e-06,4.7,2.8624793,0.633,"dedicator of cytokinesis 8","ILMN_1788931",0.01502001,0.00206,3.3601528,-1.62382,0.6920893,"dedicator of cytokinesis 8"
"283","DOLK","204488_at",7.63e-11,1.03e-11,7.31,15.7240501,0.703,"dolichol kinase","ILMN_1753627",0.00933102,0.00103,-3.617371,-0.97854,-0.7698995,"dolichol kinase"
"284","DPH3","225195_at",8.59e-32,1.07e-33,15.3,65.9667198,1.96,"diphthamide biosynthesis 3","ILMN_2349610",0.0001531,2.01e-06,5.8098132,4.9541,1.0267779,"diphthamide biosynthesis 3"
"285","DRG2","203267_s_at",1.78e-09,2.82e-10,6.71,12.4717159,1.02,"developmentally regulated GTP binding protein 2","ILMN_1810531",0.01191278,0.00147,-3.4848336,-1.31355,-0.6475381,"developmentally regulated GTP binding protein 2"
"286","DSC2","231033_at",2.41e-48,4.27e-51,21.9,105.8059502,6.19,"desmocollin 2","ILMN_1663119",0.04732274,0.0103,2.7305641,-3.10172,0.6912115,"desmocollin 2"
"287","DST","232098_at",5.19e-17,3.53e-18,-9.78,30.4456047,-1.46,"dystonin","ILMN_1703913",8.065e-05,7.38e-07,6.1593467,5.91235,1.5852599,"dystonin"
"288","DSTN","230933_at",1.98e-09,3.15e-10,-6.69,12.3632885,-0.806,"destrin, actin depolymerizing factor","ILMN_1706426",0.03994979,0.00816,2.8241791,-2.89271,0.6536921,"destrin, actin depolymerizing factor"
"289","DTWD1","229984_at",1.42e-11,1.76e-12,-7.62,17.4686907,-1.11,"DTW domain containing 1","ILMN_1740861",0.00012333,1.41e-06,5.9345797,5.29689,1.7583784,"DTW domain containing 1"
"290","DUS3L","230145_at",3.59e-05,9.49e-06,4.57,2.325301,1.17,"dihydrouridine synthase 3 like","ILMN_1723235",0.00309036,0.000206,-4.1978673,0.5396,-0.8218027,"dihydrouridine synthase 3 like"
"291","DUSP12","218576_s_at",8.49e-14,8.25e-15,8.53,22.7639508,0.68,"dual specificity phosphatase 12","ILMN_1767892",0.02175473,0.00348,3.1600589,-2.11073,0.7206443,"dual specificity phosphatase 12"
"292","DYNC1I2","236698_at",2e-07,4.01e-08,-5.75,7.6209345,-0.983,"dynein cytoplasmic 1 intermediate chain 2","ILMN_1773847",0.00190916,9.93e-05,4.4550356,1.23184,1.1732293,"dynein cytoplasmic 1 intermediate chain 2"
"293","DYNC2LI1","241757_x_at",6.96e-11,9.37e-12,-7.33,15.8202654,-0.596,"dynein cytoplasmic 2 light intermediate chain 1","ILMN_1811836",0.00042007,9.28e-06,5.2793779,3.49177,1.7057491,"dynein cytoplasmic 2 light intermediate chain 1"
"294","DYNLRB2","238116_at",2.61e-16,1.92e-17,-9.51,28.7648874,-1.35,"dynein light chain roadblock-type 2","ILMN_1697317",0.00105357,3.95e-05,4.7771389,2.10971,0.7945236,"dynein light chain roadblock-type 2"
"295","DYNLT1","201999_s_at",1.99e-17,1.29e-18,9.94,31.4467222,0.588,"dynein light chain Tctex-type 1","ILMN_1678766",0.00092809,3.29e-05,4.8404849,2.28337,1.1403182,"dynein light chain Tctex-type 1"
"296","ECI2","218025_s_at",1.95e-20,9.05e-22,-11.1,38.6514935,-0.939,"enoyl-CoA delta isomerase 2","ILMN_1761131",0.01241486,0.00156,3.4641629,-1.36533,0.689946,"enoyl-CoA delta isomerase 2"
"297","ECM2","206101_at",4.2e-10,6.21e-11,-6.99,13.9598498,-0.831,"extracellular matrix protein 2","ILMN_2228938",0.04628739,0.00997,2.7429096,-3.0744,0.7921214,"extracellular matrix protein 2"
"298","ECT2","219787_s_at",3.19e-22,1.2e-23,11.7,42.9466745,1.84,"epithelial cell transforming 2","ILMN_1717173",0.0006746,1.98e-05,5.016123,2.76611,1.3363701,"epithelial cell transforming 2"
"299","EDNRB","206701_x_at",3.05e-07,6.25e-08,-5.66,7.1888304,-0.946,"endothelin receptor type B","ILMN_1751904",0.00182847,9.38e-05,-4.4747477,1.28526,-0.7759643,"endothelin receptor type B"
"300","EEF1E1","213907_at",5.82e-14,5.54e-15,8.59,23.1572257,0.827,"eukaryotic translation elongation factor 1 epsilon 1","ILMN_1725105",6.268e-05,4.29e-07,6.3498462,6.43138,1.5491436,"eukaryotic translation elongation factor 1 epsilon 1"
"301","EFCAB11","214264_s_at",4.64e-14,4.35e-15,8.63,23.3959942,0.901,"EF-hand calcium binding domain 11","ILMN_2193315",0.00047147,1.1e-05,5.219683,3.32709,1.1781695,"EF-hand calcium binding domain 11"
"302","EFEMP1","228421_s_at",1.84e-06,4.14e-07,-5.27,5.3511434,-0.825,"EGF containing fibulin like extracellular matrix protein 1","ILMN_2350634",0.0229654,0.00377,3.1290856,-2.18478,0.916493,"EGF containing fibulin like extracellular matrix protein 1"
"303","EFHC1","225656_at",8.14e-16,6.33e-17,-9.32,27.5843678,-1.59,"EF-hand domain containing 1","ILMN_1755051",0.02610406,0.00452,3.0585649,-2.35199,0.9287619,"EF-hand domain containing 1"
"304","EFHD2","222483_at",1.26e-10,1.75e-11,7.21,15.2058285,0.889,"EF-hand domain family member D2","ILMN_1761463",0.01143308,0.00139,-3.5081198,-1.25507,-0.9608825,"EF-hand domain family member D2"
"305","EFNB3","205031_at",0.000127,3.61e-05,-4.24,1.0446059,-0.619,"ephrin B3","ILMN_1695606",0.00998446,0.00114,-3.5804312,-1.07242,-0.7528701,"ephrin B3"
"306","EGFL8","209490_s_at",7.27e-24,2.3e-25,12.3,46.8758442,1.28,"EGF like domain multiple 8///palmitoyl-protein thioesterase 2","ILMN_1693515",0.02803946,0.00499,-3.0196044,-2.4435,-0.7302791,"EGF like domain multiple 8"
"307","EHBP1","212650_at",4.43e-05,1.19e-05,-4.51,2.1107477,-0.871,"EH domain binding protein 1","ILMN_1803348",0.00198908,0.000106,4.4303957,1.16513,1.0310301,"EH domain binding protein 1"
"308","EHD1","209037_s_at",2.47e-16,1.81e-17,9.52,28.8240996,1.65,"EH domain containing 1","ILMN_1651832",0.00267252,0.000165,-4.2758697,0.74857,-0.8445629,"EH domain containing 1"
"309","EHD4","233660_at",4.87e-11,6.44e-12,7.39,16.1901877,1.34,"EH domain containing 4","ILMN_1720083",0.01013981,0.00116,-3.5725682,-1.09235,-0.6859662,"EH domain containing 4"
"310","EIF3B","203462_x_at",8.21e-15,7.08e-16,8.93,25.1923464,0.613,"eukaryotic translation initiation factor 3 subunit B","ILMN_2278729",0.00029547,5.17e-06,-5.4817349,4.05014,-0.724024,"eukaryotic translation initiation factor 3 subunit B"
"311","EIF3H","230570_at",4.01e-08,7.41e-09,-6.09,9.2703119,-0.614,"eukaryotic translation initiation factor 3 subunit H","ILMN_1683660",0.00448219,0.000348,4.0107346,0.04247,0.8599222,"eukaryotic translation initiation factor 3 subunit H"
"312","EIF3J","208985_s_at",1.36e-28,2.49e-30,14.1,58.2509564,0.775,"eukaryotic translation initiation factor 3 subunit J","ILMN_1815345",0.00625122,0.000574,3.8311345,-0.42819,1.1545791,"eukaryotic translation initiation factor 3 subunit J"
"313","EIF3M","239848_at",1.38e-22,4.98e-24,-11.9,43.819905,-1.1,"eukaryotic translation initiation factor 3 subunit M","ILMN_2192693",0.00159953,7.5e-05,4.5534457,1.49897,1.1965091,"eukaryotic translation initiation factor 3 subunit M"
"314","EIF4G3","1554309_at",0.000309,9.29e-05,4,0.1456062,0.592,"eukaryotic translation initiation factor 4 gamma 3","ILMN_1775692",0.00985329,0.00112,3.5879756,-1.05328,1.1248133,"eukaryotic translation initiation factor 4 gamma 3"
"315","EIF5","208290_s_at",1.17e-33,1.2e-35,16,70.4360296,1.81,"eukaryotic translation initiation factor 5","ILMN_1815733",0.00281509,0.000179,4.2482342,0.67442,0.9545826,"eukaryotic translation initiation factor 5"
"316","EIF5B","201025_at",5.22e-22,2.01e-23,11.7,42.4321991,0.827,"eukaryotic translation initiation factor 5B","ILMN_1756767",0.00031556,5.75e-06,5.4454146,3.94993,1.0720785,"eukaryotic translation initiation factor 5B"
"317","ELF2","242735_x_at",1.33e-18,7.62e-20,-10.4,34.2502015,-0.701,"E74 like ETS transcription factor 2","ILMN_1691559",0.03755087,0.00746,2.8604268,-2.81068,0.7404123,"E74 like ETS transcription factor 2"
"318","ELF4","31845_at",3.84e-05,1.02e-05,4.55,2.2580125,0.591,"E74 like ETS transcription factor 4","ILMN_1652082",0.00123291,5.05e-05,-4.6912571,1.87472,-0.7394373,"E74 like ETS transcription factor 4"
"319","ELL2","214446_at",1.44e-39,7.45e-42,18.3,84.6527529,3.02,"elongation factor for RNA polymerase II 2","ILMN_1655930",0.01497286,0.00205,3.3620482,-1.61915,1.1276539,"elongation factor for RNA polymerase II 2"
"320","ELMOD2","1553928_at",8.4e-16,6.54e-17,9.32,27.5511235,1.01,"ELMO domain containing 2","ILMN_1765159",0.01049303,0.00122,3.5546659,-1.13767,1.1391813,"ELMO domain containing 2"
"321","ENDOG","204824_at",1.22e-07,2.39e-08,5.86,8.127638,0.824,"endonuclease G","ILMN_1722309",0.03083145,0.00572,-2.9661726,-2.56798,-0.6396922,"endonuclease G"
"322","ENO2","201313_at",2.41e-14,2.19e-15,-8.75,24.0771133,-1.34,"enolase 2","ILMN_1765796",0.00682573,0.000653,-3.7839113,-0.55075,-0.5909351,"enolase 2"
"323","ENY2","226776_at",2.17e-13,2.21e-14,-8.36,21.7895092,-0.877,"ENY2, transcription and export complex 2 subunit","ILMN_2166865",3.947e-05,1.97e-07,6.625379,7.17694,1.8245222,"ENY2, transcription and export complex 2 subunit"
"324","EPHX1","202017_at",7.1e-19,3.94e-20,-10.5,34.9044025,-1.09,"epoxide hydrolase 1","ILMN_1701025",0.03117114,0.00583,-2.9585661,-2.5856,-0.5995593,"epoxide hydrolase 1"
"325","EPN1","226667_x_at",5.8e-12,6.89e-13,7.78,18.3932468,0.612,"epsin 1","ILMN_1772981",0.00361647,0.000257,-4.1189413,0.32917,-1.037638,"epsin 1"
"326","EPRS","200843_s_at",6.27e-23,2.18e-24,12,44.64399,0.741,"glutamyl-prolyl-tRNA synthetase","ILMN_1783695",0.02280154,0.00372,3.1340876,-2.17285,0.9563551,"glutamyl-prolyl-tRNA synthetase"
"327","EPSTI1","227609_at",5.03e-49,8.19e-52,22.2,107.4463649,5.13,"epithelial stromal interaction 1 (breast)","ILMN_2388547",0.00014121,1.75e-06,5.8589728,5.08925,1.9459752,"epithelial stromal interaction 1 (breast)"
"328","ERCC8","205162_at",3.79e-09,6.23e-10,6.56,11.6946708,0.916,"ERCC excision repair 8, CSA ubiquitin ligase complex subunit","ILMN_1792107",0.00588921,0.000523,3.8643033,-0.3418,1.0222816,"ERCC excision repair 8, CSA ubiquitin ligase complex subunit"
"329","ESD","228162_at",0.00181,0.000613,3.49,-1.6342785,0.62,"esterase D","ILMN_1720285",0.00880759,0.000942,3.6504559,-0.89413,0.8514812,"esterase D"
"330","ESPN","223549_s_at",1.13e-19,5.72e-21,-10.8,36.8198058,-1.58,"espin","ILMN_1806710",0.00601367,0.000542,-3.8513267,-0.37562,-1.0437521,"espin"
"331","EXO1","204603_at",1.95e-27,4.11e-29,13.7,55.4601304,1.81,"exonuclease 1","ILMN_1673721",0.02255035,0.00366,3.1406128,-2.15726,0.9765893,"exonuclease 1"
"332","EXOC3","212630_at",1.27e-16,9.07e-18,9.63,29.5090961,0.982,"exocyst complex component 3","ILMN_1789419",0.00727961,0.000712,-3.7524714,-0.63205,-0.8206508,"exocyst complex component 3"
"333","EXOC5","228418_at",1.51e-14,1.34e-15,8.83,24.5625084,1.28,"exocyst complex component 5","ILMN_1788625",0.03394471,0.00653,2.9134967,-2.6895,0.8024648,"exocyst complex component 5"
"334","EXOSC3","227913_at",1.06e-24,3.09e-26,12.7,48.8746952,2.17,"exosome component 3","ILMN_1708936",0.01553926,0.00217,3.3401191,-1.67321,0.7991892,"exosome component 3"
"335","EXOSC4","218695_at",7.21e-17,5e-18,9.73,30.0995861,1.2,"exosome component 4","ILMN_1745271",0.00967865,0.00109,-3.5981462,-1.02744,-0.8537222,"exosome component 4"
"336","EXTL3","209202_s_at",1.03e-05,2.55e-06,4.87,3.5909115,0.804,"exostosin like glycosyltransferase 3","ILMN_1778226",0.01034872,0.00119,-3.562959,-1.11669,-0.6896609,"exostosin like glycosyltransferase 3"
"337","FABP5","202345_s_at",2.63e-41,1.08e-43,19,88.8663793,1.47,"fatty acid binding protein 5","ILMN_2146761",0.00036923,7.61e-06,5.3482996,3.68195,1.9711333,"fatty acid binding protein 5"
"338","FAM110A","226584_s_at",3.17e-08,5.8e-09,6.14,9.5104218,0.682,"family with sequence similarity 110 member A","ILMN_2323944",0.00931742,0.00103,-3.6185711,-0.97548,-1.049295,"family with sequence similarity 110 member A"
"339","FAM117A","221249_s_at",6.92e-32,8.44e-34,-15.3,66.2009549,-1.46,"family with sequence similarity 117 member A","ILMN_1745533",0.01862662,0.00279,-3.2442125,-1.9077,-0.7190362,"family with sequence similarity 117 member A"
"340","FAM129B","223019_at",6.81e-19,3.77e-20,10.5,34.9480471,0.794,"family with sequence similarity 129 member B","ILMN_1661755",0.0096204,0.00108,-3.6013514,-1.0193,-0.7568376,"family with sequence similarity 129 member B"
"341","FAM162A","224345_x_at",2.86e-17,1.89e-18,9.88,31.0664513,0.667,"family with sequence similarity 162 member A","ILMN_1803647",0.01049047,0.00122,3.5551649,-1.13641,1.376063,"family with sequence similarity 162 member A"
"342","FAM174B","222085_at",1.14e-28,2.07e-30,-14.1,58.4350566,-1.14,"family with sequence similarity 174 member B","ILMN_1652797",0.00012434,1.42e-06,-5.9302385,5.28498,-1.1583575,"family with sequence similarity 174 member B"
"343","FAM206A","218998_at",2.98e-12,3.43e-13,7.9,19.081538,0.764,"family with sequence similarity 206 member A","ILMN_2191929",0.00606603,0.000552,3.8448187,-0.39258,1.0604414,"family with sequence similarity 206 member A"
"344","FAM214A","235193_at",5.68e-05,1.54e-05,4.45,1.860086,0.852,"family with sequence similarity 214 member A","ILMN_1700733",0.01876678,0.00282,3.2399696,-1.918,1.3783551,"family with sequence similarity 214 member A"
"345","FAM3C","236316_at",3.38e-15,2.8e-16,-9.08,26.1097494,-0.743,"family with sequence similarity 3 member C","ILMN_2368773",0.03609242,0.00708,2.881449,-2.76283,1.0535513,"family with sequence similarity 3 member C"
"346","FAM46B","229518_at",1.34e-09,2.09e-10,6.77,12.7656627,0.805,"family with sequence similarity 46 member B","ILMN_1808011",0.00379675,0.000275,-4.094469,0.26414,-0.8834514,"family with sequence similarity 46 member B"
"347","FAM69B","229003_x_at",0.00152,0.000508,-3.55,-1.4582386,-0.632,"family with sequence similarity 69 member B","ILMN_1757440",0.02761128,0.00488,-3.0288171,-2.42192,-1.2873939,"family with sequence similarity 69 member B"
"348","FAM83A","239586_at",1.79e-45,4.61e-48,20.7,98.8673687,4.97,"family with sequence similarity 83 member A","ILMN_1670158",0.02057778,0.00322,-3.1896878,-2.03955,-1.0676805,"family with sequence similarity 83 member A"
"349","FAM83B","232202_at",5.22e-07,1.1e-07,5.55,6.6372194,0.586,"family with sequence similarity 83 member B","ILMN_1782863",0.02493074,0.00424,3.0836025,-2.29285,1.579679,"family with sequence similarity 83 member B"
"350","FARSA","216602_s_at",3.67e-08,6.75e-09,6.11,9.3611711,0.899,"phenylalanyl-tRNA synthetase alpha subunit","ILMN_1778255",0.00069509,2.08e-05,-4.9999214,2.72152,-0.8828566,"phenylalanyl-tRNA synthetase alpha subunit"
"351","FASTKD1","219002_at",5.78e-20,2.84e-21,10.9,37.5166333,0.869,"FAST kinase domains 1","ILMN_1751362",0.00063826,1.8e-05,5.0490878,2.85687,1.1066047,"FAST kinase domains 1"
"352","FASTKD3","219200_at",1.43e-09,2.24e-10,6.75,12.6982859,0.774,"FAST kinase domains 3","ILMN_1750160",0.00042842,9.63e-06,5.2664507,3.45611,0.8956249,"FAST kinase domains 3"
"353","FBLN1","201787_at",0.000111,3.14e-05,-4.28,1.1802864,-0.691,"fibulin 1","ILMN_1672536",0.04029876,0.00825,-2.8196867,-2.90284,-0.5982166,"fibulin 1"
"354","FBXO38","219608_s_at",0.00272,0.000946,-3.37,-2.0403011,-0.724,"F-box protein 38","ILMN_1754811",0.01537691,0.00214,3.3455888,-1.65974,0.7749299,"F-box protein 38"
"355","FBXO46","205310_at",4.66e-25,1.3e-26,12.8,49.7372112,1.07,"F-box protein 46","ILMN_2350266",0.00162578,7.64e-05,-4.5465815,1.48031,-0.6216834,"F-box protein 46"
"356","FBXW9","223419_at",3.56e-12,4.13e-13,7.87,18.8982789,0.625,"F-box and WD repeat domain containing 9","ILMN_1750661",0.02104879,0.00332,-3.1776545,-2.0685,-0.6728289,"F-box and WD repeat domain containing 9"
"357","FCGBP","203240_at",4.61e-10,6.85e-11,-6.97,13.8636353,-0.896,"Fc fragment of IgG binding protein","ILMN_2302757",0.01194808,0.00148,-3.4835826,-1.31669,-1.3111624,"Fc fragment of IgG binding protein"
"358","FER","206412_at",8.04e-09,1.37e-09,6.41,10.9222739,0.855,"FER tyrosine kinase","ILMN_1789618",0.01679179,0.00242,3.2980771,-1.7764,1.046511,"FER tyrosine kinase"
"359","FEZ1","203562_at",2.2e-06,5.01e-07,-5.23,5.1648413,-0.811,"fasciculation and elongation protein zeta 1","ILMN_1779071",0.00531146,0.000455,-3.9148958,-0.20954,-1.1375699,"fasciculation and elongation protein zeta 1"
"360","FGFBP1","205014_at",5.03e-30,7.71e-32,14.6,61.7081776,1.61,"fibroblast growth factor binding protein 1","ILMN_1785404",0.00992061,0.00113,3.5838478,-1.06375,0.9184298,"fibroblast growth factor binding protein 1"
"361","FGFR1OP","205588_s_at",2.96e-10,4.3e-11,7.05,14.3205713,0.981,"FGFR1 oncogene partner","ILMN_2411116",0.04463257,0.00947,2.764033,-3.02748,1.0039743,"FGFR1 oncogene partner"
"362","FGFR1OP2","1556283_s_at",1.31e-16,9.32e-18,9.63,29.4829288,1.24,"FGFR1 oncogene partner 2","ILMN_1657436",0.0091401,0.001,3.6284667,-0.95026,1.0421942,"FGFR1 oncogene partner 2"
"363","FHL1","201540_at",2.11e-17,1.38e-18,-9.93,31.3782255,-0.823,"four and a half LIM domains 1","ILMN_1805842",0.02255667,0.00366,-3.1403383,-2.15792,-1.2737341,"four and a half LIM domains 1"
"364","FILIP1L","1554966_a_at",5.61e-06,1.34e-06,-5.01,4.213439,-0.607,"filamin A interacting protein 1 like","ILMN_1738578",0.00788137,0.000802,3.7095184,-0.74272,1.021074,"filamin A interacting protein 1 like"
"365","FIP1L1","227293_at",3.36e-13,3.48e-14,-8.29,21.339886,-0.657,"factor interacting with PAPOLA and CPSF1","ILMN_1768743",0.0048458,0.000393,3.9669505,-0.0729,1.2741472,"factor interacting with PAPOLA and CPSF1"
"366","FLOT2","201350_at",2.8e-15,2.3e-16,9.11,26.3056177,0.629,"flotillin 2","ILMN_1726222",0.0060175,0.000544,-3.8506243,-0.37745,-1.0412953,"flotillin 2"
"367","FOXC1","1553613_s_at",1.01e-18,5.72e-20,-10.4,34.5346794,-1.43,"forkhead box C1","ILMN_1738401",0.01504993,0.00207,-3.358632,-1.62758,-0.8446071,"forkhead box C1"
"368","FRAT2","209864_at",7.05e-05,1.94e-05,4.4,1.6399506,0.656,"frequently rearranged in advanced T-cell lymphomas 2","ILMN_1788213",0.02228468,0.0036,-3.1473253,-2.14122,-0.8870336,"frequently rearranged in advanced T-cell lymphomas 2"
"369","FXR1","230201_at",6.62e-08,1.25e-08,-5.99,8.7553453,-0.906,"FMR1 autosomal homolog 1","ILMN_2389273",0.00070481,2.13e-05,4.9922343,2.70036,1.4424799,"FMR1 autosomal homolog 1"
"370","G6PD","202275_at",2.14e-19,1.11e-20,10.7,36.1603694,1.72,"glucose-6-phosphate dehydrogenase","ILMN_1697559",0.0039594,0.000293,-4.0729397,0.20702,-0.7294919,"glucose-6-phosphate dehydrogenase"
"371","GABRP","205044_at",1.62e-11,2.03e-12,-7.59,17.327303,-1.54,"gamma-aminobutyric acid type A receptor pi subunit","ILMN_1689146",0.02467869,0.00417,3.0898299,-2.2781,0.8167488,"gamma-aminobutyric acid type A receptor pi subunit"
"372","GAL3ST4","219815_at",1.34e-35,1.1e-37,-16.7,75.1037962,-0.934,"galactose-3-O-sulfotransferase 4","ILMN_1693452",0.00605211,0.00055,-3.8462423,-0.38887,-0.7124427,"galactose-3-O-sulfotransferase 4"
"373","GBP1","202269_x_at",4.65e-36,3.66e-38,16.9,76.1970613,3.23,"guanylate binding protein 1","ILMN_1701114",0.00035481,7.01e-06,5.3763767,3.75943,1.64122,"guanylate binding protein 1"
"374","GBP6","1559607_s_at",1.14e-16,8.05e-18,9.65,29.6271581,1.93,"guanylate binding protein family member 6","ILMN_1756953",0.00182847,9.39e-05,4.4745868,1.28482,1.2801267,"guanylate binding protein family member 6"
"375","GEMIN6","219539_at",1.17e-19,5.94e-21,10.8,36.7827698,0.929,"gem nuclear organelle associated protein 6","ILMN_1707484",0.00010878,1.14e-06,6.0085823,5.49985,1.2727532,"gem nuclear organelle associated protein 6"
"376","GGCT","215380_s_at",1.14e-21,4.62e-23,11.5,41.6067968,0.79,"gamma-glutamylcyclotransferase","ILMN_2101526",0.00465868,0.000369,3.9899685,-0.01229,1.3171969,"gamma-glutamylcyclotransferase"
"377","GGH","203560_at",4.08e-31,5.5e-33,15,64.3345239,1.69,"gamma-glutamyl hydrolase","ILMN_1681754",0.00105406,3.96e-05,4.7755922,2.10547,1.7318077,"gamma-glutamyl hydrolase"
"378","GHR","205498_at",7.42e-09,1.26e-09,-6.43,11.0056691,-0.669,"growth hormone receptor","ILMN_1775814",0.0060175,0.000545,3.8497729,-0.37967,0.7073674,"growth hormone receptor"
"379","GINS2","221521_s_at",5.37e-26,1.34e-27,13.1,51.997751,1.8,"GINS complex subunit 2","ILMN_1809590",0.04277432,0.00895,2.78699,-2.97624,0.5859676,"GINS complex subunit 2"
"380","GK","217167_x_at",1.17e-34,1.07e-36,16.4,72.8427653,2.62,"glycerol kinase","ILMN_2393296",0.00475047,0.000382,3.977833,-0.04426,1.1190363,"glycerol kinase"
