"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.VL","adj.P.Val.VL","P.Value.VL","t.VL","B.VL","logFC.VL","Gene.title.VL"
"753","PTN","209465_x_at",1.19e-18,6.78e-20,-10.4,34.366454,-1.23,"pleiotrophin","ILMN_1813753",0.00014121,1.8e-06,5.8486435,5.06086,1.2126932,"pleiotrophin"
"754","PTPN13","243792_x_at",1.47e-06,3.26e-07,-5.32,5.5820779,-0.732,"protein tyrosine phosphatase, non-receptor type 13","ILMN_2374687",0.02447055,0.00412,3.0947909,-2.26634,1.3818988,"protein tyrosine phosphatase, non-receptor type 13"
"755","PTPN2","204935_at",1.05e-11,1.29e-12,7.67,17.773293,0.993,"protein tyrosine phosphatase, non-receptor type 2","ILMN_2400030",0.00685002,0.000658,3.7813267,-0.55744,1.8291995,"protein tyrosine phosphatase, non-receptor type 2"
"756","PTPN23","223150_s_at",0.00154,0.000515,3.54,-1.4718077,0.636,"protein tyrosine phosphatase, non-receptor type 23","ILMN_1654318",0.00192025,0.000101,-4.4498525,1.2178,-0.8436531,"protein tyrosine phosphatase, non-receptor type 23"
"757","PTRH2","218732_at",4.06e-21,1.74e-22,11.3,40.287079,1.06,"peptidyl-tRNA hydrolase 2","ILMN_2311548",0.00015901,2.14e-06,5.7887905,4.89628,1.232458,"peptidyl-tRNA hydrolase 2"
"758","PTS","209694_at",1.12e-21,4.52e-23,11.5,41.6280595,0.746,"6-pyruvoyltetrahydropterin synthase","ILMN_2162328",0.00357648,0.000254,4.1236447,0.34168,1.0652658,"6-pyruvoyltetrahydropterin synthase"
"759","PTTG1","203554_x_at",2.12e-40,9.89e-43,18.6,86.6613142,1.57,"pituitary tumor-transforming 1","ILMN_2042771",0.00167475,8e-05,4.5306854,1.4371,1.2158642,"pituitary tumor-transforming 1"
"760","PUM3","203712_at",5.52e-23,1.91e-24,12,44.7740064,1.18,"pumilio RNA binding family member 3","ILMN_1665483",0.00025943,4.32e-06,5.5439797,4.22184,1.9469846,"pumilio RNA binding family member 3"
"761","PUS7L","229751_s_at",3.25e-08,5.96e-09,6.13,9.4836067,0.704,"pseudouridylate synthase 7 like","ILMN_1747184",0.01422154,0.0019,3.3909525,-1.54764,1.0309599,"pseudouridylate synthase 7 like"
"762","PYGB","201481_s_at",1.96e-18,1.13e-19,-10.3,33.8547059,-0.877,"phosphorylase, glycogen; brain","ILMN_1778360",0.00055967,1.46e-05,-5.1227957,3.05994,-1.1318242,"phosphorylase, glycogen; brain"
"763","QSOX1","230523_at",3.66e-07,7.58e-08,5.62,7.0011662,0.636,"quiescin sulfhydryl oxidase 1","ILMN_2411282",0.03263276,0.0062,-2.934444,-2.64132,-0.6240025,"quiescin sulfhydryl oxidase 1"
"764","R3HDM4","221764_at",1.24e-15,9.81e-17,9.25,27.1497547,0.88,"R3H domain containing 4","ILMN_1808202",0.01419472,0.00189,-3.3920822,-1.54484,-1.0559836,"R3H domain containing 4"
"765","RAB11FIP4","225739_at",5.28e-11,7.01e-12,7.38,16.1067464,0.624,"RAB11 family interacting protein 4","ILMN_1681467",0.00149318,6.75e-05,-4.5902929,1.59926,-0.7432746,"RAB11 family interacting protein 4"
"766","RAB1A","207791_s_at",1.33e-06,2.95e-07,5.34,5.6782529,0.651,"RAB1A, member RAS oncogene family","ILMN_2118864",0.03157676,0.00592,2.9527133,-2.59914,0.5963714,"RAB1A, member RAS oncogene family"
"767","RAB23","229504_at",2.05e-05,5.23e-06,-4.71,2.8977507,-0.657,"RAB23, member RAS oncogene family","ILMN_1667417",0.00594425,0.000531,3.8587253,-0.35634,0.9370373,"RAB23, member RAS oncogene family"
"768","RAB2A","221960_s_at",1.75e-12,1.96e-13,8,19.6346748,0.771,"RAB2A, member RAS oncogene family","ILMN_1652394",0.01377287,0.00182,3.4070678,-1.50766,0.6423113,"RAB2A, member RAS oncogene family"
"769","RAB40C","227269_s_at",5.04e-06,1.2e-06,-5.04,4.3229302,-0.719,"RAB40C, member RAS oncogene family","ILMN_1712705",0.0121341,0.00151,-3.4749702,-1.33828,-0.9501589,"RAB40C, member RAS oncogene family"
"770","RABGGTA","203573_s_at",8.7e-39,5.03e-41,18,82.7540294,2.31,"Rab geranylgeranyltransferase alpha subunit","ILMN_2299221",0.00441749,0.000341,-4.018637,0.06333,-0.608127,"Rab geranylgeranyltransferase alpha subunit"
"771","RABL3","226089_at",1.95e-28,3.64e-30,14,57.8723083,2,"RAB, member of RAS oncogene family like 3","ILMN_1662306",0.00130646,5.5e-05,4.6616214,1.79377,1.0271446,"RAB, member of RAS oncogene family like 3"
"772","RAD50","208393_s_at",4.76e-13,5.01e-14,8.23,20.9799055,0.896,"RAD50 double strand break repair protein","ILMN_1755023",0.0006746,1.98e-05,5.016348,2.76673,1.5810497,"RAD50 double strand break repair protein"
"773","RAD54B","219494_at",6.53e-06,1.57e-06,4.98,4.0592994,0.6,"RAD54 homolog B (S. cerevisiae)","ILMN_1722127",0.01581792,0.00223,3.3298097,-1.69857,1.1362189,"RAD54 homolog B (S. cerevisiae)"
"774","RALGAPA1","1566272_at",6.96e-06,1.68e-06,-4.96,3.9934783,-0.64,"Ral GTPase activating protein catalytic alpha subunit 1","ILMN_2324574",0.04305071,0.00902,2.7836999,-2.9836,0.9784116,"Ral GTPase activating protein catalytic alpha subunit 1"
"775","RANBP1","202483_s_at",3.62e-08,6.67e-09,6.11,9.3737215,0.743,"RAN binding protein 1","ILMN_2109156",0.02966801,0.0054,2.9890107,-2.51492,0.762429,"RAN binding protein 1"
"776","RANGAP1","212125_at",2.69e-14,2.46e-15,8.73,23.9605524,1.49,"Ran GTPase activating protein 1","ILMN_1662198",0.04208226,0.00874,-2.7964123,-2.95514,-0.6919553,"Ran GTPase activating protein 1"
"777","RAP1GDS1","217457_s_at",7.78e-17,5.42e-18,9.71,30.0200735,0.828,"Rap1 GTPase-GDP dissociation stimulator 1","ILMN_2106167",0.00932758,0.00103,3.6176725,-0.97777,0.6896354,"Rap1 GTPase-GDP dissociation stimulator 1"
"778","RBCK1","207713_s_at",3.89e-07,8.08e-08,5.61,6.9394016,0.616,"RANBP2-type and C3HC4-type zinc finger containing 1","ILMN_1751330",0.0194835,0.00297,-3.2213795,-1.96304,-0.7371031,"RANBP2-type and C3HC4-type zinc finger containing 1"
"779","RBM28","218593_at",5.21e-12,6.15e-13,7.8,18.5051342,1.03,"RNA binding motif protein 28","ILMN_1793033",0.00462397,0.000365,3.9939026,-0.00193,1.1114394,"RNA binding motif protein 28"
"780","RBM39","227223_at",2.1e-11,2.66e-12,-7.55,17.0614412,-0.933,"RNA binding motif protein 39","ILMN_2411963",0.00191336,9.98e-05,4.4532592,1.22703,1.0351512,"RNA binding motif protein 39"
"781","RBM41","232860_x_at",6.39e-16,4.9e-17,9.36,27.8381122,0.768,"RNA binding motif protein 41","ILMN_1695717",0.01956606,0.00299,3.2185128,-1.96998,1.465811,"RNA binding motif protein 41"
"782","RBM45","228578_at",1.17e-16,8.29e-18,9.65,29.5983603,0.769,"RNA binding motif protein 45","ILMN_1680378",0.00197356,0.000105,4.4346999,1.17678,0.8359938,"RNA binding motif protein 45"
