"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.AD","adj.P.Val.AD","P.Value.AD","t.AD","B.AD","logFC.AD","Gene.title.AD","ID.HS","adj.P.Val.HS","P.Value.HS","t.HS","B.HS","logFC.HS","Gene.title.HS","ID","adj.P.Val","P.Value","t","B","logFC","Gene.title"
"11","ARF3","211622_s_at",3.82e-28,7.42e-30,13.9,57.1635838,2.27,"ADP ribosylation factor 3","211622_s_at",0.488,0.04463179,2.12,-5.795,0.82,"ADP ribosylation factor 3","211622_s_at",3.95e-06,3.48e-07,6.8026889,6.493577,0.75783611,"ADP ribosylation factor 3","ILMN_1682938",0.00298034,0.000194,-4.2186942,0.5953,-0.9485949,"ADP ribosylation factor 3"
"12","ATP8B4","220416_at",1.49e-06,3.32e-07,-5.32,5.5649518,-0.676,"ATPase phospholipid transporting 8B4 (putative)","220416_at",0.366,0.01852588,-2.53,-4.99083,-0.803,"ATPase phospholipid transporting 8B4 (putative)","220416_at",0.00434,0.00143,3.5726991,-1.734509,0.67330596,"ATPase phospholipid transporting 8B4 (putative)","ILMN_1783956",0.00167475,8e-05,4.5307931,1.43739,0.6779693,"ATPase phospholipid transporting 8B4 (putative)"
"13","AURKA","204092_s_at",8e-29,1.43e-30,14.2,58.8038835,3.02,"aurora kinase A","208079_s_at",0.348,0.01624959,2.59,-4.86865,1.07,"aurora kinase A","208080_at",0.000359,7.6e-05,4.7039179,1.135602,0.76804333,"aurora kinase A","ILMN_2357438",0.01186649,0.00147,3.4868812,-1.30842,0.6681987,"aurora kinase A"
"14","BUB1","209642_at",1.24e-32,1.39e-34,15.6,67.9944837,2.66,"BUB1 mitotic checkpoint serine/threonine kinase","209642_at",0.212,0.00206235,3.47,-2.89433,1.52,"BUB1 mitotic checkpoint serine/threonine kinase","209642_at",0.00199,0.000571,3.9314217,-0.842422,1.05361904,"BUB1 mitotic checkpoint serine/threonine kinase","ILMN_2202948",0.03153793,0.00591,2.9533056,-2.59777,1.4362668,"BUB1 mitotic checkpoint serine/threonine kinase"
"15","C10orf99","227735_s_at",7.18e-35,6.4e-37,16.5,73.348925,5.25,"chromosome 10 open reading frame 99","227735_s_at",0.432,0.03070913,2.3,-5.45663,2.24,"chromosome 10 open reading frame 99","227736_at",0.0249,0.0111,2.7374663,-3.68067,1.23141362,"chromosome 10 open reading frame 99","ILMN_1802192",0.00071944,2.19e-05,4.9816844,2.67134,1.8205194,"chromosome 10 open reading frame 99"
"16","C21orf91","220941_s_at",4.58e-33,4.95e-35,15.8,69.0232021,2.32,"chromosome 21 open reading frame 91","220941_s_at",0.263,0.00620832,3.01,-3.95861,1.3,"chromosome 21 open reading frame 91","226109_at",2.23e-07,9.25e-09,-8.3306396,10.119652,-0.67231521,"chromosome 21 open reading frame 91","ILMN_1698166",0.00041778,9.21e-06,5.282055,3.49916,0.8684505,"chromosome 21 open reading frame 91"
"17","C2orf40","223623_at",1.96e-18,1.14e-19,-10.3,33.8544354,-1.88,"chromosome 2 open reading frame 40","223623_at",0.473,0.04087647,-2.16,-5.716,-1.36,"chromosome 2 open reading frame 40","223623_at",0.00137,0.000367,-4.1016233,-0.411722,-1.53407626,"chromosome 2 open reading frame 40","ILMN_1676822",0.03492583,0.00679,2.8980377,-2.72493,0.7608111,"chromosome 2 open reading frame 40"
"18","CBLC","220638_s_at",3.68e-19,1.97e-20,10.6,35.5949624,1.62,"Cbl proto-oncogene C","220638_s_at",0.494,0.04626526,2.1,-5.82721,0.782,"Cbl proto-oncogene C","220638_s_at",0.000121,2.12e-05,-5.1916551,2.399247,-0.99529393,"Cbl proto-oncogene C","ILMN_1811729",0.02373454,0.00395,-3.1107355,-2.22848,-0.8641848,"Cbl proto-oncogene C"
"19","CD3D","213539_at",7.45e-22,2.94e-23,11.6,42.0577166,2.71,"CD3d molecule","213539_at",0.298,0.01021257,2.79,-4.43208,0.915,"CD3d molecule","213539_at",1.51e-08,2.65e-10,9.9698856,13.661816,1.47425468,"CD3d molecule","ILMN_2325837",0.0205502,0.00321,3.1908151,-2.03683,1.3581754,"CD3d molecule"
"20","CDKN3","1555758_a_at",3.21e-33,3.42e-35,15.8,69.3911317,3.34,"cyclin dependent kinase inhibitor 3","1555758_a_at",0.318,0.01235728,2.71,-4.61193,1.62,"cyclin dependent kinase inhibitor 3","1555758_a_at",0.00055,0.000125,4.5137294,0.644267,0.91498821,"cyclin dependent kinase inhibitor 3","ILMN_1666305",0.00019122,2.87e-06,5.6858133,4.61279,1.5495985,"cyclin dependent kinase inhibitor 3"
"21","CENPN","228559_at",1.74e-22,6.36e-24,11.8,43.5782638,2.57,"centromere protein N","222118_at",0.385,0.02185279,2.46,-5.14399,0.917,"centromere protein N","222118_at",0.000315,6.51e-05,4.7627567,1.287892,1.04638015,"centromere protein N","ILMN_1720526",7.077e-05,5.53e-07,6.2609269,6.18944,1.6494195,"centromere protein N"
"22","CEP135","207286_at",3.73e-14,3.46e-15,-8.67,23.6232089,-1.23,"centrosomal protein 135","207286_at",0.304,0.01073835,2.77,-4.47953,0.946,"centrosomal protein 135","207286_at",1.37e-05,1.57e-06,-6.200773,4.988578,-0.7641945,"centrosomal protein 135","ILMN_1693766",0.00177345,8.88e-05,4.4942394,1.33813,1.3028062,"centrosomal protein 135"
"23","CHEK1","205393_s_at",3.12e-41,1.3e-43,18.9,88.6822826,2.78,"checkpoint kinase 1","205394_at",0.292,0.00931041,2.83,-4.3445,1.39,"checkpoint kinase 1","205394_at",0.00418,0.00137,3.590317,-1.691293,0.71358192,"checkpoint kinase 1","ILMN_1664630",0.0039594,0.000293,4.072018,0.20458,0.8677599,"checkpoint kinase 1"
"24","CORO1A","209083_at",1.86e-08,3.31e-09,6.25,10.0576338,0.992,"coronin 1A","209083_at",0.211,0.00193039,3.49,-2.82989,1.28,"coronin 1A","209083_at",2.54e-07,1.1e-08,8.2540769,9.945263,1.4241105,"coronin 1A","ILMN_1713749",0.03116592,0.00582,-2.959082,-2.58441,-0.6536843,"coronin 1A"
"25","CTSC","225647_s_at",2.12e-16,1.54e-17,9.55,28.9840675,1.27,"cathepsin C","225646_at",0.236,0.0033087,3.27,-3.35318,1.07,"cathepsin C","225647_s_at",2.54e-08,5.4e-10,9.6283233,12.953763,1.15357428,"cathepsin C","ILMN_2242463",0.01537691,0.00214,3.3456702,-1.65954,0.7334623,"cathepsin C"
"26","CXCL8","202859_x_at",2.79e-44,8.56e-47,20.2,95.9634152,6.75,"C-X-C motif chemokine ligand 8","202859_x_at",0.247,0.00431494,3.16,-3.60945,3.3,"C-X-C motif chemokine ligand 8","211506_s_at",4.47e-05,6.44e-06,5.6499343,3.582628,3.59963039,"C-X-C motif chemokine ligand 8","ILMN_1666733",0.03938638,0.008,2.8324679,-2.87401,1.3750851,"C-X-C motif chemokine ligand 8"
"27","DENND1A","219763_at",5.27e-31,7.2e-33,15,64.0674579,2,"DENN domain containing 1A","219763_at",0.435,0.03127768,2.29,-5.47337,0.668,"DENN domain containing 1A","219763_at",1.25e-07,4.4e-09,8.6601006,10.860959,1.40097007,"DENN domain containing 1A","ILMN_1753275",0.02992921,0.00548,-2.9830107,-2.52888,-0.7485285,"DENN domain containing 1A"
"28","DENND4A","1554352_s_at",2.68e-09,4.33e-10,6.63,12.0520644,0.839,"DENN domain containing 4A","214787_at",0.395,0.02347427,2.42,-5.2101,0.687,"DENN domain containing 4A","214787_at",2.13e-05,2.68e-06,5.9915907,4.457409,0.85802529,"DENN domain containing 4A","ILMN_2041161",0.0168047,0.00243,3.2972896,-1.77832,0.7075343,"DENN domain containing 4A"
"29","DLGAP5","203764_at",5.61e-45,1.53e-47,20.5,97.6758847,3.52,"DLG associated protein 5","203764_at",0.293,0.0096567,2.82,-4.3791,1.8,"DLG associated protein 5","203764_at",0.0191,0.00814,2.8691705,-3.389881,0.65542735,"DLG associated protein 5","ILMN_1749829",0.00199197,0.000107,4.42956,1.16287,1.4671555,"DLG associated protein 5"
"30","DSC2","231033_at",2.41e-48,4.27e-51,21.9,105.8059502,6.19,"desmocollin 2","231033_at",0.236,0.0033284,3.27,-3.35893,2.4,"desmocollin 2","204751_x_at",2.14e-05,2.68e-06,5.990305,4.454133,1.85002423,"desmocollin 2","ILMN_1663119",0.04732274,0.0103,2.7305641,-3.10172,0.6912115,"desmocollin 2"
"31","DTWD1","229984_at",1.42e-11,1.76e-12,-7.62,17.4686907,-1.11,"DTW domain containing 1","232429_at",0.403,0.02510645,-2.39,-5.27203,-0.729,"DTW domain containing 1","1555210_at",0.0132,0.00523,-3.052732,-2.973259,-0.68038992,"DTW domain containing 1","ILMN_1740861",0.00012333,1.41e-06,5.9345797,5.29689,1.7583784,"DTW domain containing 1"
"32","EPSTI1","227609_at",5.03e-49,8.19e-52,22.2,107.4463649,5.13,"epithelial stromal interaction 1 (breast)","227609_at",0.491,0.04524214,2.12,-5.80718,1.55,"epithelial stromal interaction 1 (breast)","227609_at",5.09e-09,5.77e-11,10.7267989,15.176221,2.58008998,"epithelial stromal interaction 1 (breast)","ILMN_2388547",0.00014121,1.75e-06,5.8589728,5.08925,1.9459752,"epithelial stromal interaction 1 (breast)"
"33","FAM162A","224345_x_at",2.86e-17,1.89e-18,9.88,31.0664513,0.667,"family with sequence similarity 162 member A","235850_at",0.115,1.172e-05,-5.54,2.25705,-0.68,"family with sequence similarity 162 member A","235850_at",4.04e-07,1.98e-08,-7.9995991,9.359926,-1.0751137,"family with sequence similarity 162 member A","ILMN_1803647",0.01049047,0.00122,3.5551649,-1.13641,1.376063,"family with sequence similarity 162 member A"
"34","FAM83A","239586_at",1.79e-45,4.61e-48,20.7,98.8673687,4.97,"family with sequence similarity 83 member A","239586_at",0.402,0.02468018,2.4,-5.25627,0.89,"family with sequence similarity 83 member A","242944_at",0.0349,0.0165,2.5649933,-4.050024,0.69858107,"family with sequence similarity 83 member A","ILMN_1670158",0.02057778,0.00322,-3.1896878,-2.03955,-1.0676805,"family with sequence similarity 83 member A"
"35","FHL1","201540_at",2.11e-17,1.38e-18,-9.93,31.3782255,-0.823,"four and a half LIM domains 1","210299_s_at",0.496,0.04664418,-2.1,-5.83451,-0.864,"four and a half LIM domains 1","210298_x_at",0.0355,0.0169,-2.556123,-4.068646,-0.65819446,"four and a half LIM domains 1","ILMN_1805842",0.02255667,0.00366,-3.1403383,-2.15792,-1.2737341,"four and a half LIM domains 1"
"36","GBP1","202269_x_at",4.65e-36,3.66e-38,16.9,76.1970613,3.23,"guanylate binding protein 1","231577_s_at",0.294,0.0098067,2.81,-4.3937,0.707,"guanylate binding protein 1","231577_s_at",1.31e-06,8.76e-08,7.3687825,7.871831,2.05610138,"guanylate binding protein 1","ILMN_1701114",0.00035481,7.01e-06,5.3763767,3.75943,1.64122,"guanylate binding protein 1"
"37","GHR","205498_at",7.42e-09,1.26e-09,-6.43,11.0056691,-0.669,"growth hormone receptor","205498_at",0.264,0.0065015,-2.99,-4.00272,-1.03,"growth hormone receptor","205498_at",0.00352,0.00112,-3.6697039,-1.495726,-0.60238788,"growth hormone receptor","ILMN_1775814",0.0060175,0.000545,3.8497729,-0.37967,0.7073674,"growth hormone receptor"
"38","GPSM2","233058_at",3.75e-05,9.94e-06,4.56,2.2805617,0.809,"G-protein signaling modulator 2","205240_at",0.264,0.00654352,2.99,-4.00887,0.72,"G-protein signaling modulator 2","233058_at",0.000253,5.04e-05,-4.8604325,1.540891,-0.58862468,"G-protein signaling modulator 2","ILMN_2139816",0.00037182,7.68e-06,5.3450385,3.67295,1.423851,"G-protein signaling modulator 2"
"39","GPSM3","204265_s_at",1.43e-07,2.82e-08,5.83,7.9644015,0.734,"G-protein signaling modulator 3","204265_s_at",0.335,0.01457259,2.64,-4.76677,1.13,"G-protein signaling modulator 3","204265_s_at",2.64e-09,2.19e-11,11.2265676,16.136065,1.55734956,"G-protein signaling modulator 3","ILMN_1662799",0.00538712,0.000464,-3.9079257,-0.2278,-0.9445172,"G-protein signaling modulator 3"
"40","IFI27","202411_at",1.93e-35,1.62e-37,16.7,74.719216,2.21,"interferon alpha inducible protein 27","202411_at",0.416,0.02777552,2.35,-5.3648,1.2,"interferon alpha inducible protein 27","202411_at",0.000372,7.93e-05,4.687783,1.093859,1.12703023,"interferon alpha inducible protein 27","ILMN_2058782",0.00115248,4.53e-05,4.7292003,1.97847,2.4209813,"interferon alpha inducible protein 27"
"41","IFI6","204415_at",1.38e-35,1.13e-37,16.7,75.0758015,3.56,"interferon alpha inducible protein 6","204415_at",0.357,0.01731599,2.56,-4.92795,1.17,"interferon alpha inducible protein 6","204415_at",2.2e-07,9.06e-09,8.3394975,10.139777,1.42487165,"interferon alpha inducible protein 6","ILMN_1687384",0.00175869,8.72e-05,4.5003163,1.35462,1.7761612,"interferon alpha inducible protein 6"
"42","ISG15","205483_s_at",7.68e-38,5.02e-40,17.6,80.4653435,4.01,"ISG15 ubiquitin-like modifier","205483_s_at",0.401,0.0243589,2.41,-5.2442,1.1,"ISG15 ubiquitin-like modifier","205483_s_at",7.09e-10,2.96e-12,12.3096825,18.11242,1.83881579,"ISG15 ubiquitin-like modifier","ILMN_2054019",0.01153505,0.0014,3.5036028,-1.26642,0.8600667,"ISG15 ubiquitin-like modifier"
"43","JAML","228094_at",2.86e-07,5.83e-08,5.68,7.2563888,0.938,"junction adhesion molecule like","228094_at",0.288,0.00888513,2.85,-4.30016,0.844,"junction adhesion molecule like","228094_at",2.07e-05,2.58e-06,6.0051179,4.491869,0.8921065,"junction adhesion molecule like","ILMN_1778723",0.02746962,0.00484,3.0318363,-2.41484,0.6879555,"junction adhesion molecule like"
"44","KIAA0101","202503_s_at",1.17e-35,9.46e-38,16.8,75.2519191,2.47,"KIAA0101","202503_s_at",0.392,0.02302241,2.43,-5.19217,1.02,"KIAA0101","202503_s_at",0.00437,0.00144,3.5696458,-1.741992,0.63104461,"KIAA0101","ILMN_2285996",0.00048316,1.14e-05,5.2068017,3.29156,1.4250509,"KIAA0101"
"45","KRT15","204734_at",3.78e-16,2.84e-17,-9.45,28.3797712,-1.14,"keratin 15","204734_at",0.348,0.01624881,-2.59,-4.86861,-0.686,"keratin 15","204734_at",0.006,0.00209,-3.4229173,-2.09898,-0.90669826,"keratin 15","ILMN_1770612",0.04222257,0.0088,-2.7937062,-2.96121,-1.120825,"keratin 15"
"46","KRT77","237120_at",4.46e-44,1.42e-46,-20.1,95.4625091,-2.21,"keratin 77","237120_at",0.471,0.04062661,-2.17,-5.71048,-0.986,"keratin 77","237120_at",0.000188,3.54e-05,-4.9953825,1.890644,-2.78535566,"keratin 77","ILMN_1801428",0.00277904,0.000175,-4.2558305,0.69479,-1.3467105,"keratin 77"
"47","LSS","211018_at",1.94e-12,2.18e-13,-7.98,19.5288337,-1.36,"lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)","211018_at",0.384,0.02147047,-2.46,-5.12767,-0.669,"lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)","211018_at",2.47e-06,1.95e-07,-7.0388212,7.073175,-0.88232134,"lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)","ILMN_1715024",0.01375815,0.00181,-3.4078935,-1.50561,-0.8332417,"lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)"
"48","LTB4R","216388_s_at",6.01e-21,2.62e-22,11.3,39.8815485,1.56,"leukotriene B4 receptor","236172_at",0.202,0.00151427,3.59,-2.59284,0.787,"leukotriene B4 receptor","210128_s_at",0.0294,0.0135,-2.6537421,-3.861663,-0.64939727,"leukotriene B4 receptor","ILMN_1747251",0.01921826,0.00292,-3.2278733,-1.94732,-0.8485531,"leukotriene B4 receptor"
"49","LYZ","1555745_a_at",7.15e-08,1.36e-08,5.97,8.6754705,2.07,"lysozyme","213975_s_at",0.367,0.01879162,2.52,-5.00407,1.29,"lysozyme","1555745_a_at",5.7e-06,5.4e-07,6.6255449,6.054594,2.35344604,"lysozyme","ILMN_1815205",0.00205459,0.000111,4.4160892,1.12643,1.348751,"lysozyme"
"50","MAPK6","207121_s_at",1.1e-33,1.11e-35,16,70.5096628,0.776,"mitogen-activated protein kinase 6","207121_s_at",0.367,0.01876329,2.53,-5.00267,0.649,"mitogen-activated protein kinase 6","243831_at",0.000548,0.000125,-4.5148134,0.647063,-0.63557224,"mitogen-activated protein kinase 6","ILMN_1757287",0.02853719,0.00511,3.0105103,-2.46477,1.0945355,"mitogen-activated protein kinase 6"
"51","MAPT","203929_s_at",1.19e-21,4.8e-23,-11.5,41.5692847,-1.73,"microtubule associated protein tau","203929_s_at",0.427,0.02955182,-2.32,-5.42154,-0.619,"microtubule associated protein tau","203928_x_at",2.07e-05,2.59e-06,-6.0047537,4.490941,-0.92208825,"microtubule associated protein tau","ILMN_2310814",0.01049619,0.00122,-3.5539228,-1.13955,-1.081688,"microtubule associated protein tau"
"52","MCM10","223570_at",1.84e-28,3.43e-30,14.1,57.9322677,1.8,"minichromosome maintenance 10 replication initiation factor","220651_s_at",0.242,0.00382204,3.21,-3.49252,1.51,"minichromosome maintenance 10 replication initiation factor","223570_at",0.00217,0.000633,3.8916544,-0.942449,0.59615556,"minichromosome maintenance 10 replication initiation factor","ILMN_2413898",0.00641613,0.000597,3.8165418,-0.46612,1.06093,"minichromosome maintenance 10 replication initiation factor"
"53","MYO5A","204527_at",1.69e-50,2.2e-53,22.8,111.0396896,1.96,"myosin VA","204527_at",0.255,0.00493036,3.1,-3.73769,0.889,"myosin VA","204527_at",0.000354,7.48e-05,4.7100074,1.151358,0.59008444,"myosin VA","ILMN_1698225",0.00282125,0.00018,4.2460767,0.66864,1.0600667,"myosin VA"
"54","NMI","203964_at",1.9e-38,1.15e-40,17.8,81.9306479,1.14,"N-myc and STAT interactor","203964_at",0.454,0.03631653,2.22,-5.60915,0.74,"N-myc and STAT interactor","203964_at",3.98e-06,3.52e-07,6.7985235,6.483295,0.63497655,"N-myc and STAT interactor","ILMN_1739541",0.00792088,0.000808,3.7066218,-0.75017,0.9702025,"N-myc and STAT interactor"
"55","OAS1","205552_s_at",2.11e-44,6.38e-47,20.2,96.2555378,4.8,"2'-5'-oligoadenylate synthetase 1","202869_at",0.459,0.03771724,2.2,-5.6434,1.5,"2'-5'-oligoadenylate synthetase 1","205552_s_at",0.000359,7.6e-05,4.7038405,1.135402,0.82581831,"2'-5'-oligoadenylate synthetase 1","ILMN_2410826",0.00324477,0.00022,4.1745368,0.47729,1.2061049,"2'-5'-oligoadenylate synthetase 1"
"56","OAS2","204972_at",6.42e-46,1.6e-48,20.8,99.9208459,4.46,"2'-5'-oligoadenylate synthetase 2","204972_at",0.473,0.04099621,2.16,-5.71864,1.76,"2'-5'-oligoadenylate synthetase 2","204972_at",5.04e-08,1.37e-09,9.1932476,12.029138,1.83556287,"2'-5'-oligoadenylate synthetase 2","ILMN_1674063",0.00058694,1.58e-05,5.0950289,2.98342,1.8368148,"2'-5'-oligoadenylate synthetase 2"
"57","PARP14","224701_at",1.4e-28,2.57e-30,14.1,58.2190309,0.929,"poly(ADP-ribose) polymerase family member 14","224701_at",0.217,0.00242764,3.4,-3.05298,0.911,"poly(ADP-ribose) polymerase family member 14","224701_at",0.000131,2.33e-05,5.1561156,2.307189,0.60816052,"poly(ADP-ribose) polymerase family member 14","ILMN_1691731",0.00530461,0.000453,3.9159879,-0.20668,0.9792602,"poly(ADP-ribose) polymerase family member 14"
"58","PCM1","228905_at",4.66e-22,1.79e-23,-11.7,42.5489924,-0.744,"pericentriolar material 1","228905_at",0.357,0.01729009,-2.56,-4.92655,-0.634,"pericentriolar material 1","228905_at",1.57e-06,1.1e-07,-7.2747934,7.645709,-0.86194142,"pericentriolar material 1","ILMN_2042595",0.00052345,1.3e-05,5.1613167,3.16613,1.7566257,"pericentriolar material 1"
"59","PDCD6IP","222394_at",1.32e-18,7.56e-20,-10.4,34.2581252,-0.836,"programmed cell death 6 interacting protein","222394_at",0.135,0.00022248,-4.36,-0.69885,-0.603,"programmed cell death 6 interacting protein","222394_at",0.00013,2.31e-05,-5.1578689,2.311731,-0.66880185,"programmed cell death 6 interacting protein","ILMN_1693259",0.04520325,0.00964,2.7564714,-3.0443,0.9924059,"programmed cell death 6 interacting protein"
"60","PDS5B","215888_at",2.1e-06,4.77e-07,-5.24,5.2128214,-0.841,"PDS5 cohesin associated factor B","204742_s_at",0.209,0.00187057,-3.51,-2.7992,-0.616,"PDS5 cohesin associated factor B","215888_at",0.000145,2.62e-05,-5.1102863,2.188447,-0.89031086,"PDS5 cohesin associated factor B","ILMN_1746696",0.01579724,0.00222,3.3307046,-1.69637,0.6003449,"PDS5 cohesin associated factor B"
"61","PHYHIP","205325_at",7.87e-25,2.25e-26,-12.7,49.1876722,-3.34,"phytanoyl-CoA 2-hydroxylase interacting protein","205325_at",0.289,0.00902247,-2.85,-4.31471,-1.22,"phytanoyl-CoA 2-hydroxylase interacting protein","205325_at",3.47e-08,8.22e-10,-9.4297839,12.535004,-2.46920292,"phytanoyl-CoA 2-hydroxylase interacting protein","ILMN_1713387",0.00095931,3.49e-05,-4.8200533,2.22733,-1.1344089,"phytanoyl-CoA 2-hydroxylase interacting protein"
"62","PMEPA1","222450_at",7.71e-15,6.64e-16,-8.94,25.2566407,-0.603,"prostate transmembrane protein, androgen induced 1","222449_at",0.433,0.03096026,-2.3,-5.46407,-0.607,"prostate transmembrane protein, androgen induced 1","222449_at",9.71e-08,3.15e-09,8.8114329,11.196493,1.10418211,"prostate transmembrane protein, androgen induced 1","ILMN_1734276",0.01827817,0.00272,-3.2542191,-1.88338,-0.6605297,"prostate transmembrane protein, androgen induced 1"
"63","PTGS2","204748_at",0.00127,0.00042,3.6,-1.2802307,0.854,"prostaglandin-endoperoxide synthase 2","204748_at",0.502,0.04847284,2.08,-5.86888,1.18,"prostaglandin-endoperoxide synthase 2","204748_at",0.00351,0.00112,3.6710439,-1.492414,1.22179571,"prostaglandin-endoperoxide synthase 2","ILMN_2054297",0.00968477,0.00109,3.5972602,-1.02969,1.5983493,"prostaglandin-endoperoxide synthase 2"
"64","RIT1","209882_at",3.08e-41,1.27e-43,18.9,88.7021676,3.35,"Ras like without CAAX 1","209882_at",0.416,0.02767684,2.35,-5.36154,1.08,"Ras like without CAAX 1","209882_at",2.99e-08,6.72e-10,9.5248138,12.736104,1.02315517,"Ras like without CAAX 1","ILMN_1656335",0.0039594,0.000293,4.0727208,0.20644,0.8199745,"Ras like without CAAX 1"
"65","RORC","228806_at",2.68e-49,4.06e-52,-22.3,108.1427674,-1.92,"RAR related orphan receptor C","228806_at",0.254,0.00483543,-3.11,-3.71901,-1.34,"RAR related orphan receptor C","228806_at",2.99e-05,4.01e-06,-5.8336654,4.054065,-1.33695779,"RAR related orphan receptor C","ILMN_1734366",0.0042853,0.000328,-4.0324472,0.09982,-0.7416798,"RAR related orphan receptor C"
"66","RTP4","219684_at",2.26e-44,6.86e-47,20.2,96.1838264,4.1,"receptor transporter protein 4","219684_at",0.398,0.02392341,2.42,-5.22758,1.65,"receptor transporter protein 4","219684_at",2.42e-08,5.05e-10,9.6601235,13.020343,1.47769866,"receptor transporter protein 4","ILMN_2173975",0.0284906,0.0051,3.011603,-2.46222,0.9104527,"receptor transporter protein 4"
