"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.AD","adj.P.Val.AD","P.Value.AD","t.AD","B.AD","logFC.AD","Gene.title.AD"
"272","DDIT4L","228057_at",2.16e-19,1.12e-20,-10.7,36.1510155,-2.13,"DNA damage inducible transcript 4 like","228057_at",0.211,0.00203859,-3.47,-2.88304,-0.934,"DNA damage inducible transcript 4 like"
"273","DDX58","222793_at",1.12e-19,5.68e-21,10.8,36.8270877,1.89,"DEXD/H-box helicase 58","218943_s_at",0.445,0.03413191,2.25,-5.55286,1.11,"DEXD/H-box helicase 58"
"274","DDX60L","228152_s_at",1.65e-30,2.37e-32,14.8,62.8809366,1.85,"DEAD-box helicase 60-like","228152_s_at",0.372,0.01964101,2.51,-5.04513,0.718,"DEAD-box helicase 60-like"
"275","DEFB4B","207356_at",2.79e-29,4.71e-31,14.4,59.9069173,3.95,"defensin beta 4B///defensin beta 4A","207356_at",0.416,0.02761314,2.35,-5.35943,2.54,"defensin beta 4B///defensin beta 4A"
"276","DENND1A","219763_at",5.27e-31,7.2e-33,15,64.0674579,2,"DENN domain containing 1A","219763_at",0.435,0.03127768,2.29,-5.47337,0.668,"DENN domain containing 1A"
"277","DENND4A","1554352_s_at",2.68e-09,4.33e-10,6.63,12.0520644,0.839,"DENN domain containing 4A","214787_at",0.395,0.02347427,2.42,-5.2101,0.687,"DENN domain containing 4A"
"278","DEPDC1","222958_s_at",4.41e-27,9.83e-29,13.5,54.5936196,2.52,"DEP domain containing 1","222958_s_at",0.345,0.01560301,2.61,-4.83071,1.18,"DEP domain containing 1"
"279","DEPDC1B","226980_at",1.55e-41,6.16e-44,19.1,89.4231872,3.35,"DEP domain containing 1B","226980_at",0.41,0.02656591,2.37,-5.32396,1.25,"DEP domain containing 1B"
"280","DGAT2","224327_s_at",3.59e-08,6.6e-09,-6.11,9.3835404,-0.707,"diacylglycerol O-acyltransferase 2","224327_s_at",0.135,0.00011063,-4.64,-0.00161,-1.84,"diacylglycerol O-acyltransferase 2"
"281","DHRS12","231345_s_at",2.82e-16,2.08e-17,-9.5,28.6875051,-1.22,"dehydrogenase/reductase 12","204800_s_at",0.135,0.00018102,-4.44,-0.49339,-0.784,"dehydrogenase/reductase 12"
"282","DIAPH3","229097_at",3.44e-30,5.13e-32,14.7,62.1132878,2.42,"diaphanous related formin 3","229097_at",0.28,0.00807942,2.9,-4.20985,0.852,"diaphanous related formin 3"
"283","DIO2","203699_s_at",1.34e-35,1.09e-37,16.7,75.1094116,3.93,"deiodinase, iodothyronine, type II","231240_at",0.444,0.03403826,2.25,-5.55037,1.19,"deiodinase, iodothyronine, type II"
"284","DIRAS3","215506_s_at",7.2e-05,1.98e-05,-4.39,1.6180152,-0.841,"DIRAS family GTPase 3","215506_s_at",0.385,0.02170742,-2.46,-5.13782,-0.834,"DIRAS family GTPase 3"
"285","DLGAP5","203764_at",5.61e-45,1.53e-47,20.5,97.6758847,3.52,"DLG associated protein 5","203764_at",0.293,0.0096567,2.82,-4.3791,1.8,"DLG associated protein 5"
"286","DNAH8","233052_at",4.34e-05,1.16e-05,-4.52,2.1332122,-0.918,"dynein axonemal heavy chain 8","233052_at",0.499,0.04760425,-2.09,-5.85273,-1.13,"dynein axonemal heavy chain 8"
"287","DNASE1L3","205554_s_at",1.13e-24,3.29e-26,12.6,48.8097685,1.56,"deoxyribonuclease 1 like 3","205554_s_at",0.135,0.00022313,4.36,-0.70175,1.44,"deoxyribonuclease 1 like 3"
"288","DOCK2","213160_at",3.58e-08,6.58e-09,6.11,9.3870316,0.799,"dedicator of cytokinesis 2","213160_at",0.33,0.01381985,2.66,-4.71705,1.05,"dedicator of cytokinesis 2"
"289","DSC2","231033_at",2.41e-48,4.27e-51,21.9,105.8059502,6.19,"desmocollin 2","231033_at",0.236,0.0033284,3.27,-3.35893,2.4,"desmocollin 2"
"290","DSEL","232235_at",1.21e-09,1.88e-10,-6.79,12.8729957,-0.886,"dermatan sulfate epimerase-like","232235_at",0.408,0.02625493,-2.37,-5.31315,-0.931,"dermatan sulfate epimerase-like"
"291","DSERG1","217671_at",2.34e-10,3.36e-11,-7.1,14.5631536,-0.981,"Down syndrome encephalopathy related protein 1","217671_at",0.431,0.03056356,2.3,-5.4523,0.814,"Down syndrome encephalopathy related protein 1"
"292","DSG2","217901_at",1.09e-28,1.98e-30,-14.1,58.4803096,-1.15,"desmoglein 2","217901_at",0.352,0.01667938,-2.58,-4.89302,-0.882,"desmoglein 2"
"293","DSG3","205595_at",5.02e-38,3.2e-40,17.7,80.9118849,3.6,"desmoglein 3","205595_at",0.267,0.0068485,2.97,-4.05237,1.03,"desmoglein 3"
"294","DTL","218585_s_at",1.61e-23,5.29e-25,12.2,46.050368,2.1,"denticleless E3 ubiquitin protein ligase homolog","222680_s_at",0.26,0.00582758,3.03,-3.89804,1.17,"denticleless E3 ubiquitin protein ligase homolog"
"295","DTWD1","229984_at",1.42e-11,1.76e-12,-7.62,17.4686907,-1.11,"DTW domain containing 1","232429_at",0.403,0.02510645,-2.39,-5.27203,-0.729,"DTW domain containing 1"
"296","DTX3L","225415_at",2.27e-31,2.96e-33,15.1,64.9516522,0.95,"deltex E3 ubiquitin ligase 3L","225415_at",0.336,0.0146844,2.64,-4.77393,0.663,"deltex E3 ubiquitin ligase 3L"
"297","DTX4","212611_at",1.43e-11,1.77e-12,-7.62,17.4625713,-1.25,"deltex E3 ubiquitin ligase 4","212611_at",0.36,0.01783928,-2.55,-4.95568,-0.65,"deltex E3 ubiquitin ligase 4"
"298","DUOX1","215800_at",4.97e-14,4.68e-15,8.62,23.3246777,1.14,"dual oxidase 1","215800_at",0.386,0.02219908,2.45,-5.15853,1.05,"dual oxidase 1"
"299","DUOXA1","1555404_a_at",3.14e-39,1.72e-41,18.1,83.8209847,1.85,"dual oxidase maturation factor 1","1555404_a_at",0.236,0.00321535,3.28,-3.3255,0.755,"dual oxidase maturation factor 1"
"300","DUSP16","224336_s_at",5.41e-20,2.64e-21,10.9,37.5871193,1.22,"dual specificity phosphatase 16","224832_at",0.362,0.0181017,-2.54,-4.96928,-0.666,"dual specificity phosphatase 16"
"301","DUSP4","204014_at",1.03e-06,2.24e-07,-5.4,5.9463904,-0.94,"dual specificity phosphatase 4","204015_s_at",0.236,0.003247,-3.28,-3.33497,-0.603,"dual specificity phosphatase 4"
"302","DZIP1","204557_s_at",3.57e-07,7.39e-08,-5.63,7.0256424,-0.896,"DAZ interacting zinc finger protein 1","204557_s_at",0.36,0.01781313,-2.55,-4.95432,-1.05,"DAZ interacting zinc finger protein 1"
"303","E2F2","228361_at",6.48e-22,2.53e-23,11.6,42.2034499,1.14,"E2F transcription factor 2","228361_at",0.24,0.00351335,3.25,-3.4112,0.779,"E2F transcription factor 2"
"304","E2F7","228033_at",2.62e-23,8.74e-25,12.1,45.550009,2.28,"E2F transcription factor 7","228033_at",0.204,0.00170419,3.54,-2.7083,1.2,"E2F transcription factor 7"
"305","E2F8","219990_at",1.11e-19,5.61e-21,10.8,36.8402166,1.68,"E2F transcription factor 8","219990_at",0.49,0.04499603,2.12,-5.80229,0.693,"E2F transcription factor 8"
"306","EBF1","227646_at",1.08e-13,1.06e-14,-8.48,22.5154225,-0.83,"early B-cell factor 1","227646_at",0.44,0.03258827,-2.27,-5.51077,-0.628,"early B-cell factor 1"
"307","EBF3","227243_s_at",2.3e-07,4.64e-08,-5.72,7.4794062,-0.776,"early B-cell factor 3","227242_s_at",0.401,0.02442059,-2.41,-5.24653,-0.709,"early B-cell factor 3"
"308","ECI2","218025_s_at",1.95e-20,9.05e-22,-11.1,38.6514935,-0.939,"enoyl-CoA delta isomerase 2","218025_s_at",0.144,0.00036799,-4.16,-1.19897,-0.856,"enoyl-CoA delta isomerase 2"
"309","ECT2","219787_s_at",3.19e-22,1.2e-23,11.7,42.9466745,1.84,"epithelial cell transforming 2","219787_s_at",0.236,0.00327975,3.27,-3.34468,0.921,"epithelial cell transforming 2"
"310","EDIL3","225275_at",2.26e-29,3.75e-31,-14.4,60.1339813,-1.43,"EGF like repeats and discoidin domains 3","225275_at",0.139,0.00031279,-4.22,-1.03764,-0.859,"EGF like repeats and discoidin domains 3"
"311","EFHD1","209343_at",8.67e-08,1.66e-08,-5.93,8.4793731,-1,"EF-hand domain family member D1","209343_at",0.296,0.0100594,-2.8,-4.41778,-1.01,"EF-hand domain family member D1"
"312","EHF","222932_at",1.49e-22,5.42e-24,11.9,43.7371087,3.09,"ETS homologous factor","232361_s_at",0.377,0.0204321,2.49,-5.08176,0.837,"ETS homologous factor"
"313","EIF3H","230570_at",4.01e-08,7.41e-09,-6.09,9.2703119,-0.614,"eukaryotic translation initiation factor 3 subunit H","230570_at",0.4,0.02419979,-2.41,-5.23816,-0.745,"eukaryotic translation initiation factor 3 subunit H"
"314","EIF4EBP1","221539_at",1.14e-33,1.15e-35,16,70.4709883,1.88,"eukaryotic translation initiation factor 4E binding protein 1","221539_at",0.247,0.00423246,3.17,-3.59086,0.715,"eukaryotic translation initiation factor 4E binding protein 1"
"315","ELOVL3","234513_at",5.76e-11,7.67e-12,-7.36,16.0168722,-3.2,"ELOVL fatty acid elongase 3","234513_at",0.235,0.00309687,-3.3,-3.28915,-3.22,"ELOVL fatty acid elongase 3"
"316","ELOVL5","215082_at",3.27e-05,8.6e-06,-4.59,2.4200059,-1.31,"ELOVL fatty acid elongase 5","215082_at",0.277,0.00764421,-2.92,-4.15716,-1.16,"ELOVL fatty acid elongase 5"
"317","EMC3","215250_at",3.68e-28,7.1e-30,-13.9,57.2077874,-2.26,"ER membrane protein complex subunit 3","215250_at",0.483,0.04337727,-2.14,-5.76942,-0.656,"ER membrane protein complex subunit 3"
"318","EMX2","221950_at",6.57e-17,4.53e-18,-9.74,30.1974991,-1.49,"empty spiracles homeobox 2","221950_at",0.347,0.01587104,-2.6,-4.84663,-0.706,"empty spiracles homeobox 2"
"319","ENPP4","204161_s_at",5.14e-24,1.6e-25,-12.4,47.2367863,-1.58,"ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative)","204161_s_at",0.273,0.0073431,-2.94,-4.11888,-0.902,"ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative)"
"320","ENPP5","227803_at",9.31e-31,1.3e-32,-14.9,63.4760393,-3.09,"ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative)","237054_at",0.39,0.02267263,-2.44,-5.17803,-1.04,"ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative)"
"321","EPB41L4B","220161_s_at",3.03e-20,1.44e-21,-11,38.1890851,-0.759,"erythrocyte membrane protein band 4.1 like 4B","223427_s_at",0.28,0.00801789,-2.9,-4.20258,-0.676,"erythrocyte membrane protein band 4.1 like 4B"
"322","EPCAM","201839_s_at",1.58e-16,1.14e-17,-9.6,29.28645,-1.93,"epithelial cell adhesion molecule","201839_s_at",0.44,0.03259989,-2.27,-5.5111,-0.899,"epithelial cell adhesion molecule"
"323","EPHA2","203499_at",1.87e-32,2.13e-34,15.6,67.5694975,1.64,"EPH receptor A2","203499_at",0.485,0.04385407,2.13,-5.77923,0.593,"EPH receptor A2"
"324","EPHB1","230425_at",5.79e-09,9.69e-10,-6.48,11.2618187,-1.15,"EPH receptor B1","230425_at",0.31,0.011434,-2.75,-4.53877,-0.94,"EPH receptor B1"
"325","EPHX1","202017_at",7.1e-19,3.94e-20,-10.5,34.9044025,-1.09,"epoxide hydrolase 1","202017_at",0.296,0.01007453,-2.8,-4.4192,-0.925,"epoxide hydrolase 1"
"326","EPHX2","209368_at",3.63e-11,4.72e-12,-7.45,16.4956959,-0.809,"epoxide hydrolase 2","209368_at",0.139,0.00028226,-4.27,-0.93562,-0.702,"epoxide hydrolase 2"
"327","EPSTI1","227609_at",5.03e-49,8.19e-52,22.2,107.4463649,5.13,"epithelial stromal interaction 1 (breast)","227609_at",0.491,0.04524214,2.12,-5.80718,1.55,"epithelial stromal interaction 1 (breast)"
"328","ESPL1","38158_at",4.23e-20,2.05e-21,10.9,37.841439,1.85,"extra spindle pole bodies like 1, separase","204817_at",0.24,0.00356141,3.24,-3.42433,0.745,"extra spindle pole bodies like 1, separase"
"329","ESRRG","209966_x_at",3.03e-07,6.21e-08,-5.67,7.1957152,-0.881,"estrogen related receptor gamma","207981_s_at",0.35,0.01641131,-2.59,-4.8779,-1.65,"estrogen related receptor gamma"
"330","EVI2A","204774_at",1.53e-07,3.03e-08,5.81,7.8936049,0.779,"ecotropic viral integration site 2A","204774_at",0.325,0.01329085,2.68,-4.68041,1.43,"ecotropic viral integration site 2A"
"331","F12","205774_at",1.81e-32,2.06e-34,15.6,67.6040439,1.9,"coagulation factor XII","205774_at",0.229,0.00269369,3.36,-3.15396,1.32,"coagulation factor XII"
"332","F3","204363_at",7.54e-31,1.05e-32,-14.9,63.6941594,-1.12,"coagulation factor III, tissue factor","204363_at",0.294,0.00976664,-2.81,-4.38982,-0.773,"coagulation factor III, tissue factor"
"333","FA2H","219429_at",4.87e-18,2.93e-19,-10.2,32.9149984,-2.2,"fatty acid 2-hydroxylase","219429_at",0.402,0.02461187,-2.4,-5.25371,-1.54,"fatty acid 2-hydroxylase"
"334","FABP4","203980_at",3.2e-11,4.14e-12,-7.47,16.6259348,-1.46,"fatty acid binding protein 4","235978_at",0.487,0.04432634,-2.13,-5.78884,-2.13,"fatty acid binding protein 4"
"335","FABP7","205030_at",2.27e-11,2.89e-12,-7.53,16.9800015,-3.2,"fatty acid binding protein 7","205030_at",0.292,0.00924614,-2.84,-4.33794,-2.61,"fatty acid binding protein 7"
"336","FADS2","202218_s_at",3.81e-12,4.43e-13,-7.86,18.8276777,-2.65,"fatty acid desaturase 2","202218_s_at",0.264,0.00651222,-2.99,-4.00429,-2.81,"fatty acid desaturase 2"
"337","FADS3","204257_at",3.16e-07,6.48e-08,-5.66,7.1531527,-0.887,"fatty acid desaturase 3","204257_at",0.302,0.01053534,-2.78,-4.46149,-0.652,"fatty acid desaturase 3"
"338","FAH","202862_at",1.6e-11,2e-12,-7.6,17.3410427,-0.741,"fumarylacetoacetate hydrolase","202862_at",0.212,0.00211206,-3.46,-2.91752,-0.941,"fumarylacetoacetate hydrolase"
"339","FAHD2CP","222055_at",1.26e-09,1.96e-10,-6.78,12.8310234,-0.743,"fumarylacetoacetate hydrolase domain containing 2C, pseudogene///fumarylacetoacetate hydrolase domain containing 2B///fumarylacetoacetate hydrolase domain containing 2A","228198_s_at",0.485,0.04384624,-2.13,-5.77907,-0.683,"fumarylacetoacetate hydrolase domain containing 2C, pseudogene"
"340","FAM110C","226863_at",7.63e-51,9.49e-54,22.9,111.8726675,1.75,"family with sequence similarity 110 member C","226863_at",0.346,0.01573004,2.6,-4.83829,0.94,"family with sequence similarity 110 member C"
"341","FAM13A","202973_x_at",7.52e-31,1.04e-32,-14.9,63.6981508,-1.3,"family with sequence similarity 13 member A","217047_s_at",0.261,0.00592353,-3.03,-3.91368,-0.686,"family with sequence similarity 13 member A"
"342","FAM149A","222291_at",2e-08,3.57e-09,-6.23,9.9840296,-0.627,"family with sequence similarity 149 member A","222291_at",0.347,0.01590708,-2.6,-4.84875,-0.685,"family with sequence similarity 149 member A"
"343","FAM162A","224345_x_at",2.86e-17,1.89e-18,9.88,31.0664513,0.667,"family with sequence similarity 162 member A","235850_at",0.115,1.172e-05,-5.54,2.25705,-0.68,"family with sequence similarity 162 member A"
"344","FAM200B","236321_at",6.65e-10,1.01e-10,-6.9,13.4850125,-1.16,"family with sequence similarity 200 member B","236321_at",0.389,0.02242974,-2.44,-5.16808,-0.719,"family with sequence similarity 200 member B"
"345","FAM20A","241981_at",9.84e-10,1.52e-10,6.82,13.0827979,1.38,"family with sequence similarity 20 member A","242945_at",0.296,0.00997956,2.8,-4.41024,0.906,"family with sequence similarity 20 member A"
"346","FAM228B","230435_at",1.27e-09,1.98e-10,-6.78,12.8202706,-1.01,"family with sequence similarity 228 member B","230435_at",0.279,0.00795166,-2.9,-4.19469,-0.729,"family with sequence similarity 228 member B"
"347","FAM234B","213234_at",3.67e-17,2.45e-18,-9.84,30.8069265,-1.35,"family with sequence similarity 234 member B","213234_at",0.184,0.00096453,-3.77,-2.15059,-0.906,"family with sequence similarity 234 member B"
"348","FAM46C","226811_at",1.06e-07,2.05e-08,-5.89,8.2758477,-0.81,"family with sequence similarity 46 member C","226811_at",0.366,0.01859043,-2.53,-4.99406,-0.745,"family with sequence similarity 46 member C"
"349","FAM47E-STBD1","203986_at",2.97e-06,6.85e-07,-5.16,4.862207,-0.68,"FAM47E-STBD1 readthrough///family with sequence similarity 47 member E///starch binding domain 1","203986_at",0.402,0.02487987,-2.4,-5.26368,-0.926,"FAM47E-STBD1 readthrough///family with sequence similarity 47 member E///starch binding domain 1"
"350","FAM65C","227654_at",8.89e-32,1.11e-33,15.3,65.9299258,2.93,"family with sequence similarity 65 member C","227654_at",0.204,0.00163021,3.56,-2.66495,0.645,"family with sequence similarity 65 member C"
"351","FAM72A","225834_at",8.2e-09,1.4e-09,6.41,10.9006073,0.86,"family with sequence similarity 72 member A///family with sequence similarity 72 member D///family with sequence similarity 72 member B///family with sequence similarity 72 member C","225834_at",0.296,0.01000215,2.8,-4.41238,0.684,"family with sequence similarity 72 member A///family with sequence similarity 72 member D///family with sequence similarity 72 member B///family with sequence similarity 72 member C"
"352","FAM83A","239586_at",1.79e-45,4.61e-48,20.7,98.8673687,4.97,"family with sequence similarity 83 member A","239586_at",0.402,0.02468018,2.4,-5.25627,0.89,"family with sequence similarity 83 member A"
"353","FAM83D","225687_at",8.46e-38,5.56e-40,17.6,80.363256,2.84,"family with sequence similarity 83 member D","225687_at",0.258,0.0055732,3.05,-3.85528,1.53,"family with sequence similarity 83 member D"
"354","FANCI","213007_at",1.49e-22,5.42e-24,11.9,43.7372862,1.04,"Fanconi anemia complementation group I","213007_at",0.196,0.00130513,3.65,-2.44736,0.733,"Fanconi anemia complementation group I"
"355","FAR2","220615_s_at",2.38e-10,3.42e-11,-7.1,14.5473082,-2.5,"fatty acyl-CoA reductase 2","220615_s_at",0.285,0.00861613,-2.87,-4.27097,-2.76,"fatty acyl-CoA reductase 2"
"356","FASN","212218_s_at",0.0118,0.00459,-2.87,-3.4978154,-0.602,"fatty acid synthase","212218_s_at",0.139,0.00030111,-4.24,-0.99986,-1.77,"fatty acid synthase"
"357","FAT3","236029_at",4.02e-11,5.26e-12,-7.43,16.3887307,-1.51,"FAT atypical cadherin 3","236029_at",0.213,0.0022223,-3.43,-2.96704,-1.32,"FAT atypical cadherin 3"
"358","FAXDC2","48031_r_at",9.93e-11,1.36e-11,-7.26,15.4505722,-0.658,"fatty acid hydroxylase domain containing 2","48031_r_at",0.159,0.00054304,-4,-1.58427,-0.76,"fatty acid hydroxylase domain containing 2"
"359","FBP1","209696_at",2.05e-09,3.27e-10,-6.68,12.3261119,-1.51,"fructose-bisphosphatase 1","209696_at",0.246,0.00413937,-3.18,-3.56944,-2.09,"fructose-bisphosphatase 1"
"360","FBXL19","228277_at",5.39e-17,3.67e-18,9.78,30.4057388,0.941,"F-box and leucine rich repeat protein 19","228277_at",0.27,0.00710681,2.95,-4.0877,0.668,"F-box and leucine rich repeat protein 19"
"361","FBXO32","241763_s_at",2.36e-06,5.39e-07,-5.21,5.0955566,-0.83,"F-box protein 32","225803_at",0.452,0.0358444,-2.23,-5.59729,-0.659,"F-box protein 32"
"362","FBXO45","225100_at",1.05e-38,6.15e-41,17.9,82.5537366,4.24,"F-box protein 45","225100_at",0.497,0.04690158,2.1,-5.83943,0.875,"F-box protein 45"
"363","FBXO5","218875_s_at",7.47e-19,4.15e-20,10.5,34.851863,1.6,"F-box protein 5","234863_x_at",0.394,0.02331066,2.43,-5.20365,0.661,"F-box protein 5"
"364","FCER1G","1554899_s_at",0.000294,8.82e-05,4.02,0.1944203,0.888,"Fc fragment of IgE receptor Ig","204232_at",0.346,0.01570632,2.61,-4.83688,1.11,"Fc fragment of IgE receptor Ig"
"365","FCHSD1","226698_at",8.65e-54,6.64e-57,24.3,119.0807072,5.36,"FCH and double SH3 domains 1","226698_at",0.245,0.00409041,3.18,-3.55797,1.25,"FCH and double SH3 domains 1"
"366","FGD6","219901_at",1.89e-06,4.27e-07,5.26,5.3207657,0.631,"FYVE, RhoGEF and PH domain containing 6","1555137_a_at",0.461,0.03822772,2.2,-5.65556,0.957,"FYVE, RhoGEF and PH domain containing 6"
"367","FGF14-AS2","230351_at",2.88e-16,2.13e-17,-9.5,28.6639707,-1.42,"FGF14 antisense RNA 2","243225_at",0.212,0.0020805,-3.46,-2.90286,-0.614,"FGF14 antisense RNA 2"
"368","FGF2","204422_s_at",5.6e-24,1.75e-25,-12.4,47.1481676,-1.24,"fibroblast growth factor 2","204422_s_at",0.277,0.0077044,-2.92,-4.16463,-1.13,"fibroblast growth factor 2"
"369","FGFBP2","223836_at",1.87e-25,4.92e-27,-12.9,50.7005547,-3.09,"fibroblast growth factor binding protein 2","223836_at",0.491,0.04544136,-2.11,-5.81112,-1.22,"fibroblast growth factor binding protein 2"
"370","FHL1","201540_at",2.11e-17,1.38e-18,-9.93,31.3782255,-0.823,"four and a half LIM domains 1","210299_s_at",0.496,0.04664418,-2.1,-5.83451,-0.864,"four and a half LIM domains 1"
"371","FIBIN","226769_at",3.47e-17,2.31e-18,-9.85,30.8641563,-1.75,"fin bud initiation factor homolog (zebrafish)","231001_at",0.477,0.04173666,-2.15,-5.73475,-0.705,"fin bud initiation factor homolog (zebrafish)"
"372","FIGN","239710_at",2.23e-11,2.83e-12,-7.54,17.000009,-0.901,"fidgetin, microtubule severing factor","239710_at",0.25,0.00459437,-3.13,-3.66984,-1.05,"fidgetin, microtubule severing factor"
"373","FILIP1","1570515_a_at",3.38e-08,6.21e-09,-6.12,9.4434102,-0.62,"filamin A interacting protein 1","1556325_at",0.471,0.04053447,-2.17,-5.70843,-0.716,"filamin A interacting protein 1"
"374","FMO2","228268_at",0.0529,0.0237,2.28,-4.9640467,0.692,"flavin containing monooxygenase 2","228268_at",0.485,0.04390782,-2.13,-5.78033,-1.17,"flavin containing monooxygenase 2"
"375","FMO5","215300_s_at",5.29e-11,7.02e-12,-7.38,16.1050468,-1.14,"flavin containing monooxygenase 5","215300_s_at",0.376,0.02026543,-2.49,-5.07416,-1.12,"flavin containing monooxygenase 5"
"376","FNBP1L","215017_s_at",4.66e-24,1.45e-25,-12.4,47.3392658,-0.933,"formin binding protein 1 like","215017_s_at",0.266,0.00678977,-2.97,-4.04415,-0.772,"formin binding protein 1 like"
"377","FOLR1","204437_s_at",1.41e-11,1.75e-12,-7.62,17.4747626,-1.58,"folate receptor 1","204437_s_at",0.5,0.04816631,-2.09,-5.86321,-0.899,"folate receptor 1"
"378","FOS","209189_at",0.0793,0.0372,-2.1,-5.3539384,-0.649,"Fos proto-oncogene, AP-1 transcription factor subunit","209189_at",0.413,0.02707565,2.36,-5.3414,1.79,"Fos proto-oncogene, AP-1 transcription factor subunit"
"379","FOSB","202768_at",0.0171,0.00686,2.74,-3.8617884,0.838,"FosB proto-oncogene, AP-1 transcription factor subunit","202768_at",0.314,0.01196412,2.73,-4.58149,1.95,"FosB proto-oncogene, AP-1 transcription factor subunit"
"380","FOSL1","204420_at",3.78e-38,2.37e-40,17.7,81.2095924,4.1,"FOS like 1, AP-1 transcription factor subunit","204420_at",0.353,0.01671522,2.58,-4.89502,1.61,"FOS like 1, AP-1 transcription factor subunit"
"381","FOSL2","218880_at",6.54e-32,7.92e-34,15.3,66.2632972,2.45,"FOS like 2, AP-1 transcription factor subunit","218880_at",0.438,0.03177893,2.28,-5.48786,0.824,"FOS like 2, AP-1 transcription factor subunit"
"382","FOXC1","1553613_s_at",1.01e-18,5.72e-20,-10.4,34.5346794,-1.43,"forkhead box C1","213260_at",0.313,0.01182669,-2.73,-4.5706,-1.03,"forkhead box C1"
"383","FOXD1","206307_s_at",4.11e-09,6.78e-10,-6.55,11.6122878,-0.897,"forkhead box D1","206307_s_at",0.293,0.00946457,-2.83,-4.36007,-0.733,"forkhead box D1"
"384","FOXM1","202580_x_at",3.82e-27,8.44e-29,13.6,54.7451677,2.3,"forkhead box M1","202580_x_at",0.167,0.00069205,3.91,-1.8237,1.33,"forkhead box M1"
"385","FPR1","205119_s_at",2.78e-05,7.23e-06,4.63,2.5870448,0.758,"formyl peptide receptor 1","205119_s_at",0.465,0.03892425,2.19,-5.67187,0.938,"formyl peptide receptor 1"
"386","FPR3","230422_at",1.37e-11,1.7e-12,7.62,17.5045316,1.52,"formyl peptide receptor 3","230422_at",0.414,0.02711743,2.36,-5.34282,1.45,"formyl peptide receptor 3"
"387","FRMD3","229893_at",4.8e-11,6.34e-12,-7.39,16.2056941,-1.37,"FERM domain containing 3","229893_at",0.374,0.02006812,-2.5,-5.06509,-0.638,"FERM domain containing 3"
"388","FSCN1","201564_s_at",2.03e-21,8.45e-23,11.4,41.0067964,0.813,"fascin actin-bundling protein 1","201564_s_at",0.258,0.00569152,3.04,-3.87541,0.647,"fascin actin-bundling protein 1"
"389","FST","207345_at",1.3e-14,1.15e-15,-8.85,24.71553,-0.833,"follistatin","204948_s_at",0.23,0.00289603,-3.33,-3.2242,-1.22,"follistatin"
"390","FUT2","210608_s_at",2.61e-46,6.21e-49,21,100.8591961,2.88,"fucosyltransferase 2","210608_s_at",0.377,0.02044581,2.49,-5.08238,0.798,"fucosyltransferase 2"
"391","FXYD1","205384_at",6.84e-15,5.86e-16,-8.96,25.3803219,-1.47,"FXYD domain containing ion transport regulator 1","205384_at",0.249,0.00446716,-3.15,-3.64283,-1.16,"FXYD domain containing ion transport regulator 1"
"392","FXYD6","217897_at",2.8e-20,1.33e-21,-11,38.2700265,-1.75,"FXYD domain containing ion transport regulator 6","217897_at",0.27,0.00707242,-2.95,-4.08307,-0.862,"FXYD domain containing ion transport regulator 6"
"393","FYB","227266_s_at",3.27e-10,4.77e-11,7.03,14.2192477,1.42,"FYN binding protein","211795_s_at",0.367,0.01875233,2.53,-5.00212,1.06,"FYN binding protein"
"394","FZD4","224337_s_at",0.000325,9.8e-05,-3.99,0.0940581,-0.688,"frizzled class receptor 4","218665_at",0.201,0.00149135,-3.6,-2.57792,-1.13,"frizzled class receptor 4"
"395","FZD7","203706_s_at",2.05e-30,2.98e-32,-14.8,62.6520813,-1.07,"frizzled class receptor 7","203706_s_at",0.325,0.01325862,-2.68,-4.67813,-0.596,"frizzled class receptor 7"
"396","G0S2","213524_s_at",0.00019,5.55e-05,-4.14,0.6354106,-0.867,"G0/G1 switch 2","213524_s_at",0.371,0.01936369,-2.51,-5.03193,-1.71,"G0/G1 switch 2"
"397","GABARAPL1","208869_s_at",6.65e-29,1.17e-30,-14.2,58.9976854,-0.713,"GABA type A receptor associated protein like 1","208869_s_at",0.242,0.00383472,-3.21,-3.49572,-0.756,"GABA type A receptor associated protein like 1"
"398","GABARAPL3","211458_s_at",3.54e-30,5.3e-32,-14.7,62.0811141,-0.756,"GABA type A receptor associated protein like 3 pseudogene///GABA type A receptor associated protein like 1","211458_s_at",0.255,0.00493067,-3.1,-3.73775,-0.71,"GABA type A receptor associated protein like 3 pseudogene///GABA type A receptor associated protein like 1"
"399","GAL","207466_at",3.81e-10,5.61e-11,-7.01,14.0595277,-1.9,"galanin and GMAP prepropeptide","207466_at",0.423,0.02895684,-2.33,-5.40294,-1.27,"galanin and GMAP prepropeptide"
"400","GALNT15","239461_at",7.25e-10,1.1e-10,-6.88,13.3955776,-1.38,"polypeptide N-acetylgalactosaminyltransferase 15","239461_at",0.5,0.04807037,-2.09,-5.86143,-0.844,"polypeptide N-acetylgalactosaminyltransferase 15"
