"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.AD","adj.P.Val.AD","P.Value.AD","t.AD","B.AD","logFC.AD","Gene.title.AD"
"1096","TMEM165","226827_at",6.46e-07,1.38e-07,5.5,6.4197231,0.981,"transmembrane protein 165","226825_s_at",0.474,0.04114266,2.16,-5.72185,0.782,"transmembrane protein 165"
"1097","TMEM178A","229302_at",1.52e-12,1.68e-13,-8.02,19.7831066,-1.57,"transmembrane protein 178A","229302_at",0.453,0.03607272,-2.22,-5.60304,-0.988,"transmembrane protein 178A"
"1098","TMEM206","222752_s_at",6.23e-22,2.44e-23,11.6,42.2429371,1.53,"transmembrane protein 206","222752_s_at",0.245,0.00411601,3.18,-3.56398,0.873,"transmembrane protein 206"
"1099","TMEM255A","219895_at",7.62e-25,2.18e-26,-12.7,49.2201491,-2.33,"transmembrane protein 255A","219895_at",0.347,0.01593115,-2.6,-4.85017,-1.27,"transmembrane protein 255A"
"1100","TMEM56","237515_at",4.67e-19,2.53e-20,-10.6,35.3434734,-2.29,"transmembrane protein 56","237515_at",0.165,0.000633,-3.94,-1.7357,-2.51,"transmembrane protein 56"
"1101","TMEM63A","214833_at",5.57e-14,5.28e-15,-8.6,23.2054973,-0.786,"transmembrane protein 63A","228549_at",0.401,0.02451803,-2.4,-5.2502,-0.616,NA
"1102","TMEM79","223544_at",9.69e-38,6.44e-40,17.6,80.2171879,1.01,"transmembrane protein 79","223544_at",0.493,0.04612802,2.11,-5.82455,0.587,"transmembrane protein 79"
"1103","TMEM91","229957_at",1.44e-15,1.15e-16,-9.22,26.992752,-0.73,"transmembrane protein 91","229957_at",0.446,0.03439731,-2.25,-5.5599,-0.991,"transmembrane protein 91"
"1104","TMEM97","212281_s_at",6.46e-07,1.38e-07,-5.5,6.4211163,-0.651,"transmembrane protein 97","214283_at",0.343,0.01522031,-2.62,-4.80749,-0.784,"transmembrane protein 97"
"1105","TMPRSS4","218960_at",4.6e-42,1.7e-44,19.3,90.7023244,4.82,"transmembrane protease, serine 4","218960_at",0.337,0.01471788,2.63,-4.77607,2.28,"transmembrane protease, serine 4"
"1106","TNFAIP3","202643_s_at",1.9e-10,2.7e-11,7.14,14.7791764,0.743,"TNF alpha induced protein 3","202643_s_at",0.41,0.02663191,2.37,-5.32624,0.806,"TNF alpha induced protein 3"
"1107","TNFRSF10A","241371_at",2.6e-16,1.91e-17,9.51,28.7719188,1.04,"TNF receptor superfamily member 10a","241371_at",0.443,0.03325836,2.26,-5.52929,0.716,"TNF receptor superfamily member 10a"
"1108","TNFRSF21","214581_x_at",7.05e-25,2e-26,12.7,49.3047167,1.61,"TNF receptor superfamily member 21","218856_at",0.258,0.00553922,3.06,-3.84942,0.771,"TNF receptor superfamily member 21"
"1109","TNMD","220065_at",1.56e-15,1.25e-16,-9.21,26.9086465,-2.84,"tenomodulin","220065_at",0.285,0.00859991,-2.87,-4.26919,-2.38,"tenomodulin"
"1110","TNN","215271_at",8.86e-05,2.47e-05,-4.34,1.4082586,-0.928,"tenascin N","215271_at",0.363,0.01829499,-2.54,-4.97916,-1.02,"tenascin N"
"1111","TNS1","221748_s_at",2.59e-23,8.62e-25,-12.1,45.5635918,-0.704,"tensin 1","221747_at",0.283,0.00835476,-2.88,-4.24171,-0.901,"tensin 1"
