"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.CSU","adj.P.Val.CSU","P.Value.CSU","t.CSU","B.CSU","logFC.CSU","Gene.title.CSU"
"122","EIF3B","203462_x_at",8.21e-15,7.08e-16,8.93,25.1923464,0.613,"eukaryotic translation initiation factor 3 subunit B",8131111,0.0073267,0.000208,5.0716415,0.7908,0.7515469,"eukaryotic translation initiation factor 3 subunit B"
"123","EIF3J","208985_s_at",1.36e-28,2.49e-30,14.1,58.2509564,0.775,"eukaryotic translation initiation factor 3 subunit J",7983350,0.0007143,4.68e-06,7.4352954,4.53622,0.8003569,"eukaryotic translation initiation factor 3 subunit J"
"124","EIF4A3","201303_at",1.81e-34,1.69e-36,16.3,72.3820798,0.91,"eukaryotic translation initiation factor 4A3",8019046,0.0029469,4.85e-05,5.923707,2.23612,1.02624024,"eukaryotic translation initiation factor 4A3"
"125","EIF5","208290_s_at",1.17e-33,1.2e-35,16,70.4360296,1.81,"eukaryotic translation initiation factor 5",7977058,0.0009746,7.82e-06,7.0851909,4.03338,0.86288714,"eukaryotic translation initiation factor 5"
"126","EIF5B","201025_at",5.22e-22,2.01e-23,11.7,42.4321991,0.827,"eukaryotic translation initiation factor 5B",8043861,0.0002833,7.91e-07,8.7320707,6.25156,0.8470919,"eukaryotic translation initiation factor 5B"
"127","EMC1","1556186_s_at",0.0653,0.0299,-2.19,-5.1664377,-0.609,"ER membrane protein complex subunit 1",7913110,0.0059267,0.000147,5.2691228,1.13499,0.70841119,"ER membrane protein complex subunit 1"
"128","EML4","232587_at",2.54e-08,4.59e-09,-6.18,9.7385394,-0.734,"echinoderm microtubule associated protein like 4",8041592,0.0127961,0.000479,4.6083466,-0.03666,0.93700667,"echinoderm microtubule associated protein like 4///anaplastic lymphoma receptor tyrosine kinase"
"129","ENO1","217294_s_at",7.06e-05,1.94e-05,4.4,1.6385482,1.04,"enolase 1",7912198,0.0256111,0.00147,4.0057962,-1.14788,0.91455238,"enolase 1"
"130","ENY2","226776_at",2.17e-13,2.21e-14,-8.36,21.7895092,-0.877,"ENY2, transcription and export complex 2 subunit",8147883,0.0001182,1.03e-07,10.4156378,8.16935,0.59449286,"ENY2, transcription and export complex 2 subunit"
"131","EPRS","200843_s_at",6.27e-23,2.18e-24,12,44.64399,0.741,"glutamyl-prolyl-tRNA synthetase",7924351,0.0117905,0.000428,4.6698024,0.07462,0.73230286,"glutamyl-prolyl-tRNA synthetase"
"132","ERO1A","222646_s_at",3.43e-31,4.6e-33,15.1,64.5134002,2.19,"endoplasmic reticulum oxidoreductase 1 alpha",7979179,0.0010173,8.4e-06,7.0375885,3.96365,0.64225952,"endoplasmic reticulum oxidoreductase 1 alpha"
"133","ETS2","201329_s_at",8.03e-07,1.73e-07,5.45,6.1965661,0.636,"ETS proto-oncogene 2, transcription factor",8068593,0.000393,1.46e-06,8.2667579,5.66175,1.44271357,"ETS proto-oncogene 2, transcription factor"
