"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.CSU","adj.P.Val.CSU","P.Value.CSU","t.CSU","B.CSU","logFC.CSU","Gene.title.CSU"
"314","PALMD","222725_s_at",1.51e-07,3e-08,-5.81,7.9057559,-0.753,"palmdelphin",7903227,0.0063169,0.000162,-5.2148032,1.04085,-0.67373714,"palmdelphin"
"315","PAMR1","213661_at",8.77e-28,1.78e-29,-13.8,56.293255,-3.22,"peptidase domain containing associated with muscle regeneration 1",7947512,0.0504911,0.00434,-3.4392563,-2.21383,-0.68171833,"peptidase domain containing associated with muscle regeneration 1"
"316","PANX1","204715_at",1.52e-35,1.25e-37,16.7,74.9735865,1.86,"pannexin 1",7943218,0.0016314,1.81e-05,6.5355258,3.20788,1.51891571,"pannexin 1"
"317","PARP9","227807_at",1.34e-32,1.51e-34,15.6,67.9125818,2.55,"poly(ADP-ribose) polymerase family member 9",8090018,0.0004232,1.77e-06,8.1246906,5.47607,1.23117238,"poly(ADP-ribose) polymerase family member 9"
"318","PBX1","212151_at",4.95e-09,8.22e-10,-6.51,11.4230774,-0.798,"PBX homeobox 1",7906954,0.0061353,0.000155,-5.2382573,1.08155,-0.62860429,"PBX homeobox 1"
"319","PDCD11","212422_at",2.17e-21,9.09e-23,11.4,40.9345936,0.973,"programmed cell death 11",7930226,0.0021525,3.04e-05,6.2105319,2.69867,1.09846476,"programmed cell death 11"
"320","PDE12","231839_at",6.94e-24,2.2e-25,12.4,46.9235575,0.9,"phosphodiesterase 12",8080676,0.0014818,1.58e-05,6.6255038,3.34607,0.59370143,"phosphodiesterase 12"
"321","PDE5A","227088_at",5.96e-10,8.97e-11,-6.92,13.5982502,-0.835,"phosphodiesterase 5A",8102532,0.1329429,0.0195,-2.6590659,-3.66589,-0.70196429,"phosphodiesterase 5A"
"322","PDGFRB","202273_at",7.52e-09,1.28e-09,-6.43,10.9915849,-0.622,"platelet derived growth factor receptor beta",8115099,0.2287276,0.0486,-2.1741645,-4.5163,-0.73646381,"platelet derived growth factor receptor beta///platelet derived growth factor receptor beta"
"323","PDK3","228959_at",1.9e-12,2.14e-13,-7.98,19.547153,-0.834,"pyruvate dehydrogenase kinase 3",8166511,0.2159285,0.044,-2.2280021,-4.42525,-0.87315762,"pyruvate dehydrogenase kinase 3"
"324","PDSS1","220865_s_at",2.06e-29,3.41e-31,14.4,60.2290631,1.59,"prenyl (decaprenyl) diphosphate synthase, subunit 1",7926807,0.0133691,0.000516,4.5679907,-0.10996,0.95427429,"prenyl (decaprenyl) diphosphate synthase, subunit 1"
"325","PECAM1","208981_at",3.22e-18,1.9e-19,-10.2,33.3413516,-0.6,"platelet and endothelial cell adhesion molecule 1",8017599,0.129814,0.0187,-2.6820082,-3.62425,-0.70440857,"platelet and endothelial cell adhesion molecule 1"
"326","PGD","201118_at",1.91e-12,2.15e-13,7.98,19.5441314,0.819,"phosphogluconate dehydrogenase",7897620,0.0830153,0.00921,3.0500503,-2.94522,0.66831952,"phosphogluconate dehydrogenase"
"327","PGM2","223738_s_at",4.09e-33,4.38e-35,15.8,69.1453573,1.96,"phosphoglucomutase 2",8094556,0.011366,0.000406,4.6991951,0.12768,0.7201669,"phosphoglucomutase 2"
"328","PI15","229947_at",2.37e-16,1.74e-17,9.53,28.8665243,2.17,"peptidase inhibitor 15",8146957,0.0536403,0.00474,3.3938611,-2.29945,0.77949452,"peptidase inhibitor 15"
"329","PICALM","215236_s_at",0.000384,0.000117,3.95,-0.0717789,0.689,"phosphatidylinositol binding clathrin assembly protein",7950838,0.0011785,1.12e-05,6.8474059,3.68174,0.65483333,"phosphatidylinositol binding clathrin assembly protein"
"330","PIGW","1558292_s_at",2.16e-10,3.08e-11,7.11,14.6488906,0.774,"phosphatidylinositol glycan anchor biosynthesis class W",8006634,0.000223,4.26e-07,9.2202162,6.84125,1.37972071,"phosphatidylinositol glycan anchor biosynthesis class W"
"331","PIK3C2G","215129_at",1.9e-12,2.13e-13,-7.98,19.5517733,-1.38,"phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma",7954208,0.0458117,0.00367,-3.526632,-2.04899,-0.70032976,"phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma"
"332","PIK3R3","202743_at",8.02e-09,1.37e-09,-6.41,10.9240768,-0.831,"phosphoinositide-3-kinase regulatory subunit 3",7915787,0.0429084,0.00328,3.5856832,-1.93759,1.06248357,"phosphoinositide-3-kinase regulatory subunit 3"
"333","PIM1","209193_at",8.69e-12,1.05e-12,7.71,17.9760074,0.797,"Pim-1 proto-oncogene, serine/threonine kinase",8119161,0.0061056,0.000154,5.24393,1.09138,1.35508619,"Pim-1 proto-oncogene, serine/threonine kinase"
"334","PITPNA","201192_s_at",2.67e-27,5.76e-29,13.6,55.1255327,1.42,"phosphatidylinositol transfer protein alpha",8011077,0.006323,0.000163,5.2094128,1.03149,0.62983857,"phosphatidylinositol transfer protein alpha"
"335","PITPNC1","219155_at",1.43e-13,1.43e-14,8.43,22.2185034,1.53,"phosphatidylinositol transfer protein, cytoplasmic 1",8009353,0.0255238,0.00146,4.0088506,-1.14217,0.71415,"phosphatidylinositol transfer protein, cytoplasmic 1"
"336","PLA2R1","235746_s_at",3.9e-07,8.1e-08,-5.61,6.9362521,-0.649,"phospholipase A2 receptor 1",8056151,0.0723231,0.00753,-3.1544971,-2.74976,-1.0268281,"phospholipase A2 receptor 1"
"337","PLAT","201860_s_at",4.95e-33,5.36e-35,15.8,68.9432467,3.49,"plasminogen activator, tissue type",8150509,0.1115008,0.0147,2.8074573,-3.39494,0.60921286,"plasminogen activator, tissue type"
"338","PLAU","205479_s_at",2.56e-11,3.28e-12,7.51,16.8542146,1.16,"plasminogen activator, urokinase",7928429,0.0101092,0.00034,4.797355,0.30414,1.69214167,"plasminogen activator, urokinase"
"339","PLAUR","210845_s_at",3.01e-14,2.77e-15,8.71,23.8438303,1.6,"plasminogen activator, urokinase receptor",8037374,0.0046746,1e-04,5.4925295,1.51779,0.80464119,"plasminogen activator, urokinase receptor"
"340","PLCB4","203896_s_at",8.16e-15,7.05e-16,-8.93,25.19781,-1.55,"phospholipase C beta 4",8060897,0.0910357,0.0107,-2.9725976,-3.08954,-0.68949952,"phospholipase C beta 4"
"341","PLEK","203471_s_at",5.47e-20,2.68e-21,10.9,37.5740947,1.72,"pleckstrin",8042391,0.0169269,0.000754,4.3615763,-0.48763,1.43040548,"pleckstrin"
"342","PLEKHH2","239568_at",4.83e-11,6.38e-12,-7.39,16.1994889,-1.08,"pleckstrin homology, MyTH4 and FERM domain containing H2",8041644,0.0043296,8.93e-05,-5.5592471,1.63072,-0.90844,"pleckstrin homology, MyTH4 and FERM domain containing H2"
"343","PLIN3","202122_s_at",1.44e-08,2.52e-09,6.3,10.3240471,0.642,"perilipin 3",8032909,0.0456443,0.00364,3.5305563,-2.04159,0.7287531,"perilipin 3"
"344","PLK2","201939_at",1.26e-09,1.97e-10,6.78,12.8273915,0.644,"polo like kinase 2",8112202,0.0090093,0.000284,4.8973722,0.48272,1.17266095,"polo like kinase 2"
"345","PLSCR1","202446_s_at",1.64e-30,2.35e-32,14.8,62.890768,1.33,"phospholipid scramblase 1",8091327,0.0007485,5.13e-06,7.3721106,4.44677,1.65637238,"phospholipid scramblase 1"
"346","PMM2","203201_at",9.33e-25,2.69e-26,12.7,49.010043,1.29,"phosphomannomutase 2",7993148,0.0028319,4.64e-05,5.9511704,2.28094,0.64927524,"phosphomannomutase 2"
"347","PNO1","203622_s_at",2.83e-15,2.33e-16,9.11,26.2953477,0.919,"partner of NOB1 homolog",8042381,0.0001163,6.27e-08,10.8608923,8.62526,1.45015929,"partner of NOB1 homolog///partner of NOB1 homolog"
"348","PNP","201695_s_at",1.41e-46,3.18e-49,21.1,101.5255655,2.36,"purine nucleoside phosphorylase",7973067,0.0044667,9.31e-05,5.5349849,1.58973,1.94388429,"purine nucleoside phosphorylase"
"349","PNPT1","225291_at",6.75e-25,1.91e-26,12.7,49.3494133,2.3,"polyribonucleotide nucleotidyltransferase 1",8052331,0.0004192,1.71e-06,8.1526627,5.51284,1.26778619,"polyribonucleotide nucleotidyltransferase 1"
"350","PODXL","201578_at",3.88e-20,1.87e-21,-11,37.9326774,-0.667,"podocalyxin like",8142981,0.0640557,0.00622,3.2532874,-2.56421,0.63238238,"podocalyxin like"
"351","POLR1B","223403_s_at",2.35e-14,2.13e-15,8.75,24.1033637,0.774,"RNA polymerase I subunit B",8044473,0.0016052,1.77e-05,6.5494934,3.22941,1.01567071,"RNA polymerase I subunit B"
"352","POLR1E","231041_at",7.49e-08,1.43e-08,5.96,8.6287622,0.663,"RNA polymerase I subunit E",8155268,0.0030125,5.04e-05,5.9005051,2.19817,0.81924262,"RNA polymerase I subunit E"
"353","POP1","213449_at",5.08e-09,8.45e-10,6.51,11.3960354,0.631,"POP1 homolog, ribonuclease P/MRP subunit",8147548,0.0017526,2e-05,6.473079,3.11126,0.68838381,"POP1 homolog, ribonuclease P/MRP subunit"
"354","PPARGC1A","219195_at",2.22e-32,2.56e-34,-15.5,67.3881406,-2,"PPARG coactivator 1 alpha",8099633,0.0167207,0.000737,-4.3743905,-0.46406,-0.85952857,"PPARG coactivator 1 alpha"
"355","PPIL1","222500_at",3.33e-17,2.22e-18,9.86,30.9059114,0.889,"peptidylprolyl isomerase like 1",8126058,0.0001163,6.93e-08,10.7691929,8.53299,0.63770167,"peptidylprolyl isomerase like 1"
"356","PPP1R3C","204284_at",6.05e-22,2.36e-23,-11.6,42.2731177,-1.65,"protein phosphatase 1 regulatory subunit 3C",7934997,0.1709629,0.0294,2.4438762,-4.05101,1.21710214,"protein phosphatase 1 regulatory subunit 3C"
"357","PPP4R1","201594_s_at",1.32e-32,1.49e-34,15.6,67.926634,0.899,"protein phosphatase 4 regulatory subunit 1",8022251,0.0042088,8.55e-05,5.5851932,1.67447,0.65326738,"protein phosphatase 4 regulatory subunit 1"
"358","PPRC1","203737_s_at",7.96e-14,7.72e-15,8.54,22.8298179,0.87,"peroxisome proliferator-activated receptor gamma, coactivator-related 1",7929990,0.0010173,8.38e-06,7.0394914,3.96644,1.0026219,"peroxisome proliferator-activated receptor gamma, coactivator-related 1"
"359","PRH1-PRR4","204919_at",3.14e-14,2.89e-15,-8.7,23.7999437,-2.46,"PRH1-PRR4 readthrough///proline rich 4 (lacrimal)",7961252,0.0969965,0.0118,-2.9215653,-3.18428,-0.76213286,"PRH1-PRR4 readthrough///proline rich 4 (lacrimal)"
"360","PRKDC","210543_s_at",0.000518,0.000161,3.86,-0.3742077,0.639,"protein kinase, DNA-activated, catalytic polypeptide",8150599,0.0261177,0.00153,3.9847304,-1.18728,0.67263286,"protein kinase, DNA-activated, catalytic polypeptide"
"361","PRMT3","213320_at",5.62e-19,3.08e-20,10.5,35.1495385,1.08,"protein arginine methyltransferase 3",7938890,0.0040237,8e-05,5.624274,1.74017,0.663195,"protein arginine methyltransferase 3"
"362","PRMT5","217786_at",5.98e-22,2.33e-23,11.6,42.28615,0.738,"protein arginine methyltransferase 5",7977820,0.0201708,0.001,4.2095866,-0.7684,0.6806881,"protein arginine methyltransferase 5"
"363","PSD3","203355_s_at",3.58e-22,1.36e-23,-11.7,42.8243524,-0.981,"pleckstrin and Sec7 domain containing 3",8149551,0.0125413,0.000467,-4.621999,-0.0119,-0.63191643,"pleckstrin and Sec7 domain containing 3"
"364","PSMA3","201532_at",6.68e-27,1.52e-28,13.5,54.1597642,0.604,"proteasome subunit alpha 3",7974603,0.0071118,0.000198,5.0987448,0.83835,0.67019548,"proteasome subunit alpha 3"
"365","PSMA5","201274_at",1.65e-22,6.04e-24,11.8,43.6287065,0.896,"proteasome subunit alpha 5",7918345,0.006323,0.000164,5.2078356,1.02875,0.65689429,"proteasome subunit alpha 5"
"366","PSMA7","216088_s_at",2.64e-16,1.95e-17,9.51,28.7519741,0.726,"proteasome subunit alpha 7",8067382,0.0090037,0.000283,4.8982521,0.48429,0.61619714,"proteasome subunit alpha 7"
"367","PSMC4","201252_at",2.94e-36,2.26e-38,17,76.6772786,0.888,"proteasome 26S subunit, ATPase 4",8028756,0.0369756,0.00259,3.7086065,-1.70586,0.62057071,"proteasome 26S subunit, ATPase 4"
"368","PSMD1","201198_s_at",6.63e-22,2.6e-23,11.6,42.1782606,1.08,"proteasome 26S subunit, non-ATPase 1",8049016,0.0020914,2.85e-05,6.2513452,2.76349,0.81092167,"proteasome 26S subunit, non-ATPase 1"
"369","PSMD11","208777_s_at",3.23e-23,1.09e-24,12.1,45.331264,1.05,"proteasome 26S subunit, non-ATPase 11",8006392,0.0081464,0.000245,4.9794317,0.62828,0.73556333,"proteasome 26S subunit, non-ATPase 11"
"370","PSME3","209853_s_at",1.95e-40,9.08e-43,18.6,86.7468415,2.02,"proteasome activator subunit 3",8007397,0.0003107,9.31e-07,8.6068213,6.09552,0.94970738,"proteasome activator subunit 3"
"371","PTGFRN","224950_at",3.15e-20,1.5e-21,11,38.1500179,1.2,"prostaglandin F2 receptor inhibitor",7904293,0.0065798,0.000174,5.1737336,0.9694,0.65779167,"prostaglandin F2 receptor inhibitor"
"372","PTGIS","208131_s_at",1.9e-07,3.79e-08,-5.77,7.6761958,-0.877,"prostaglandin I2 (prostacyclin) synthase",8066925,0.0392675,0.00286,3.6559578,-1.80507,1.41275643,"prostaglandin I2 (prostacyclin) synthase"
"373","PTGS2","204748_at",0.00127,0.00042,3.6,-1.2802307,0.854,"prostaglandin-endoperoxide synthase 2",7922976,0.0903166,0.0105,2.9808605,-3.07417,1.02673071,"prostaglandin-endoperoxide synthase 2"
"374","PTP4A1","200730_s_at",1.72e-24,5.12e-26,12.6,48.370799,2.72,"protein tyrosine phosphatase type IVA, member 1",8120431,0.0027663,4.44e-05,5.9766828,2.32248,0.75050333,"protein tyrosine phosphatase type IVA, member 1"
"375","PTPN2","204935_at",1.05e-11,1.29e-12,7.67,17.773293,0.993,"protein tyrosine phosphatase, non-receptor type 2",8022393,0.0009486,7.44e-06,7.1193592,4.08323,0.96859405,"protein tyrosine phosphatase, non-receptor type 2"
"376","PTPRC","207238_s_at",1.1e-07,2.13e-08,5.88,8.2366382,1.06,"protein tyrosine phosphatase, receptor type C",7908553,0.0100479,0.000336,4.8038752,0.31582,1.38505262,"protein tyrosine phosphatase, receptor type C"
"377","PTPRE","221840_at",4.18e-19,2.25e-20,10.6,35.4626379,0.771,"protein tyrosine phosphatase, receptor type E",7931353,0.0105613,0.000365,4.7580073,0.23355,0.8950369,"protein tyrosine phosphatase, receptor type E"
"378","PTX3","206157_at",0.0946,0.0454,2.02,-5.5243836,0.603,"pentraxin 3",8083594,0.0132094,0.000507,4.5775377,-0.0926,3.38510476,"pentraxin 3"
"379","PUM3","203712_at",5.52e-23,1.91e-24,12,44.7740064,1.18,"pumilio RNA binding family member 3",8159854,0.0001182,1.06e-07,10.3898428,8.14232,1.1543869,"pumilio RNA binding family member 3"
"380","PYGL","202990_at",6.48e-29,1.14e-30,14.2,59.0260251,0.829,"phosphorylase, glycogen, liver",7979085,0.0201535,0.001,4.2104702,-0.76677,0.77784714,"phosphorylase, glycogen, liver"
"381","RAB27A","209514_s_at",2.09e-49,3.14e-52,22.3,108.3997033,4.74,"RAB27A, member RAS oncogene family",7989023,0.0007517,5.21e-06,7.3603479,4.43005,0.89444167,"RAB27A, member RAS oncogene family"
"382","RAB31","217763_s_at",3.21e-27,7.01e-29,13.6,54.9292375,2.63,"RAB31, member RAS oncogene family",8020110,0.0033624,6e-05,5.7952301,2.02495,0.88262929,"RAB31, member RAS oncogene family"
"383","RAC2","213603_s_at",1.19e-15,9.4e-17,9.26,27.1924782,1.21,"ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)",8075910,0.0019847,2.56e-05,6.3181031,2.86897,1.0800869,"ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)"
"384","RAN","200750_s_at",1.21e-39,6.2e-42,18.3,84.8357247,0.866,"RAN, member RAS oncogene family",7959882,0.0001305,1.6e-07,10.0343937,7.76279,0.99659048,"RAN, member RAS oncogene family"
"385","RANBP1","202483_s_at",3.62e-08,6.67e-09,6.11,9.3737215,0.743,"RAN binding protein 1",8071332,0.001548,1.67e-05,6.5885751,3.2895,1.06508333,"RAN binding protein 1"
"386","RBM14","239635_at",5.03e-06,1.2e-06,-5.04,4.3236157,-0.625,"RNA binding motif protein 14",7941694,0.0260137,0.00151,3.9911913,-1.17519,0.64369262,"RNA binding motif protein 14"
"387","RBM47","222496_s_at",4.22e-12,4.93e-13,7.84,18.7239281,0.949,"RNA binding motif protein 47",8099967,0.0391917,0.00285,3.6579868,-1.80125,0.63470524,"RNA binding motif protein 47"
"388","RDH10","226021_at",8.84e-12,1.07e-12,7.7,17.9571985,0.619,"retinol dehydrogenase 10 (all-trans)",8146921,0.0254389,0.00145,4.0124141,-1.13551,0.60435762,"retinol dehydrogenase 10 (all-trans)"
"389","RERG","244745_at",3.06e-09,4.98e-10,-6.6,11.91503,-0.703,"RAS like estrogen regulated growth inhibitor",7961540,0.0686073,0.00693,-3.1978465,-2.66841,-0.64208976,"RAS like estrogen regulated growth inhibitor"
"390","RIOK1","224450_s_at",5.28e-13,5.59e-14,8.21,20.8722107,0.599,"RIO kinase 1",8116760,0.0009391,7.3e-06,7.1313308,4.10066,1.37921595,"RIO kinase 1"
"391","RND3","212724_at",4.14e-24,1.28e-25,12.4,47.4616916,0.705,"Rho family GTPase 3",8055688,0.0008667,6.51e-06,7.2088311,4.21297,0.96678667,"Rho family GTPase 3"
"392","RNF19B","36564_at",6.49e-21,2.85e-22,11.3,39.7998315,1.13,"ring finger protein 19B",7914603,0.002469,3.8e-05,6.0728968,2.47825,0.99053571,"ring finger protein 19B"
"393","RNPC3","226975_at",1.1e-09,1.71e-10,-6.8,12.9637522,-1.16,"RNA binding region (RNP1, RRM) containing 3",7903404,0.0644976,0.00631,-3.2455802,-2.57871,-0.79876524,"RNA binding region (RNP1, RRM) containing 3"
"394","RPF2","225866_at",1.14e-13,1.13e-14,8.47,22.4549696,0.601,"ribosome production factor 2 homolog",8121510,0.0008617,6.42e-06,7.2186763,4.22718,1.21788333,"ribosome production factor 2 homolog"
"395","RPP40","213427_at",1.58e-28,2.91e-30,14.1,58.0949113,1.4,"ribonuclease P/MRP subunit p40",8123717,0.0016423,1.85e-05,6.522882,3.18837,0.70774333,"ribonuclease P/MRP subunit p40"
"396","RPS6KA3","203843_at",1.57e-23,5.16e-25,12.2,46.073977,1.09,"ribosomal protein S6 kinase A3",8171762,0.0197928,0.000977,4.2230363,-0.74347,0.63557524,"ribosomal protein S6 kinase A3"
"397","RRP12","216913_s_at",4.02e-14,3.74e-15,8.66,23.5447772,1.12,"ribosomal RNA processing 12 homolog",7935425,0.0034911,6.32e-05,5.7640364,1.97331,0.88108952,"ribosomal RNA processing 12 homolog"
"398","RRP15","219037_at",2.82e-16,2.08e-17,9.5,28.6866692,0.659,"ribosomal RNA processing 15 homolog",7909782,0.0022627,3.3e-05,6.1592892,2.61694,0.8369019,"ribosomal RNA processing 15 homolog"
"399","RUVBL1","201614_s_at",3.33e-21,1.41e-22,11.4,40.4952826,1.57,"RuvB like AAA ATPase 1",8090448,0.01047,0.000359,4.7671547,0.24998,0.88459786,"RuvB like AAA ATPase 1///RuvB like AAA ATPase 1"
"400","S100A12","205863_at",3.31e-84,6.06e-89,40.6,191.7651815,9.8,"S100 calcium binding protein A12",7920238,0.0586582,0.0054,3.3262634,-2.42685,0.83452,"S100 calcium binding protein A12"
"401","S100A8","202917_s_at",2.01e-35,1.69e-37,16.7,74.6756451,1.52,"S100 calcium binding protein A8",7920244,0.0022424,3.22e-05,6.1747103,2.64157,3.66310024,"S100 calcium binding protein A8"
"402","S100A9","203535_at",3.31e-43,1.14e-45,19.7,93.3906425,5.35,"S100 calcium binding protein A9",7905571,0.026458,0.00157,3.9722879,-1.21056,1.38581738,"S100 calcium binding protein A9"
"403","SCFD2","226923_at",4.86e-14,4.57e-15,8.62,23.3488804,0.979,"sec1 family domain containing 2",8100347,0.001906,2.35e-05,6.3719527,2.95357,1.15908095,"sec1 family domain containing 2"
"404","SEC23B","201583_s_at",2.37e-26,5.72e-28,13.3,52.8415927,1.03,"Sec23 homolog B, coat complex II component",8061186,0.0042088,8.52e-05,5.5868562,1.67727,0.74026333,"Sec23 homolog B, coat complex II component"
"405","SEH1L","223225_s_at",6.5e-18,3.96e-19,10.1,32.6146041,1.23,"SEH1 like nucleoporin",8020254,0.0003107,9.61e-07,8.5831133,6.06576,1.40331857,"SEH1 like nucleoporin"
"406","SELE","206211_at",1.18e-12,1.3e-13,8.07,20.0407661,2.37,"selectin E",7922229,3.36e-05,2.02e-09,14.4058365,11.64059,4.34590262,"selectin E"
"407","SELL","204563_at",7.62e-17,5.31e-18,9.72,30.0406479,1.84,"selectin L",7922219,0.0131957,0.000506,4.57853,-0.0908,1.57662381,"selectin L"
"408","SELP","206049_at",6.4e-06,1.54e-06,4.98,4.0797221,0.961,"selectin P",7922200,0.0068901,0.00019,5.1247075,0.88381,1.19894381,"selectin P"
"409","SELT","217811_at",2.16e-05,5.54e-06,4.69,2.8424632,0.65,"selenoprotein T",8154305,0.0004756,2.27e-06,7.9452611,5.23772,0.67387619,"selenoprotein T"
"410","SEPP1","229620_at",7.32e-10,1.11e-10,-6.88,13.3862617,-0.964,"selenoprotein P, plasma, 1",8111915,0.0187753,0.000899,-4.267224,-0.66168,-1.32368881,"selenoprotein P, plasma, 1"
"411","SERPINA1","211429_s_at",2.14e-37,1.46e-39,17.4,79.4011566,4.23,"serpin family A member 1",7981068,0.0129954,0.000493,4.5920497,-0.06624,0.71018333,"serpin family A member 1"
"412","SERPINA3","202376_at",2.38e-14,2.16e-15,8.75,24.0914503,2.93,"serpin family A member 3",7976496,0.1715555,0.0296,2.4400032,-4.05784,1.18527405,"serpin family A member 3"
"413","SERPINB1","212268_at",4.7e-41,2e-43,18.9,88.2532621,2.41,"serpin family B member 1",8123598,0.0050897,0.000113,5.4194744,1.3934,1.40191762,"serpin family B member 1"
"414","SERPINB9","242814_at",1.07e-17,6.7e-19,10,32.0929733,1.36,"serpin family B member 9",8123609,0.0206286,0.00105,4.1858971,-0.81235,0.65581571,"serpin family B member 9"
"415","SESTD1","226763_at",9.08e-08,1.75e-08,-5.92,8.4323026,-0.77,"SEC14 and spectrin domain containing 1",8057394,0.0564968,0.00511,-3.354843,-2.373,-0.68542333,"SEC14 and spectrin domain containing 1"
"416","SF3B3","200688_at",3.05e-11,3.93e-12,7.48,16.6757988,0.813,"splicing factor 3b subunit 3",7997099,0.0412815,0.00308,3.6173908,-1.87779,0.63256476,"splicing factor 3b subunit 3"
"417","SFN","209260_at",8.24e-25,2.37e-26,12.7,49.1387346,0.888,"stratifin",7899265,0.0412314,0.00308,3.6182328,-1.8762,0.87705429,"stratifin"
"418","SFPQ","201585_s_at",2.05e-06,4.66e-07,5.24,5.2363363,0.675,"splicing factor proline and glutamine rich",7914791,0.0054805,0.000129,5.3449214,1.26566,0.63145833,"splicing factor proline and glutamine rich"
"419","SH3BGRL2","225354_s_at",5.75e-17,3.93e-18,-9.76,30.3375302,-1.29,"SH3 domain binding glutamate rich protein like 2",8120833,0.0598115,0.00558,-3.3096634,-2.45811,-0.93409833,"SH3 domain binding glutamate rich protein like 2"
"420","SH3D19","1558647_at",0.00273,0.000951,-3.36,-2.0453497,-0.806,"SH3 domain containing 19",8103166,0.0133858,0.000517,-4.5664605,-0.11274,-0.76965833,"SH3 domain containing 19"
"421","SLA","203761_at",2.17e-08,3.91e-09,6.21,9.896636,0.982,"Src-like-adaptor",8152988,0.0059964,0.00015,5.2589102,1.11732,0.6056519,"Src-like-adaptor"
"422","SLC14A1","205856_at",4.22e-19,2.27e-20,-10.6,35.4525117,-2.36,"solute carrier family 14 member 1 (Kidd blood group)",8021081,0.1632313,0.0271,-2.486479,-3.97562,-1.17578595,"solute carrier family 14 member 1 (Kidd blood group)"
"423","SLC16A1","202235_at",1.78e-14,1.59e-15,8.8,24.3947018,1.54,"solute carrier family 16 member 1",7918622,0.0033306,5.93e-05,5.8023459,2.03671,0.94578976,"solute carrier family 16 member 1"
"424","SLC16A7","207057_at",0.000404,0.000123,-3.93,-0.1231069,-0.934,"solute carrier family 16 member 7",7956658,0.0011651,1.06e-05,6.8834201,3.73553,0.95927452,"solute carrier family 16 member 7"
"425","SLC1A3","202800_at",2.62e-16,1.93e-17,9.51,28.7602923,0.985,"solute carrier family 1 member 3",8104930,0.0004192,1.72e-06,8.1454537,5.50338,1.50019762,"solute carrier family 1 member 3"
"426","SLC25A25","225212_at",2.64e-19,1.39e-20,10.7,35.9419024,1.24,"solute carrier family 25 member 25",8158147,0.0056611,0.000136,5.3138557,1.21221,0.64588571,"solute carrier family 25 member 25"
"427","SLC25A27","230624_at",0.00105,0.00034,-3.66,-1.082453,-0.624,"solute carrier family 25 member 27",8120067,0.0009558,7.52e-06,-7.1117216,4.07211,-0.85887,"solute carrier family 25 member 27"
"428","SLC35B1","202433_at",7.68e-25,2.2e-26,12.7,49.2124921,0.616,"solute carrier family 35 member B1",8016578,0.0217794,0.00113,4.1431091,-0.89184,0.65263048,"solute carrier family 35 member B1"
"429","SLC39A8","216504_s_at",0.000301,9.03e-05,-4.01,0.1725981,-0.87,"solute carrier family 39 member 8",8101992,0.0679941,0.00683,3.2049592,-2.65505,1.25518881,"solute carrier family 39 member 8"
"430","SLC40A1","233123_at",2.68e-13,2.76e-14,-8.33,21.5691952,-1.51,"solute carrier family 40 member 1",8057677,0.0007076,4.59e-06,-7.4480987,4.55427,-1.70406048,"solute carrier family 40 member 1"
"431","SLC5A6","204087_s_at",2.01e-10,2.85e-11,7.13,14.7240534,0.931,"solute carrier family 5 member 6",8051030,0.0153067,0.000639,4.4508882,-0.32367,1.22993214,"solute carrier family 5 member 6"
"432","SLC7A1","215979_s_at",3.93e-21,1.68e-22,11.3,40.321834,2.16,"solute carrier family 7 member 1",7970810,0.0295603,0.00184,3.8880784,-1.36838,0.80550333,"solute carrier family 7 member 1"
"433","SLC7A11","209921_at",1.53e-39,7.96e-42,18.3,84.5873838,4.14,"solute carrier family 7 member 11",8102800,0.0639574,0.0062,3.2553637,-2.56031,0.87331238,"solute carrier family 7 member 11"
"434","SLC7A2","225516_at",6.6e-14,6.32e-15,-8.57,23.0275337,-0.714,"solute carrier family 7 member 2",8144786,0.0857527,0.00976,3.0205267,-3.0003,0.58879738,"solute carrier family 7 member 2"
"435","SLC7A5","201195_s_at",1.3e-29,2.07e-31,14.5,60.723391,1.88,"solute carrier family 7 member 5",8003298,0.0055139,0.00013,5.3399451,1.25711,1.65888595,"solute carrier family 7 member 5"
"436","SMIM14","222336_at",6.31e-08,1.19e-08,-6,8.8049894,-0.697,"small integral membrane protein 14",8099912,0.0260117,0.00151,-3.9920087,-1.17367,-0.60212905,"small integral membrane protein 14"
"437","SNRPB","213175_s_at",3.31e-12,3.82e-13,7.88,18.9747697,0.837,"small nuclear ribonucleoprotein polypeptides B and B1",8064502,0.0042088,8.55e-05,5.5850694,1.67426,0.67663595,"small nuclear ribonucleoprotein polypeptides B and B1"
"438","SNRPD1","202691_at",2.04e-21,8.5e-23,11.4,41.0014988,0.852,"small nuclear ribonucleoprotein D1 polypeptide",8020411,0.0012962,1.3e-05,6.7499205,3.53517,1.12886452,"small nuclear ribonucleoprotein D1 polypeptide"
"439","SOCS3","227697_at",2.73e-19,1.44e-20,10.6,35.9058866,1.31,"suppressor of cytokine signaling 3",8018864,0.0021608,3.06e-05,6.2068066,2.69274,1.21054238,"suppressor of cytokine signaling 3"
