"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"4585","Hidradenitis","GO:0035150","regulation of tube size","49/5292","128/18862",0.00766475336960498,0.0350818435477996,0.0242338017721675,"CD38/SMTNL2/GJA5/COMP/HRH2/ICAM1/HTR7/MIR21/HTR2A/TBXA2R/KCNA5/PTAFR/ACE/KCNMA1/APOE/GPX1/ADM/ITGA1/PLOD3/PRKG1/AVPR1A/ADRA2A/KLF2/SLC8A1/ARHGAP42/APLN/EDNRA/EXT2/GCLM/ECE1/RGS2/ATG5/PER2/EDN1/EGFR/F2R/ATP1A2/SLC6A4/NOS1/BBS2/ADRA1A/ZDHHC21/CPS1/P2RY1/F2RL1/PIK3C2A/SCNN1B/NOS3/ADRB1",49
"4586","Hidradenitis","GO:0030512","negative regulation of transforming growth factor beta receptor signaling pathway","35/5292","86/18862",0.00768744079111514,0.035160132245783,0.0242878819628322,"ASPN/HTRA4/CHST11/TGFBR1/TGFB3/FBN2/NRROS/EMILIN1/PMEPA1/TGFB1/HTRA3/VEPH1/SKIL/SLC2A10/PPARA/FAM89B/PEG10/TGFB1I1/HTRA1/FBN1/DNM2/GLG1/SMAD6/CAV2/CD109/ZBTB7A/SPRY2/ZNF451/PPM1A/IL17RD/STRAP/SPINT3/WFIKKN2/TGFBR3/SMURF1",35
"4587","Hidradenitis","GO:0072175","epithelial tube formation","48/5292","125/18862",0.00772105727073981,0.0352882573955873,0.0243763881292244,"SOX11/CTHRC1/SIX1/SIX4/WNT5A/FZD2/PRKACB/TEAD2/SFRP2/TGFB1/PIK3CD/PTK7/ADM/PRICKLE1/CASP3/VASP/RALA/SOX4/STK4/SETD2/FZD6/TULP3/LMO4/PTCH1/RARG/BMP7/VANGL2/IRX2/FGFR2/SDC4/GDF7/OSR1/CECR2/SPINT1/IRX3/CELSR1/SOX8/GRHL2/SHROOM3/NOG/OVOL2/DLC1/BMP4/GRHL3/WNT4/GATA3/COBL/EGF",48
"4588","Hidradenitis","GO:0030516","regulation of axon extension","37/5292","92/18862",0.00782141019830992,0.0357209872581261,0.02467530884288,"SEMA6B/WNT5A/CXCL12/FN1/TRPV2/ARHGAP4/APOE/PAK1/NRP1/LIMK1/TWF2/SRF/NRCAM/SEMA5B/DNM2/TNR/MAP3K13/MAP1B/RUFY3/DIP2B/GSK3B/SEMA3F/MACF1/RAB21/SEMA6A/PLXNA4/SEMA3D/MAPT/RAB11A/L1CAM/MAP2/CDH4/CTTN/GOLGA4/RTN4/SEMA4G/SEMA3E",37
"4589","Hidradenitis","GO:0045664","regulation of neuron differentiation","69/5292","190/18862",0.00785540275038116,0.0358273666310457,0.0247487934826615,"CSNK1D/BEND6/SOX11/SIX3/DAB1/CNTN4/SIX1/BRINP1/CXCL12/BMP6/HEYL/RARB/GDF11/SFRP2/KDM4C/CALR/ETV5/HEY2/ISL2/TCF3/NREP/BIN1/MEF2C/OLIG2/EIF2AK4/NRCAM/TIMP2/ZEB1/ARHGEF2/YWHAH/ASCL1/MIR146A/MAP3K13/MAP1B/NLGN1/EIF4E/RHOA/ZHX2/BCL2/CDON/THRB/GSK3B/DUOXA1/SLC6A4/BMP2/RNF112/PTEN/HOXA2/TIAM1/SPAG9/BMP7/ZNF536/BCL6/GDF7/BDNF/IRX3/HES1/BCL11B/SOX8/ISL1/ESRP1/S1PR5/CASZ1/BCL11A/MYCL/TCF12/BMP4/EFNA3/NAP1L2",69
"4590","Hidradenitis","GO:0051656","establishment of organelle localization","144/5292","431/18862",0.00787267922102956,0.0358273666310457,0.0247487934826615,"SERPINA1/CSNK1D/ITGA4/MILR1/CD300A/NR4A3/FGR/ADGRE2/RAC2/PIK3CG/BICD1/LAT2/MYO1F/LYN/LGALS9/TCIRG1/CTSZ/SEC24A/CD84/PTGDS/GEM/RAB27A/PTGDR/MYO1B/BTK/MX2/NEFL/YKT6/WIPI1/SEC24D/SYT11/IL4R/CTSC/MX1/MARK1/MCFD2/GOSR2/SPHK2/PIK3CD/STARD3NL/LIN7A/NEFH/LAT/SAR1A/CLMN/SYK/MYO1G/PREB/MYO7A/BLK/FHOD1/ARMCX3/FES/TMED9/CNIH3/MGARP/KIF3C/NECTIN2/LMAN1/SEC22B/ITGB1/DYNLT1/ARFGAP3/NOP9/HMOX1/DLGAP5/DNM2/CEP19/PPP6R1/C12orf4/TOR1A/ACTR2/SAR1B/CFL1/MAP1S/MYO5A/TANC2/GPSM2/MYO7B/EZR/MAP1B/PRKCZ/NLGN1/BORCS5/TRAK1/RHOT1/MISP/MYO6/SPRY2/UBE2B/HNRNPU/MYO19/CLASP2/PKHD1/DNM3/CUL3/FER/BICD2/CCDC186/TFG/COPG2/PARD3B/DYNC1H1/KIF1C/LRPPRC/BBS2/TRAPPC10/ASIP/EXOC4/FMN2/KIF1B/FYCO1/SNAP23/NUMA1/MYO5C/SPICE1/RAB6A/MLPH/TMED10/LLGL2/PCM1/AP1M2/GOSR1/MAPT/BICDL2/GPR143/WDR11/SYBU/RAB11A/PDCD6/XPO1/RAB27B/SCFD1/COL7A1/EML4/PPP6R3/PARD3/MAP2/MYO5B/SYNE2/BICDL1/DLG1/CHMP4C/KIF13A",144
"4591","Hidradenitis","GO:0018149","peptide cross-linking","17/5292","35/18862",0.00787314630317042,0.0358273666310457,0.0247487934826615,"SPRR3/TGM2/THBS1/COL3A1/SPOCK2/BGN/PI3/FN1/EGFLAM/KRT10/DSP/FLG/NDNF/EVPL/TGM3/TGM5/KRT2",17
"4592","Hidradenitis","GO:0072525","pyridine-containing compound biosynthetic process","17/5292","35/18862",0.00787314630317042,0.0358273666310457,0.0247487934826615,"IDO1/KMO/NNMT/KYNU/NAMPT/PDXK/PTGS2/QPRT/NADK/PARP9/IDH2/PTGIS/NADSYN1/NMNAT2/NUDT12/PSAT1/NMNAT3",17
"4593","Hidradenitis","GO:0097009","energy homeostasis","17/5292","35/18862",0.00787314630317042,0.0358273666310457,0.0247487934826615,"NR4A3/PASK/BMP8A/SGIP1/PRCP/STAT3/AMPD2/SLC35D3/MRAP2/ACACB/PRKAA1/PPARGC1A/IRX3/PRKAA2/MFSD2A/NMU/LEPR",17
"4594","Hidradenitis","GO:0014812","muscle cell migration","40/5292","101/18862",0.0079156220181825,0.0358892317852501,0.0247915286337248,"MIR424/SERPINE1/NOX4/IGF1/CCL5/PLAT/MDK/NR4A3/SIX1/PLAU/PLEKHO1/MIR21/SIX4/POSTN/ADAMTS1/AIF1/PARVA/THBS4/ACE/HAS2/TRIB1/PAK1/NRP1/PRKG1/MEF2C/SORL1/SSH1/CORO1B/SRC/MIR503/LPAR1/SLIT2/BCL2/FOXO4/MSTN/BMPR1A/IGFBP3/ITGA2/ATP7A/PPARGC1A",40
