"disease","ID","Description","GeneRatio","p.adjust","Count"
"AD","GO:0032655","regulation of interleukin-12 production","8/561",0.0111571058290372,8
"AD","GO:0002532","production of molecular mediator involved in inflammatory response","10/561",0.0113132063458121,10
"AD","GO:0051249","regulation of lymphocyte activation","33/561",0.0119710021013515,33
"AD","GO:0045785","positive regulation of cell adhesion","34/561",0.0120415289835263,34
"AD","GO:0051384","response to glucocorticoid","13/561",0.0121626322392634,13
"AD","GO:0002237","response to molecule of bacterial origin","25/561",0.0121626322392634,25
"AD","GO:0016054","organic acid catabolic process","20/561",0.0127784206184416,20
"AD","GO:0046395","carboxylic acid catabolic process","20/561",0.0127784206184416,20
"AD","GO:0051781","positive regulation of cell division","10/561",0.0128217820269277,10
"AD","GO:0070661","leukocyte proliferation","24/561",0.0128217820269277,24
"AD","GO:0070665","positive regulation of leukocyte proliferation","14/561",0.0130735367648875,14
"AD","GO:0046473","phosphatidic acid metabolic process","6/561",0.0130735367648875,6
"AD","GO:0030099","myeloid cell differentiation","31/561",0.013159482441746,31
"AD","GO:0034440","lipid oxidation","13/561",0.0132040295993584,13
"AD","GO:0032943","mononuclear cell proliferation","22/561",0.0132178437849336,22
"AD","GO:0019058","viral life cycle","25/561",0.013348209204764,25
"AD","GO:0032465","regulation of cytokinesis","11/561",0.0139324766577811,11
"AD","GO:0071674","mononuclear cell migration","17/561",0.0140730247562155,17
"AD","GO:0006695","cholesterol biosynthetic process","9/561",0.0140730247562155,9
"AD","GO:0150076","neuroinflammatory response","9/561",0.0140730247562155,9
"AD","GO:1902653","secondary alcohol biosynthetic process","9/561",0.0140730247562155,9
"AD","GO:0014841","skeletal muscle satellite cell proliferation","5/561",0.014464741723106,5
"AD","GO:0034367","protein-containing complex remodeling","5/561",0.014464741723106,5
"AD","GO:0090235","regulation of metaphase plate congression","5/561",0.014464741723106,5
"AD","GO:0071396","cellular response to lipid","38/561",0.0148498939483421,38
"AD","GO:1990845","adaptive thermogenesis","16/561",0.0148817138092419,16
"AD","GO:0042119","neutrophil activation","7/561",0.0148817138092419,7
"AD","GO:0070098","chemokine-mediated signaling pathway","8/561",0.0149141161573755,8
"AD","GO:0062012","regulation of small molecule metabolic process","24/561",0.0156183860500913,24
"AD","GO:1901992","positive regulation of mitotic cell cycle phase transition","12/561",0.0157149027505723,12
"AD","GO:0045730","respiratory burst","6/561",0.0160032210404242,6
"AD","GO:0060333","type II interferon-mediated signaling pathway","6/561",0.0160032210404242,6
"AD","GO:0006790","sulfur compound metabolic process","24/561",0.0164480503946418,24
"AD","GO:0002444","myeloid leukocyte mediated immunity","11/561",0.0170242289795642,11
"AD","GO:0045833","negative regulation of lipid metabolic process","11/561",0.0170242289795642,11
"AD","GO:0070374","positive regulation of ERK1 and ERK2 cascade","15/561",0.0170513817480539,15
"AD","GO:0010565","regulation of cellular ketone metabolic process","13/561",0.0170513817480539,13
"AD","GO:0071375","cellular response to peptide hormone stimulus","24/561",0.0172471750201131,24
"AD","GO:0051640","organelle localization","42/561",0.0172716544896547,42
"AD","GO:0046460","neutral lipid biosynthetic process","7/561",0.0176277519387882,7
"AD","GO:0046463","acylglycerol biosynthetic process","7/561",0.0176277519387882,7
"AD","GO:0045132","meiotic chromosome segregation","10/561",0.017735653838188,10
"AD","GO:0031960","response to corticosteroid","14/561",0.0177718293390187,14
"AD","GO:1902749","regulation of cell cycle G2/M phase transition","13/561",0.0185715898960688,13
"AD","GO:0033559","unsaturated fatty acid metabolic process","11/561",0.0186221086662926,11
"AD","GO:0072676","lymphocyte migration","11/561",0.0186221086662926,11
"AD","GO:0030194","positive regulation of blood coagulation","5/561",0.018781642172985,5
"AD","GO:1900048","positive regulation of hemostasis","5/561",0.018781642172985,5
"AD","GO:1905952","regulation of lipid localization","14/561",0.0192760275553854,14
"AD","GO:0000038","very long-chain fatty acid metabolic process","6/561",0.0193677475311616,6
"AD","GO:0045923","positive regulation of fatty acid metabolic process","6/561",0.0193677475311616,6
"AD","GO:0051984","positive regulation of chromosome segregation","6/561",0.0193677475311616,6
"AD","GO:0032760","positive regulation of tumor necrosis factor production","10/561",0.0196489146799895,10
"AD","GO:0070542","response to fatty acid","8/561",0.0196489146799895,8
"AD","GO:0071887","leukocyte apoptotic process","13/561",0.0199008765458302,13
"AD","GO:0070555","response to interleukin-1","11/561",0.0203475595239472,11
"AD","GO:0051338","regulation of transferase activity","33/561",0.0203475595239472,33
"AD","GO:0040017","positive regulation of locomotion","37/561",0.0203475595239472,37
"AD","GO:0045840","positive regulation of mitotic nuclear division","7/561",0.0203475595239472,7
"AD","GO:1905953","negative regulation of lipid localization","7/561",0.0203475595239472,7
"AD","GO:0050670","regulation of lymphocyte proliferation","17/561",0.0203885521053624,17
"AD","GO:0050863","regulation of T cell activation","26/561",0.0206761149291297,26
"AD","GO:0051302","regulation of cell division","15/561",0.0206761149291297,15
"AD","GO:0016042","lipid catabolic process","23/561",0.0206834568604499,23
"AD","GO:0007292","female gamete generation","13/561",0.0213937204443893,13
"AD","GO:0000165","MAPK cascade","43/561",0.0214960688721672,43
"AD","GO:0033627","cell adhesion mediated by integrin","10/561",0.0214960688721672,10
"AD","GO:0140013","meiotic nuclear division","14/561",0.0219350653228221,14
"AD","GO:0015908","fatty acid transport","11/561",0.0219350653228221,11
"AD","GO:0071346","cellular response to type II interferon","11/561",0.0219350653228221,11
"AD","GO:0045576","mast cell activation","8/561",0.0219350653228221,8
"AD","GO:1990868","response to chemokine","8/561",0.0219350653228221,8
"AD","GO:1990869","cellular response to chemokine","8/561",0.0219350653228221,8
"AD","GO:0016126","sterol biosynthetic process","9/561",0.0220953814905817,9
"AD","GO:0002673","regulation of acute inflammatory response","6/561",0.022955187173862,6
"AD","GO:0031641","regulation of myelination","7/561",0.0234060075166072,7
"AD","GO:0032467","positive regulation of cytokinesis","7/561",0.0234060075166072,7
"AD","GO:0036230","granulocyte activation","7/561",0.0234060075166072,7
"AD","GO:0045089","positive regulation of innate immune response","26/561",0.0234060075166072,26
"AD","GO:0032944","regulation of mononuclear cell proliferation","17/561",0.0244614923064599,17
"AD","GO:1901654","response to ketone","17/561",0.0244614923064599,17
"AD","GO:0030335","positive regulation of cell migration","35/561",0.0245472096631715,35
"AD","GO:0043651","linoleic acid metabolic process","4/561",0.0245892716492823,4
"AD","GO:0051987","positive regulation of attachment of spindle microtubules to kinetochore","4/561",0.0245892716492823,4
"AD","GO:0030879","mammary gland development","13/561",0.0245892716492823,13
"AD","GO:1901989","positive regulation of cell cycle phase transition","13/561",0.0245892716492823,13
"AD","GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","9/561",0.0245953586269107,9
"AD","GO:0002886","regulation of myeloid leukocyte mediated immunity","8/561",0.0247032696086235,8
"AD","GO:2000147","positive regulation of cell motility","36/561",0.0247032696086235,36
"AD","GO:0022407","regulation of cell-cell adhesion","32/561",0.0247518767088131,32
"AD","GO:0002831","regulation of response to biotic stimulus","34/561",0.025364034885363,34
"AD","GO:0046660","female sex differentiation","11/561",0.0261421871928294,11
"AD","GO:0043408","regulation of MAPK cascade","37/561",0.0261720978364751,37
