"disease","ID","Description","GeneRatio","p.adjust","Count"
"HS","GO:0002526","acute inflammatory response","22/2429",0.0391246240068151,22
"HS","GO:0046718","symbiont entry into host cell","37/2429",0.0394621131913994,37
"HS","GO:0002821","positive regulation of adaptive immune response","32/2429",0.0394621968514494,32
"HS","GO:0051897","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","44/2429",0.0404209183319648,44
"HS","GO:0001763","morphogenesis of a branching structure","46/2429",0.0430474440448899,46
"HS","GO:0014706","striated muscle tissue development","84/2429",0.0430474440448899,84
"HS","GO:0051048","negative regulation of secretion","39/2429",0.0430474440448899,39
"HS","GO:0070374","positive regulation of ERK1 and ERK2 cascade","39/2429",0.0430474440448899,39
"HS","GO:0002456","T cell mediated immunity","29/2429",0.0432864942568489,29
"HS","GO:0002761","regulation of myeloid leukocyte differentiation","29/2429",0.0432864942568489,29
"HS","GO:0006911","phagocytosis, engulfment","15/2429",0.0438320978469351,15
"HS","GO:0071772","response to BMP","34/2429",0.0438320978469351,34
"HS","GO:0071773","cellular response to BMP stimulus","34/2429",0.0438320978469351,34
"HS","GO:0018126","protein hydroxylation","9/2429",0.0438320978469351,9
"HS","GO:0050951","sensory perception of temperature stimulus","9/2429",0.0438320978469351,9
"HS","GO:1903306","negative regulation of regulated secretory pathway","9/2429",0.0438320978469351,9
"HS","GO:1904996","positive regulation of leukocyte adhesion to vascular endothelial cell","9/2429",0.0438320978469351,9
"HS","GO:0044703","multi-organism reproductive process","45/2429",0.0443285052793822,45
"HS","GO:0045089","positive regulation of innate immune response","79/2429",0.0443285052793822,79
"HS","GO:0097485","neuron projection guidance","48/2429",0.0443285052793822,48
"HS","GO:0050921","positive regulation of chemotaxis","33/2429",0.045314585545468,33
"HS","GO:0007565","female pregnancy","41/2429",0.0455394825683955,41
"HS","GO:0002704","negative regulation of leukocyte mediated immunity","16/2429",0.0456183868161813,16
"HS","GO:0071622","regulation of granulocyte chemotaxis","16/2429",0.0456183868161813,16
"HS","GO:0006805","xenobiotic metabolic process","26/2429",0.0459148205699494,26
"HS","GO:0030324","lung development","44/2429",0.0459425634061416,44
"HS","GO:0031099","regeneration","44/2429",0.0459425634061416,44
"HS","GO:0032602","chemokine production","25/2429",0.0465869635738584,25
"HS","GO:0032642","regulation of chemokine production","25/2429",0.0465869635738584,25
"HS","GO:0061326","renal tubule development","25/2429",0.0465869635738584,25
"HS","GO:0019884","antigen processing and presentation of exogenous antigen","17/2429",0.0469173578434547,17
"HS","GO:0060627","regulation of vesicle-mediated transport","106/2429",0.0471712104576496,106
"HS","GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","12/2429",0.0473348352324839,12
"HS","GO:0045577","regulation of B cell differentiation","12/2429",0.0473348352324839,12
"HS","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","43/2429",0.0477137914061132,43
"HS","GO:0002260","lymphocyte homeostasis","23/2429",0.0478386458297293,23
"HS","GO:0061180","mammary gland epithelium development","21/2429",0.048474371976394,21
"HS","GO:0042058","regulation of epidermal growth factor receptor signaling pathway","20/2429",0.048474371976394,20
"HS","GO:0061333","renal tubule morphogenesis","20/2429",0.048474371976394,20
"HS","GO:0072088","nephron epithelium morphogenesis","20/2429",0.048474371976394,20
"HS","GO:0006865","amino acid transport","35/2429",0.0488590727492449,35
"HS","GO:0001667","ameboidal-type cell migration","56/2429",0.0499236075740313,56
"VL","GO:0022613","ribonucleoprotein complex biogenesis","134/2415",0.000227019215277261,134
"VL","GO:0042254","ribosome biogenesis","94/2415",0.00180012304683602,94
"VL","GO:0016072","rRNA metabolic process","78/2415",0.00506190480900133,78
"VL","GO:0016073","snRNA metabolic process","26/2415",0.00506190480900133,26
"VL","GO:0006364","rRNA processing","69/2415",0.00506190480900133,69
"VL","GO:0009301","snRNA transcription","13/2415",0.0283404098270802,13
"VL","GO:0051383","kinetochore organization","11/2415",0.0283404098270802,11
"CSU","GO:0022613","ribonucleoprotein complex biogenesis","201/2486",1.61664179344328e-32,201
"CSU","GO:0042254","ribosome biogenesis","137/2486",5.70478291700923e-22,137
